target,uncertainty_feature,uncertainty_vs_absolute_error_spearman,p_value
FSMI_nm,base_to_tta_median_nm,-0.1592208729489473,0.41834972004229876
FSMI_nm,tta_frame_std_nm,0.015873015873015872,0.9361039866611209
FSMI_nm,tta_roi_std_nm,0.09140667761357417,0.6436531023679799
FSMI_nm,tta_all_std_nm,-0.02079912424740011,0.9163346143465214
FSMI_nm,tta_all_range_nm,-0.008210180623973728,0.9669259423830509
Rq_nm,base_to_tta_median_nm,-0.07837771128816236,0.6917819597829858
Rq_nm,tta_frame_std_nm,0.03886152162014231,0.8443485073804999
Rq_nm,tta_roi_std_nm,0.10946907498631636,0.5792248268646963
Rq_nm,tta_all_std_nm,-0.013136288998357963,0.9471037547724636
Rq_nm,tta_all_range_nm,0.028461959496442254,0.8856829853518465
