variant,descriptor_mse,descriptor_mae,descriptor_r2,descriptor_spearman,prototype_accuracy,prototype_macro_f1
trained_model,0.7541342973709106,0.6446213722229004,-0.6112769954115411,0.7499999999999999,0.5,0.1111111111111111
mean_condition_baseline,0.7920752167701721,0.6318765878677368,-0.6923412094664869,nan,,
