alpha,loo_island_feature_mae_z,loo_island_feature_rmse_z,loo_prediction_variance
3.0,0.47917991738605714,0.6675331831240137,0.6160899748661982
1.0,0.48992098655544103,0.6859127614737847,0.7690541509780486
10.0,0.49999325167119024,0.6949738389124668,0.3851154274096284
0.3,0.5171900093646822,0.7214855379893803,0.8754499556221385
30.0,0.5567106579991119,0.7785366935321931,0.18080779663248356
