protocol,target,group_count,mean_absolute_error,median_absolute_error,rmse,pearson_r,pearson_pvalue,spearman_rho,spearman_pvalue,true_min,true_max,predicted_min,predicted_max,standard_deviation_ratio,interval_coverage
prior_M12_strict15_train14,Rq_nm,15,0.6635338818399001,0.28083708787561235,1.1942502343768837,0.8361138901590162,0.00010291126451677489,0.932142857142857,4.2412182315433465e-07,1.470114827156067,9.867135047912596,1.4986408335193715,7.033225761753825,0.7964294824886163,0.8666666666666667
prior_M12_strict15_train14,FSMI_nm,15,0.7217547500785774,0.4165156904514773,1.1887576140645881,0.7647852632920831,0.0008960587571186517,0.8321428571428571,0.00011902824493849783,1.4268805447108657,8.567125493610352,1.256021668381362,4.918527800167603,0.6862812433154756,0.9333333333333333
current_full27_train26_all27,Rq_nm,4,0.5352363961154398,0.5133712253855554,0.6650840699768729,0.9941166154908205,0.005883384509179468,1.0,0.0,0.8041046683028141,5.214306898001644,0.8327786888639845,4.128777784872166,0.7696430485282771,1.0
current_full27_train26_all27,FSMI_nm,4,0.7732299373564094,0.6188811044221533,0.8366022943092102,0.9207536446271211,0.07924635537287905,0.7999999999999999,0.2000000000000001,0.7560989711345802,4.415429811910861,0.6286115278860491,3.094004668689881,0.6485693406741037,1.0
current_full27_train26_same15,Rq_nm,2,0.8882276970541527,0.8882276970541527,0.9098770744443738,1.0,1.0,0.9999999999999999,,2.289763258630059,5.214306898001644,1.598836977651232,4.128777784872166,0.8650719972722164,1.0
current_full27_train26_same15,FSMI_nm,2,0.9522951024321662,0.9522951024321662,1.0213339067753704,1.0,1.0,0.9999999999999999,,2.0210013039871706,4.415429811910861,1.4378362423438178,3.094004668689881,0.6916758720777998,1.0
