method,growth_count,mean_peak_signature_mae_z,median_peak_signature_mae_z
M17b_topology_sparse_peak_terrace,4,0.9793885727391287,0.8684876707115489
M17a_fixed_sparse_peak_terrace,4,0.9805195701553531,0.8684876498444805
M17f_broad_sparse_finetexture_terrace,4,1.002904203751201,0.8694955114635143
M17c_topology_sparse_finetexture_terrace,4,1.0036092156931578,0.8698432406118146
M17g_moderate_broad_topology_terrace,4,1.0192098729588226,0.8684876024350153
M16b_baseline_dense_microisland_terrace,4,1.0239430170578467,0.8578460582397018
M17d_multiscale_texture_no_peak_terrace,4,1.0343003531369797,0.8695042953041879
M17i_soft_hierarchical_island_terrace,4,1.0390767388809707,0.8695144269248161
M17e_broad_sparse_peak_terrace,4,1.054585266199099,0.9111316078796297
M10_dense_island_spectral_pareto,4,1.074644964185642,0.9647791513041918
M17h_hierarchical_sparse_island_terrace,4,1.140972793942702,1.0723565089352074
