growth_run_id,predicted_rq_absolute_error_nm,realized_rq_absolute_error_nm,rq_interval_lower_nm,rq_interval_upper_nm,rq_interval_covered,predicted_fsmi_absolute_error_nm,realized_fsmi_absolute_error_nm,fsmi_interval_lower_nm,fsmi_interval_upper_nm,fsmi_interval_covered,predicted_island_error_z,island_error_90_upper_z,realized_island_error_z,predicted_joint_error_index,realized_joint_error_index,joint_confidence_index
6022,0.3339443765450257,0.3358161697922837,0.0,2.70056421313563,True,1.868060533504544,0.6545971472009537,0.0,3.4633678106207917,True,1.4820685909894282,2.522972751363759,1.6969690110959155,0.75,0.625,80.0
6028,1.463382326977097,1.0855291131294784,1.36149572539937,6.896059844344961,True,1.2603509003305209,1.3214251432209796,0.4463970021385592,5.741612335241204,True,1.5332892790441166,2.4773328896908846,1.7785966614972444,0.75,0.875,80.0
6029,0.9274461129235144,0.6909262809788268,0.0,3.608864967619247,True,0.8563331505027052,0.5831650616433528,0.0164589529215772,2.8592135317660583,True,1.408468885367246,2.2923339114783654,1.9342960859108376,0.25,0.75,100.0
N6342,0.5509248039383959,0.0286740205611704,0.0,2.4032737943193023,True,0.924742726229356,0.5337323973603516,0.0,3.280286567108517,True,1.9515373985622806,1.9807856609334435,0.8898073355890533,0.75,0.25,80.0
