method,growth_group_count,median_cross_validation_fold,mean_cross_validation_fold,median_true_rq_nm,mean_true_rq_nm,median_generated_rq_nm,mean_generated_rq_nm,median_rq_absolute_error_nm,mean_rq_absolute_error_nm,median_condition_descriptor_mae_z,mean_condition_descriptor_mae_z,median_generated_pairwise_l1,mean_generated_pairwise_l1,median_real_pairwise_l1,mean_real_pairwise_l1,median_diversity_ratio,mean_diversity_ratio,median_unit_l1,mean_unit_l1,median_unit_rmse,mean_unit_rmse,median_ssim,mean_ssim,median_gradient_mae,mean_gradient_mae,median_physical_ra_error_nm,mean_physical_ra_error_nm,median_physical_robust_height_range_error_nm,mean_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,mean_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,mean_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,mean_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,mean_normalized_psd_log_distance,median_psd_low_band_error,mean_psd_low_band_error,median_psd_mid_band_error,mean_psd_mid_band_error,median_psd_high_band_error,mean_psd_high_band_error,median_psd_slope_error,mean_psd_slope_error,median_correlation_length_abs_error_nm,mean_correlation_length_abs_error_nm,median_correlation_length_relative_error,mean_correlation_length_relative_error,median_anisotropy_error,mean_anisotropy_error,median_skewness_error,mean_skewness_error,median_kurtosis_error,mean_kurtosis_error,median_height_quantile_error,mean_height_quantile_error,median_ra_rq_error,mean_ra_rq_error,median_physical_psd_distance,mean_physical_psd_distance,median_physical_correlation_length_error_nm,mean_physical_correlation_length_error_nm,median_ssim_penalty,mean_ssim_penalty,median_composite_score,mean_composite_score,median_nearest_training_l1,mean_nearest_training_l1,median_max_training_ssim,mean_max_training_ssim,median_exact_training_pixel_equality,mean_exact_training_pixel_equality,median_generated_mean_gradient,mean_generated_mean_gradient,median_real_mean_gradient,mean_real_mean_gradient,median_mean_gradient_relative_error,mean_mean_gradient_relative_error,median_generated_rms_gradient,mean_generated_rms_gradient,median_real_rms_gradient,mean_real_rms_gradient,median_rms_gradient_relative_error,mean_rms_gradient_relative_error,median_generated_laplacian_rms,mean_generated_laplacian_rms,median_real_laplacian_rms,mean_real_laplacian_rms,median_laplacian_rms_relative_error,mean_laplacian_rms_relative_error,median_generated_edge_energy_ratio,mean_generated_edge_energy_ratio,median_real_edge_energy_ratio,mean_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,mean_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,mean_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,mean_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,mean_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,mean_generated_high_psd_fraction,median_real_high_psd_fraction,mean_real_high_psd_fraction,median_high_psd_fraction_relative_error,mean_high_psd_fraction_relative_error,median_generated_robust_height_range,mean_generated_robust_height_range,median_real_robust_height_range,mean_real_robust_height_range,median_robust_height_range_relative_error,mean_robust_height_range_relative_error,median_generated_skewness,mean_generated_skewness,median_real_skewness,mean_real_skewness,median_skewness_relative_error,mean_skewness_relative_error,median_generated_kurtosis,mean_generated_kurtosis,median_real_kurtosis,mean_real_kurtosis,median_kurtosis_relative_error,mean_kurtosis_relative_error,median_sharpness_ratio,mean_sharpness_ratio,median_afm_texture_gate_pass,mean_afm_texture_gate_pass,protocol
M10_dense_island_spectral_pareto,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.5904786702816622,2.6374777568616063,0.8293883576494947,1.5765457578219306,0.876477837562561,1.0194131990273794,1.116083741188049,1.1163726131121317,1.1030480861663818,1.0834972381591796,1.0090436603314064,1.0336647442555555,1.120781660079956,1.128052576382955,1.4096394777297974,1.420054848988851,0.0128628785034902,0.01158542309198735,37.5900249877771,37.662316251077314,0.0361827873909201,0.06527777435620676,0.3780277395248426,1.0446681431134548,0.1408058915770595,0.3569773879775403,3.092362733581442,3.800832636958751,3.0738702805344076e-06,3.7711795245402396e-06,0.8597532946386037,0.9381227865575433,0.0016854917594615,0.00298200601094216,0.0016306935942861,0.0028655886606032735,5.8013607220407584e-05,0.00011641735033885171,0.1404687471371621,0.2550463850201495,31.496062992125985,37.795275590551185,0.64,0.7119365079365081,0.1666666666666667,0.552487838958427,0.2987533416864255,0.36949010241893987,0.3123387635334596,0.5225148442613858,0.1225671817042999,0.14011834359253253,0.0135954040332841,0.016226554008487482,0.8597532946386037,0.9381227865575433,31.496062992125985,37.795275590551185,0.9871371214965098,0.9884145769080127,8.10627941529057,8.111743422396534,1.045172929763794,1.0337704737981162,0.0366346362639499,0.039525534388399106,0.0,0.0,0.2625067383050918,0.2734042376279831,0.3343275785446167,0.33937942584355674,0.2504425854764929,0.24128427323805493,0.3227216005325317,0.33189689815044404,0.4313251078128814,0.43588460485140484,0.2530705770908765,0.26752657953974013,0.3087610900402069,0.3460270896553993,0.4963996857404709,0.5474741905927658,0.3574157597401597,0.37730063193150387,1.0117546319961548,1.0050114750862122,1.0176516771316528,1.0216771880785624,0.0531560375748528,0.044682748400888025,0.9642997086048126,0.9803120891253153,4.758741855621338,4.866178337732951,0.7857437720476502,0.7909168475145638,2.750728081330877e-05,5.5476680281976105e-05,8.677488393813045e-05,0.00013813195028572633,0.7262297259101183,0.7591292472033507,4.687254858016967,4.70042379951477,4.812647156715393,4.752988234639167,0.0431986654495432,0.04902681072464924,0.0960767021270163,0.08361488722687709,0.0284363854690152,-0.1207158266219915,1.1249880904839895,1.531302878138343,3.0255554206965876,3.045874030257711,3.432365839864702,3.4578611039231344,0.1645609840752406,0.1512890476994114,0.8079704827839672,0.8317674383195275,1.0,0.8666666666666667,prior_M12_strict15_train14
M10_dense_island_spectral_pareto,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,0.7808541655540466,0.7808541655540466,1.1225431561470032,1.1225431561470032,1.1052119135856628,1.1052119135856628,1.0162561074542331,1.0162561074542331,1.1162334084510803,1.1162334084510803,1.4175648093223572,1.4175648093223572,0.02059114807331931,0.02059114807331931,39.48074890886739,39.48074890886739,0.054875018964759215,0.054875018964759215,0.45010619163513255,0.45010619163513255,0.24495560183054754,0.24495560183054754,3.752031358086785,3.752031358086785,3.6636951368240744e-06,3.6636951368240744e-06,0.8072469037734189,0.8072469037734189,0.0021563100836589078,0.0021563100836589078,0.002100594206442295,0.002100594206442295,5.571587721670235e-05,5.571587721670235e-05,0.0685332141006949,0.0685332141006949,19.68503937007874,19.68503937007874,0.5,0.5,0.1071428571428572,0.1071428571428572,0.2791448107594724,0.2791448107594724,0.5575756441305357,0.5575756441305357,0.10793955967096346,0.10793955967096346,0.013109426260685508,0.013109426260685508,0.8072469037734189,0.8072469037734189,19.68503937007874,19.68503937007874,0.9794088519266807,0.9794088519266807,8.377455672048816,8.377455672048816,1.0447182655334473,1.0447182655334473,0.04018885454824955,0.04018885454824955,0.0,0.0,0.30139974504709244,0.30139974504709244,0.3658824861049652,0.3658824861049652,0.17551706425006414,0.17551706425006414,0.3576710373163223,0.3576710373163223,0.46520526707172394,0.46520526707172394,0.2309845610675693,0.2309845610675693,0.38708314299583435,0.38708314299583435,0.5464951395988464,0.5464951395988464,0.28918322713657674,0.28918322713657674,1.0303933918476105,1.0303933918476105,0.9587740898132324,0.9587740898132324,0.09310488528821864,0.09310488528821864,1.0217536985874176,1.0217536985874176,4.26314640045166,4.26314640045166,0.759926146848815,0.759926146848815,6.170047727310573e-05,6.170047727310573e-05,0.0001101442935838217,0.0001101442935838217,0.4301448359125819,0.4301448359125819,4.684785521626472,4.684785521626472,4.805572832226754,4.805572832226754,0.024968514090425286,0.024968514090425286,-0.03603986483025155,-0.03603986483025155,-0.42843076690505344,-0.42843076690505344,0.9906073084987342,0.9906073084987342,3.044008620626201,3.044008620626201,3.485404897541609,3.485404897541609,0.12618643958042844,0.12618643958042844,0.8244829357499359,0.8244829357499359,1.0,1.0,current_full27_train26_same15
M16b_baseline_dense_microisland_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.1449979841709137,1.1449979841709137,1.1368113160133362,1.1368113160133362,1.1052119135856628,1.1052119135856628,1.0292039470124834,1.0292039470124834,1.1224995255470276,1.1224995255470276,1.396698772907257,1.396698772907257,0.013375122733385515,0.013375122733385515,38.85132874720983,38.85132874720983,0.18501680538538756,0.18501680538538756,2.1812716841697686,2.1812716841697686,0.6313581259545947,0.6313581259545947,3.7520312475450543,3.7520312475450543,3.7742368672599724e-06,3.7742368672599724e-06,0.9827115192867037,0.9827115192867037,0.002416502249300234,0.002416502249300234,0.00233614487798804,0.00233614487798804,8.03573713122842e-05,8.03573713122842e-05,0.21625842711933974,0.21625842711933974,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061393907274107,0.7061393907274107,1.0981629186824113,1.0981629186824113,0.2546560178936592,0.2546560178936592,0.04697283365168914,0.04697283365168914,0.9827115192867037,0.9827115192867037,19.68503937007874,19.68503937007874,0.9866248772666145,0.9866248772666145,8.326940095638687,8.326940095638687,1.0499974489212036,1.0499974489212036,0.044515144873468054,0.044515144873468054,0.0,0.0,0.27593108266592026,0.27593108266592026,0.3658824861049652,0.3658824861049652,0.2450043097987368,0.2450043097987368,0.3454407602548599,0.3454407602548599,0.46520526707172394,0.46520526707172394,0.2572230829495605,0.2572230829495605,0.308791883289814,0.308791883289814,0.5464951395988464,0.5464951395988464,0.43363092747100696,0.43363092747100696,1.0266565680503845,1.0266565680503845,0.9587740898132324,0.9587740898132324,0.07296916626856655,0.07296916626856655,1.1009424328804016,1.1009424328804016,4.26314640045166,4.26314640045166,0.7420082808861332,0.7420082808861332,2.6264436564479497e-05,2.6264436564479497e-05,0.0001101442935838217,0.0001101442935838217,0.7595130893460342,0.7595130893460342,4.243140877187252,4.243140877187252,4.805572832226754,4.805572832226754,0.11683990706617227,0.11683990706617227,0.17886459363811086,0.17886459363811086,-0.42843076690505344,-0.42843076690505344,1.5570508988934808,1.5570508988934808,2.440570814715242,2.440570814715242,3.485404897541609,3.485404897541609,0.29885399039503224,0.29885399039503224,0.7549956902012631,0.7549956902012631,1.0,1.0,current_full27_train26_same15
M17a_fixed_sparse_peak_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.1449715495109558,1.1449715495109558,1.136815994977951,1.136815994977951,1.1052119135856628,1.1052119135856628,1.02920810385673,1.02920810385673,1.1224989295005798,1.1224989295005798,1.3966962099075317,1.3966962099075317,0.013371257138883295,0.013371257138883295,38.851633317130705,38.851633317130705,0.1850169708149274,0.1850169708149274,2.1798299360275255,2.1798299360275255,0.6313539121186919,0.6313539121186919,3.7520312412903265,3.7520312412903265,3.780491594884694e-06,3.780491594884694e-06,0.9824076630535763,0.9824076630535763,0.0024162973743406813,0.0024162973743406813,0.00233596079618403,0.00233596079618403,8.033657815667466e-05,8.033657815667466e-05,0.21591805592002045,0.21591805592002045,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061290262844825,0.7061290262844825,1.0981491337141067,1.0981491337141067,0.2546699490956962,0.2546699490956962,0.04697290623353245,0.04697290623353245,0.9824076630535763,0.9824076630535763,19.68503937007874,19.68503937007874,0.9866287428611167,0.9866287428611167,8.32691232899268,8.32691232899268,1.0499985814094543,1.0499985814094543,0.04451462229415651,0.04451462229415651,0.0,0.0,0.275946244597435,0.275946244597435,0.3658824861049652,0.3658824861049652,0.24496398124088603,0.24496398124088603,0.34545259177684784,0.34545259177684784,0.46520526707172394,0.46520526707172394,0.2571980126691023,0.2571980126691023,0.3088458403944969,0.3088458403944969,0.5464951395988464,0.5464951395988464,0.43353682262870075,0.43353682262870075,1.026671051979065,1.026671051979065,0.9587740898132324,0.9587740898132324,0.07298483008667442,0.07298483008667442,1.1009560972452164,1.1009560972452164,4.26314640045166,4.26314640045166,0.7420049575808465,0.7420049575808465,2.6284198188627288e-05,2.6284198188627288e-05,0.0001101442935838217,0.0001101442935838217,0.7593476038374951,0.7593476038374951,4.243387320935726,4.243387320935726,4.805572832226754,4.805572832226754,0.11678792032796181,0.11678792032796181,0.17886812591925477,0.17886812591925477,-0.42843076690505344,-0.42843076690505344,1.5570663591897451,1.5570663591897451,2.440603710093462,2.440603710093462,3.485404897541609,3.485404897541609,0.29884413470714044,0.29884413470714044,0.755036018759114,0.755036018759114,1.0,1.0,current_full27_train26_same15
M17b_topology_sparse_peak_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.144970327615738,1.144970327615738,1.1368164420127869,1.1368164420127869,1.1052119135856628,1.1052119135856628,1.0292085010074543,1.0292085010074543,1.1224984526634216,1.1224984526634216,1.3966960906982422,1.3966960906982422,0.01337101307608276,0.01337101307608276,38.851622529071605,38.851622529071605,0.18501647754967554,0.18501647754967554,2.179834234714507,2.179834234714507,0.6313536818669506,0.6313536818669506,3.752031240019373,3.752031240019373,3.781762548449308e-06,3.781762548449308e-06,0.9824071375831211,0.9824071375831211,0.002416297622041763,0.002416297622041763,0.0023359611094858246,0.0023359611094858246,8.033651255617027e-05,8.033651255617027e-05,0.21591686535548238,0.21591686535548238,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061303176367051,0.7061303176367051,1.0981448104931335,1.0981448104931335,0.2546690273524395,0.2546690273524395,0.046972690626314095,0.046972690626314095,0.9824071375831211,0.9824071375831211,19.68503937007874,19.68503937007874,0.9866289869239173,0.9866289869239173,8.326909899884516,8.326909899884516,1.0499987602233887,1.0499987602233887,0.044514364345747647,0.044514364345747647,0.0,0.0,0.2759461924433708,0.2759461924433708,0.3658824861049652,0.3658824861049652,0.24496411996319806,0.24496411996319806,0.3454525098204613,0.3454525098204613,0.46520526707172394,0.46520526707172394,0.25719818632973523,0.25719818632973523,0.30884557217359543,0.30884557217359543,0.5464951395988464,0.5464951395988464,0.4335372904241057,0.4335372904241057,1.0266713798046112,1.0266713798046112,0.9587740898132324,0.9587740898132324,0.07298518461753695,0.07298518461753695,1.1009387224912643,1.1009387224912643,4.26314640045166,4.26314640045166,0.7420091832885503,0.7420091832885503,2.628433615408679e-05,2.628433615408679e-05,0.0001101442935838217,0.0001101442935838217,0.7593464485030926,0.7593464485030926,4.243387368619442,4.243387368619442,4.805572832226754,4.805572832226754,0.1167879102691923,0.1167879102691923,0.17886896789547013,0.17886896789547013,-0.42843076690505344,-0.42843076690505344,1.5570700444008612,1.5570700444008612,2.4406063204817143,2.4406063204817143,3.485404897541609,3.485404897541609,0.2988433526163641,0.2988433526163641,0.755035880036802,0.755035880036802,1.0,1.0,current_full27_train26_same15
M17c_topology_sparse_finetexture_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.144955813884735,1.144955813884735,1.1368159651756287,1.1368159651756287,1.1052119135856628,1.1052119135856628,1.0292080773800152,1.0292080773800152,1.1224988102912903,1.1224988102912903,1.39669668674469,1.39669668674469,0.01337047918732243,0.01337047918732243,38.85199077687839,38.85199077687839,0.18501673062490864,0.18501673062490864,2.180965480804442,2.180965480804442,0.6313515844578789,0.6313515844578789,3.752031310614657,3.752031310614657,3.711167264608406e-06,3.711167264608406e-06,0.9821975741208564,0.9821975741208564,0.0024161524883373753,0.0024161524883373753,0.002335830396274159,0.002335830396274159,8.032209206347527e-05,8.032209206347527e-05,0.2156875568577652,0.2156875568577652,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.706124288090767,0.706124288090767,1.0981477625655969,1.0981477625655969,0.25457786279331357,0.25457786279331357,0.04697280128756609,0.04697280128756609,0.9821975741208564,0.9821975741208564,19.68503937007874,19.68503937007874,0.9866295208126776,0.9866295208126776,8.3269070591122,8.3269070591122,1.049999475479126,1.049999475479126,0.04451498589471474,0.04451498589471474,0.0,0.0,0.27595657110214233,0.27595657110214233,0.3658824861049652,0.3658824861049652,0.24493651422310658,0.24493651422310658,0.34546107798814774,0.34546107798814774,0.46520526707172394,0.46520526707172394,0.2571800308999324,0.2571800308999324,0.30888158828020096,0.30888158828020096,0.5464951395988464,0.5464951395988464,0.4334744758966675,0.4334744758966675,1.0266757607460022,1.0266757607460022,0.9587740898132324,0.9587740898132324,0.07298992243906341,0.07298992243906341,1.1009478867053986,1.1009478867053986,4.26314640045166,4.26314640045166,0.7420069544633034,0.7420069544633034,2.629787645775623e-05,2.629787645775623e-05,0.0001101442935838217,0.0001101442935838217,0.7592330608573326,0.7592330608573326,4.243112377822399,4.243112377822399,4.805572832226754,4.805572832226754,0.11684591894121057,0.11684591894121057,0.1788599705715147,0.1788599705715147,-0.42843076690505344,-0.42843076690505344,1.55703066438317,1.55703066438317,2.4406007475752336,2.4406007475752336,3.485404897541609,3.485404897541609,0.29884502229854726,0.29884502229854726,0.7550634857768934,0.7550634857768934,1.0,1.0,current_full27_train26_same15
M17d_multiscale_texture_no_peak_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.1449522972106934,1.1449522972106934,1.1368151903152466,1.1368151903152466,1.1052119135856628,1.1052119135856628,1.0292073889854265,1.0292073889854265,1.1224985718727112,1.1224985718727112,1.396696388721466,1.396696388721466,0.01337004337322667,0.01337004337322667,38.852131688704624,38.852131688704624,0.18501590516495314,0.18501590516495314,2.180893836021422,2.180893836021422,0.6313512839887369,0.6313512839887369,3.75203127073351,3.75203127073351,3.751048411659852e-06,3.751048411659852e-06,0.9821181820541369,0.9821181820541369,0.002416103687235549,0.002416103687235549,0.0023357849923603484,0.0023357849923603484,8.031869487523218e-05,8.031869487523218e-05,0.21563548369875063,0.21563548369875063,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061232651945413,0.7061232651945413,1.0981446398230095,1.0981446398230095,0.2545731954090297,0.2545731954090297,0.046972440740136956,0.046972440740136956,0.9821181820541369,0.9821181820541369,19.68503937007874,19.68503937007874,0.9866299566267733,0.9866299566267733,8.3269107673312,8.3269107673312,1.0500001907348633,1.0500001907348633,0.04451521420595689,0.04451521420595689,0.0,0.0,0.2759599909186363,0.2759599909186363,0.3658824861049652,0.3658824861049652,0.24492741800293288,0.24492741800293288,0.3454640433192253,0.3454640433192253,0.46520526707172394,0.46520526707172394,0.2571737475424876,0.2571737475424876,0.3088933825492859,0.3088933825492859,0.5464951395988464,0.5464951395988464,0.43345390589316424,0.43345390589316424,1.026682823896408,1.026682823896408,0.9587740898132324,0.9587740898132324,0.07299756096764687,0.07299756096764687,1.10094054043293,1.10094054043293,4.26314640045166,4.26314640045166,0.7420087411476071,0.7420087411476071,2.630115624587876e-05,2.630115624587876e-05,0.0001101442935838217,0.0001101442935838217,0.759205595634773,0.759205595634773,4.243120532333851,4.243120532333851,4.805572832226754,4.805572832226754,0.11684419876589783,0.11684419876589783,0.17885668651664305,0.17885668651664305,-0.42843076690505344,-0.42843076690505344,1.5570162905382818,1.5570162905382818,2.4406032210365014,2.4406032210365014,3.485404897541609,3.485404897541609,0.2988442812320637,0.2988442812320637,0.7550725819970672,0.7550725819970672,1.0,1.0,current_full27_train26_same15
M17e_broad_sparse_peak_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.144989252090454,1.144989252090454,1.136818528175354,1.136818528175354,1.1052119135856628,1.1052119135856628,1.0292103543775006,1.0292103543775006,1.1225011944770813,1.1225011944770813,1.396699845790863,1.396699845790863,0.013371872066524664,0.013371872066524664,38.85156713945515,38.85156713945515,0.18502115193946345,0.18502115193946345,2.1812733244895917,2.1812733244895917,0.6313574397086449,0.6313574397086449,3.75203127613726,3.75203127613726,3.7456446615458105e-06,3.7456446615458105e-06,0.982401374917057,0.982401374917057,0.002416286968389858,0.002416286968389858,0.0023359530243317397,0.0023359530243317397,8.033394405821962e-05,8.033394405821962e-05,0.21587451116087664,0.21587451116087664,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.706128695156073,0.706128695156073,1.0981822054424077,1.0981822054424077,0.2545872359643025,0.2545872359643025,0.04697473201944552,0.04697473201944552,0.982401374917057,0.982401374917057,19.68503937007874,19.68503937007874,0.9866281279334753,0.9866281279334753,8.326884738554142,8.326884738554142,1.0499982237815857,1.0499982237815857,0.044511248439137875,0.044511248439137875,0.0,0.0,0.2759450748562813,0.2759450748562813,0.3658824861049652,0.3658824861049652,0.24496709258416985,0.24496709258416985,0.345453180372715,0.345453180372715,0.46520526707172394,0.46520526707172394,0.2571967654700115,0.2571967654700115,0.30884866416454315,0.30884866416454315,0.5464951395988464,0.5464951395988464,0.43353189778263146,0.43353189778263146,1.0266619324684143,1.0266619324684143,0.9587740898132324,0.9587740898132324,0.07297496768268058,0.07297496768268058,1.100953534245491,1.100953534245491,4.26314640045166,4.26314640045166,0.7420055809270945,0.7420055809270945,2.6286690906326835e-05,2.6286690906326835e-05,0.0001101442935838217,0.0001101442935838217,0.759326729609088,0.759326729609088,4.243082564473152,4.243082564473152,4.805572832226754,4.805572832226754,0.11685220799821472,0.11685220799821472,0.1788769576278118,0.1788769576278118,-0.42843076690505344,-0.42843076690505344,1.5571050143322012,1.5571050143322012,2.4405626047166566,2.4405626047166566,3.485404897541609,3.485404897541609,0.2988564501686549,0.2988564501686549,0.7550329074158302,0.7550329074158302,1.0,1.0,current_full27_train26_same15
M17f_broad_sparse_finetexture_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.1449648141860962,1.1449648141860962,1.1368173360824585,1.1368173360824585,1.1052119135856628,1.1052119135856628,1.0292092953089027,1.0292092953089027,1.1224992871284485,1.1224992871284485,1.3966975808143616,1.3966975808143616,0.013370434136097804,0.013370434136097804,38.85180278281135,38.85180278281135,0.18501693160140564,0.18501693160140564,2.1798012948036174,2.1798012948036174,0.6313547174868827,0.6313547174868827,3.7520312282602317,3.7520312282602317,3.7935216894435797e-06,3.7935216894435797e-06,0.982278133329971,0.982278133329971,0.0024162086380785652,0.0024162086380785652,0.0023358825419178635,0.0023358825419178635,8.032609616084473e-05,8.032609616084473e-05,0.21575080924422307,0.21575080924422307,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061334612222887,0.7061334612222887,1.0981470599520415,1.0981470599520415,0.25466586128143326,0.25466586128143326,0.046972888958271064,0.046972888958271064,0.982278133329971,0.982278133329971,19.68503937007874,19.68503937007874,0.9866295658639022,0.9866295658639022,8.326906832339867,8.326906832339867,1.0499985218048096,1.0499985218048096,0.04451295185853023,0.04451295185853023,0.0,0.0,0.27595167607069016,0.27595167607069016,0.3658824861049652,0.3658824861049652,0.24494953430296307,0.24494953430296307,0.34545760601758957,0.34545760601758957,0.46520526707172394,0.46520526707172394,0.2571873877958351,0.2571873877958351,0.30886901915073395,0.30886901915073395,0.5464951395988464,0.5464951395988464,0.4334963973091185,0.4334963973091185,1.0266681015491486,1.0266681015491486,0.9587740898132324,0.9587740898132324,0.0729816393089117,0.0729816393089117,1.1009512096643448,1.1009512096643448,4.26314640045166,4.26314640045166,0.7420061462876448,0.7420061462876448,2.6294167931120523e-05,2.6294167931120523e-05,0.0001101442935838217,0.0001101442935838217,0.7592641163723879,0.7592641163723879,4.243380677998066,4.243380677998066,4.805572832226754,4.805572832226754,0.11678932164028244,0.11678932164028244,0.17887021068574624,0.17887021068574624,-0.42843076690505344,-0.42843076690505344,1.557075483918578,1.557075483918578,2.4405921851948325,2.4405921851948325,3.485404897541609,3.485404897541609,0.2988475876482533,0.2988475876482533,0.7550504656970369,0.7550504656970369,1.0,1.0,current_full27_train26_same15
M17g_moderate_broad_topology_terrace,2,1.5,1.5,3.7520350217819214,3.7520350217819214,2.863807381261699,2.863807381261699,0.8882276405202225,0.8882276405202225,1.1449753046035767,1.1449753046035767,1.1368175148963928,1.1368175148963928,1.1052119135856628,1.1052119135856628,1.0292094541691925,1.0292094541691925,1.1224991083145142,1.1224991083145142,1.3966971039772034,1.3966971039772034,0.013370551582042846,0.013370551582042846,38.85166007959022,38.85166007959022,0.18501744038932189,0.18501744038932189,2.179473907947539,2.179473907947539,0.6313547017863325,0.6313547017863325,3.7520312441202623,3.7520312441202623,3.777661659043474e-06,3.777661659043474e-06,0.9823703509981947,0.9823703509981947,0.0024162719825046586,0.0024162719825046586,0.002335938920448482,0.002335938920448482,8.033306205636675e-05,8.033306205636675e-05,0.2158626273229789,0.2158626273229789,19.68503937007874,19.68503937007874,0.5,0.5,0.1428571428571429,0.1428571428571429,0.7061341311685065,0.7061341311685065,1.0981462967659021,1.0981462967659021,0.2546919537255806,0.2546919537255806,0.046973111231051634,0.046973111231051634,0.9823703509981947,0.9823703509981947,19.68503937007874,19.68503937007874,0.9866294484179572,0.9866294484179572,8.326909859118135,8.326909859118135,1.0499979853630066,1.0499979853630066,0.04451330099831574,0.04451330099831574,0.0,0.0,0.2759478762745857,0.2759478762745857,0.3658824861049652,0.3658824861049652,0.2449596412142672,0.2449596412142672,0.3454546704888344,0.3454546704888344,0.46520526707172394,0.46520526707172394,0.25719360800395885,0.25719360800395885,0.3088535740971565,0.3088535740971565,0.5464951395988464,0.5464951395988464,0.4335233345278565,0.4335233345278565,1.026665061712265,1.026665061712265,0.9587740898132324,0.9587740898132324,0.07297835184091375,0.07297835184091375,1.1009510457515717,1.1009510457515717,4.26314640045166,4.26314640045166,0.7420061861528118,0.7420061861528118,2.628749667589351e-05,2.628749667589351e-05,0.0001101442935838217,0.0001101442935838217,0.759319982026728,0.759319982026728,4.243464183807372,4.243464183807372,4.805572832226754,4.805572832226754,0.11677170628312941,0.11677170628312941,0.17887296676935396,0.17887296676935396,-0.42843076690505344,-0.42843076690505344,1.5570875469077254,1.5570875469077254,2.4405927269924463,2.4405927269924463,3.485404897541609,3.485404897541609,0.2988474253218575,0.2988474253218575,0.7550403587857328,0.7550403587857328,1.0,1.0,current_full27_train26_same15
