alpha,standardized_mae,log_rq_standardized_mae
100.0,1.0322242192717062,1.2582193434238433
10.0,1.3120449648049002,1.659358270963033
1.0,1.6710138271942183,2.0080835099021592
0.1,2.6735046157268463,2.852220011750857
