frame_index,keyframe_quality,visibility_rank,selector_score,tracker,model_input_visibility,refined_from_frame_index,event_time_seconds,estimated_period_frames_at_detection
129,0.67601246105919,0.5015576323987538,0.4067133152302158,causal_online_front,0.5015576323987538,,12.9,19.0
221,0.6800623052959501,0.5077881619937694,0.409478818061705,causal_online_compact,0.5077881619937694,,22.1,18.5
312,0.7043613707165108,0.5451713395638629,0.4176973263605609,causal_online_front,0.5451713395638629,,31.2,18.0
495,0.6699376947040498,0.49221183800623053,0.40258783110366037,causal_online_front,0.49221183800623053,,49.5,18.0
678,0.675,0.5,0.406434561755064,causal_online_front,0.5,,67.8,16.5
862,0.7043613707165108,0.5451713395638629,0.4179324453014926,causal_online_front,0.5451713395638629,,86.2,17.0
1045,0.7033489096573209,0.543613707165109,0.41648696288107584,causal_online_front,0.543613707165109,,104.5,17.0
1228,0.710436137071651,0.5545171339563862,0.42160276324197143,causal_online_front,0.5545171339563862,,122.8,18.0
1321,0.7033489096573209,0.543613707165109,0.41698769679157444,causal_online_front,0.543613707165109,,132.1,18.5
1595,0.6911993769470405,0.5249221183800623,0.4134560601661915,causal_online_front,0.5249221183800623,,159.5,19.0
1962,0.6810747663551402,0.5093457943925234,0.410444906637488,causal_online_front,0.5093457943925234,,196.2,18.5
2054,0.6830996884735203,0.5124610591900312,0.41059640207692133,causal_online_front,0.5124610591900312,,205.4,18.0
2145,0.7205607476635514,0.5700934579439252,0.42704103465433063,causal_online_front,0.5700934579439252,,214.5,18.5
