stratum,count,mae_nm,rmse_nm,bias_nm
all,27,0.6853452351430823,0.829067335675652,-0.02740918566550947
smooth_below_1p6_nm,7,0.5842567770871888,0.8205850309065724,0.2593018516375249
rough_3_to_10_nm,9,0.582881920416479,0.6829231660513643,-0.5538314699014335
