variant,split,row_count,descriptor_mse,descriptor_mae,descriptor_rmse,descriptor_r2,descriptor_spearman,prototype_accuracy,prototype_macro_f1,beats_mean_condition_mse,checkpoint,mae_checkpoint_loaded,label_fraction,model_family
label_25_temporal_random_init,val,5,1.0810773372650146,0.7716907858848572,1.0397486894750168,-0.3078610897064209,-0.04615384615384616,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_25_temporal_random_init/checkpoints/best.pt,False,0.25,temporal_random_init
label_25_temporal_mae_init,val,5,1.0791900157928467,0.772468090057373,1.0388407076125032,-0.3055778741836548,-0.0692307692307692,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_25_temporal_mae_init/checkpoints/best.pt,True,0.25,temporal_mae_init
label_25_handcrafted_only,val,5,1.0683221817016602,0.7774021029472351,1.0335967210192087,-0.29243016242980957,0.13846153846153844,0.0,0.0,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_25_handcrafted_only/checkpoints/best.pt,False,0.25,handcrafted_only
label_25_metadata_only,val,5,1.0989644527435303,0.7859757542610168,1.0483150541433288,-0.3295004367828369,0.0846153846153846,0.6,0.21428571428571427,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_25_metadata_only/checkpoints/best.pt,False,0.25,metadata_only
label_50_temporal_random_init,val,5,1.085225224494934,0.7736600041389465,1.0417414384073114,-0.3128790855407715,0.023076923076923064,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_50_temporal_random_init/checkpoints/best.pt,False,0.5,temporal_random_init
label_50_temporal_mae_init,val,5,1.083585500717163,0.7742621302604675,1.0409541299774756,-0.3108954429626465,-0.061538461538461535,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_50_temporal_mae_init/checkpoints/best.pt,True,0.5,temporal_mae_init
label_50_handcrafted_only,val,5,1.0694506168365479,0.7780857086181641,1.034142454808112,-0.2937953472137451,0.030769230769230764,0.0,0.0,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_50_handcrafted_only/checkpoints/best.pt,False,0.5,handcrafted_only
label_50_metadata_only,val,5,1.1018024682998657,0.7878137826919556,1.0496677894933548,-0.33293378353118896,0.16153846153846152,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_50_metadata_only/checkpoints/best.pt,False,0.5,metadata_only
label_75_temporal_random_init,val,5,1.0923686027526855,0.7692249417304993,1.0451643903007246,-0.32152092456817627,0.1153846153846154,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_75_temporal_random_init/checkpoints/best.pt,False,0.75,temporal_random_init
label_75_temporal_mae_init,val,5,1.0903874635696411,0.7706693410873413,1.0442161957993379,-0.3191242218017578,0.07692307692307693,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_75_temporal_mae_init/checkpoints/best.pt,True,0.75,temporal_mae_init
label_75_handcrafted_only,val,5,1.067854881286621,0.7764189839363098,1.0333706408092989,-0.29186487197875977,0.06153846153846153,0.0,0.0,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_75_handcrafted_only/checkpoints/best.pt,False,0.75,handcrafted_only
label_75_metadata_only,val,5,1.1043931245803833,0.7867981791496277,1.0509011012366403,-0.33606791496276855,0.08461538461538462,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_75_metadata_only/checkpoints/best.pt,False,0.75,metadata_only
label_100_temporal_random_init,val,5,1.0858644247055054,0.7668629288673401,1.04204818732413,-0.31365227699279785,0.05384615384615388,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_100_temporal_random_init/checkpoints/best.pt,False,1.0,temporal_random_init
label_100_temporal_mae_init,val,5,1.0838803052902222,0.7676649689674377,1.0410957234040596,-0.31125199794769287,-0.19999999999999998,0.6,0.1875,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_100_temporal_mae_init/checkpoints/best.pt,True,1.0,temporal_mae_init
label_100_handcrafted_only,val,5,1.0690230131149292,0.7766068577766418,1.033935690995784,-0.2932779788970947,0.16153846153846152,0.0,0.0,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_100_handcrafted_only/checkpoints/best.pt,False,1.0,handcrafted_only
label_100_metadata_only,val,5,1.1030895709991455,0.7870345115661621,1.0502807105717715,-0.33449089527130127,0.038461538461538464,0.6,0.21428571428571427,True,reports/rheed_ssl_temporal_mvp/20260703_072054/ablations/label_100_metadata_only/checkpoints/best.pt,False,1.0,metadata_only
