sample_id,predicted_rq_q50_nm,true_rq_nm,absolute_error_nm
6022,3.706294569204524,1.4471265822649002,2.259167986939624
6028,4.450313195476182,5.7479071617126465,1.2975939662364642
6029,2.8095809195348114,2.3621323108673096,0.4474486086675018
6033,2.6302345287324447,2.2941808700561523,0.33605365867629233
6047,3.0331323378763813,4.191615502039592,1.1584831641632105
6048,2.851003715564352,1.9803074598312376,0.8706962557331146
6056,2.9090498912779315,2.764359931151072,0.14468996012685942
6057,2.784359257016469,4.548365879058838,1.764006622042369
6062,2.2639405431567203,3.074277698993683,0.8103371558369625
6063,4.643167982498033,5.763735413551331,1.1205674310532974
6070,2.906712636821548,2.6383082469304404,0.2684043898911077
6072,2.1186244810567665,1.269736334681511,0.8488881463752556
6078,1.4098426390940642,1.431350588798523,0.021507949704458795
6080,1.674873811811449,3.5164570808410645,1.8415832690296154
6081,2.935413980268458,1.122542753815651,1.812871226452807
6082,3.213975878142729,1.8729759057362871,1.3409999724064416
6084,3.0980939319071954,1.765614032745361,1.3324798991618343
6085,2.832652226056999,2.74203884601593,0.09061338004106867
6090,2.1202279560943955,2.7626312573750815,0.642403301280686
6094,3.713782796935869,2.4914984362465993,1.2222843606892697
6095,4.62780761769412,7.420876423517863,2.7930688058237436
6099,3.7254707906588465,10.26789697011312,6.542426179454274
6101,1.1779707133758512,1.193656861782074,0.015686148406222733
