target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M12a_frozen_alpha1,1.0,23,1.7456122586342544,0.9225731132307406,0.04899527097206771,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056;6078;6057;6095;6028;6070;6033;6094;6085;6099;6090;6022
FSMI_nm,M12a_frozen_alpha1,0.9130434782608695,21,1.5704669556417248,0.8783574034419694,0.15812036921535083,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056;6078;6057;6095;6028;6070;6033;6094;6085;6099
FSMI_nm,M12a_frozen_alpha1,0.8260869565217391,19,1.281256961345015,0.7070001571265337,0.2683496368016231,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056;6078;6057;6095;6028;6070;6033;6094
FSMI_nm,M12a_frozen_alpha1,0.7391304347826086,17,1.2420952489226371,0.7070001571265337,0.34979275163426854,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056;6078;6057;6095;6028;6070
FSMI_nm,M12a_frozen_alpha1,0.6086956521739131,14,0.9771616936366649,0.7046818723088761,0.22195707386366426,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056;6078;6057
FSMI_nm,M12a_frozen_alpha1,0.5217391304347826,12,0.9527414823104933,0.7046818723088761,0.22981487806400783,6029;6062;6081;6084;6101;6048;6082;6063;6047;6080;6072;6056
FSMI_nm,M14a_regularized_alpha10,1.0,23,1.465348491342312,0.9505066637451757,0.16193109706502207,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080;6047;6057;6072;6028;6033;6085;6095;6094;6099;6090;6022
FSMI_nm,M14a_regularized_alpha10,0.9130434782608695,21,1.3435626017932358,0.8484112433636428,0.3221188807666639,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080;6047;6057;6072;6028;6033;6085;6095;6094;6099
FSMI_nm,M14a_regularized_alpha10,0.8260869565217391,19,1.089343153278057,0.8302767712790642,0.43924135318700475,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080;6047;6057;6072;6028;6033;6085;6095
FSMI_nm,M14a_regularized_alpha10,0.7391304347826086,17,0.8785577628070307,0.598530870185543,0.3789981816629394,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080;6047;6057;6072;6028;6033
FSMI_nm,M14a_regularized_alpha10,0.6086956521739131,14,0.8199536835526511,0.5931259624261962,0.3503082869394731,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080;6047;6057
FSMI_nm,M14a_regularized_alpha10,0.5217391304347826,12,0.9215484480120725,0.7144038207323036,0.18504669490571196,6029;6081;6084;6101;6048;6062;6078;6082;6070;6063;6056;6080
FSMI_nm,M14b_rheed_density_weighted,1.0,23,1.3324141779743663,0.8056418438391386,0.18910095547682426,6029;6048;6081;6084;6101;6070;6062;6078;6056;6082;6063;6080;6072;6047;6057;6033;6085;6095;6028;6094;6099;6090;6022
FSMI_nm,M14b_rheed_density_weighted,0.9130434782608695,21,1.250136983358764,0.7281155919606527,0.32994143097063794,6029;6048;6081;6084;6101;6070;6062;6078;6056;6082;6063;6080;6072;6047;6057;6033;6085;6095;6028;6094;6099
FSMI_nm,M14b_rheed_density_weighted,0.8260869565217391,19,0.9790489473941956,0.6997122927967263,0.4543011011907577,6029;6048;6081;6084;6101;6070;6062;6078;6056;6082;6063;6080;6072;6047;6057;6033;6085;6095;6028
