target,method,growth_group_count,mae,median_absolute_error,rmse,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,interval_coverage,mean_interval_width,prediction_min,prediction_max,truth_min,truth_max
FSMI_nm,M14b_rheed_density_weighted,23,1.3324141779743663,0.8056418438391386,2.0690964969517927,0.18910095547682426,0.38750146870036034,0.3181818181818182,0.13897508098949368,-0.5491626781110044,0.006648020367377828,0.8695652173913043,6.950342690403618,1.001941246303306,5.014976324726058,0.3286650711030523,8.69575314178455
FSMI_nm,M14i_target_specific_robust,23,1.3324141779743663,0.8056418438391386,2.0690964969517927,0.18910095547682426,0.38750146870036034,0.3181818181818182,0.13897508098949368,-0.5491626781110044,0.006648020367377828,0.8695652173913043,6.950342690403618,1.001941246303306,5.014976324726058,0.3286650711030523,8.69575314178455
FSMI_nm,M14c_residual_self_paced,23,1.3404418132162315,0.749329823133714,2.06929265613341,0.15064202734533652,0.4926522869373971,0.3290513833992095,0.12524375783915412,-0.41765854672320296,0.04736498994387499,0.8695652173913043,6.812263717670936,1.0146382417600543,4.395704426889754,0.3286650711030523,8.69575314178455
FSMI_nm,M14h_nested_support_aware_selector,23,1.3760707081673902,0.8275630305004293,2.1381982121149554,0.11396992493137528,0.6046033314659156,0.2875494071146245,0.1833737659091204,-0.34161294985567,0.11062742139176207,0.8695652173913043,6.801770891425775,1.0558920685507172,5.721736922241514,0.3286650711030523,8.69575314178455
FSMI_nm,M14a_regularized_alpha10,23,1.465348491342312,0.9505066637451757,2.1215897632117513,0.16193109706502218,0.4604053797461753,0.30335968379446643,0.1593839875761117,-0.5686000595903165,0.004639909704701987,0.8695652173913043,6.780459382550194,0.12880234997340606,5.721736922241514,0.3286650711030523,8.69575314178455
FSMI_nm,M14g_multiview_curated60_r3d40,23,1.4867222666654623,1.128250353397214,2.0502900296583686,0.20658659721132747,0.3442708719566534,0.20454545454545459,0.34916435580619776,-0.5531349217139773,0.006187606972429058,0.8695652173913043,6.078793233736112,0.3543965869827946,5.349885451071847,0.3286650711030523,8.69575314178455
FSMI_nm,M14f_multiview_curated40_r3d60,23,1.5143761863853864,0.9647735511971254,2.0373924295346204,0.21832240090997795,0.31692919986147394,0.16403162055335968,0.4545286856029696,-0.4021805299541264,0.05711130556887731,0.8695652173913043,5.922748446199433,0.5878579594129817,5.173122730668664,0.3286650711030523,8.69575314178455
FSMI_nm,M14e_multiview_curated20_r3d80,23,1.544316975883459,1.161718307619266,2.0427373445443955,0.21243444831805874,0.3304772073591078,0.0790513833992095,0.719941518440136,-0.3376407062526971,0.11510734665633557,0.8695652173913043,6.285607104786797,0.9751137373734695,5.002200333317269,0.3286650711030523,8.69575314178455
FSMI_nm,M14d_r3d_causal_temporal,23,1.59119926863584,1.3497249962642557,2.0717780316386163,0.183063928712764,0.4031079435182586,0.043478260869565216,0.8438440075057312,-0.23348990881250611,0.2836117663974546,0.8695652173913043,6.812731299434722,1.1454526216858598,4.836925292009285,0.3286650711030523,8.69575314178455
FSMI_nm,M12a_frozen_alpha1,23,1.7456122586342544,0.9225731132307406,2.381669048727604,0.04899527097206773,0.8243120653949542,0.1057312252964427,0.6311269024565602,-0.48461371956269467,0.01910225498617625,0.8695652173913043,7.5645620879197715,0.0013279876510996352,6.361615622823478,0.3286650711030523,8.69575314178455
Rq_nm,M14b_rheed_density_weighted,23,1.5120775795259822,0.9898773096146671,2.3018901114530173,0.20672791324385095,0.34393358592390616,0.3675889328063241,0.08442064140763433,-0.45084964893742496,0.030840471233845833,0.8695652173913043,7.979557862599993,1.1617289997207314,5.533608154500465,0.481030598282814,9.394835472106934
Rq_nm,M14h_nested_support_aware_selector,23,1.5294072768723108,0.9329871288694891,2.3346038257067057,0.19270826584631834,0.37834154162529937,0.3745059288537549,0.07830136218924433,-0.37239783777871005,0.08012975208746445,0.8695652173913043,7.706712264786348,1.1617289997207314,6.212910564870169,0.481030598282814,9.394835472106934
Rq_nm,M14c_residual_self_paced,23,1.5641490604511779,0.8061497051656237,2.3794748909932184,0.1006371120887983,0.6477526023046776,0.25790513833992096,0.2347842514259736,-0.4935512676693836,0.01669613467706775,0.8695652173913043,8.138352808172002,1.1125380156826072,5.435650463879567,0.481030598282814,9.394835472106934
Rq_nm,M14a_regularized_alpha10,23,1.6103405447616608,1.0236101013840504,2.339223847489171,0.20359372090505487,0.3514599776144336,0.3409090909090909,0.1114117908726947,-0.5631911190897606,0.005139356101067372,0.8695652173913043,7.727279109089585,0.29755247736149437,6.212910564870169,0.481030598282814,9.394835472106934
Rq_nm,M14g_multiview_curated60_r3d40,23,1.6615715723737365,1.2325572745558557,2.271227040855699,0.2327405930692023,0.28520403801647065,0.23715415019762848,0.27590585852781313,-0.5238175806755206,0.010305528584757665,0.8695652173913043,6.91392597263432,0.6082793786455885,5.843386693592487,0.481030598282814,9.394835472106934
Rq_nm,M14i_target_specific_robust,23,1.6615715723737365,1.2325572745558557,2.271227040855699,0.2327405930692023,0.28520403801647065,0.23715415019762848,0.27590585852781313,-0.5238175806755206,0.010305528584757665,0.8695652173913043,6.91392597263432,0.6082793786455885,5.843386693592487,0.481030598282814,9.394835472106934
Rq_nm,M14f_multiview_curated40_r3d60,23,1.7015537942879717,1.0434969660236204,2.266722732990738,0.23278886697398915,0.28510128912802585,0.2272727272727273,0.2969921943294192,-0.42463613580927073,0.04341942743773947,0.8695652173913043,6.6766985122871585,0.8697067789983646,5.666950118182377,0.481030598282814,9.394835472106934
Rq_nm,M14e_multiview_curated20_r3d80,23,1.7395185580189518,1.276278410602886,2.282626029162868,0.21521955174361201,0.3240261037655633,0.14525691699604742,0.5084195727681444,-0.3555158024660751,0.09595006434765375,0.8260869565217391,7.076763631152466,1.2434909155064706,5.495840909721398,0.481030598282814,9.394835472106934
Rq_nm,M14d_r3d_causal_temporal,23,1.803902510563249,1.4855517088146915,2.3228914657635737,0.17985009350023418,0.4115562177620869,0.08794466403162056,0.6898770246642605,-0.19240370168240845,0.3791100996118013,0.8695652173913043,7.898848008793723,1.317790216092198,5.329898212454191,0.481030598282814,9.394835472106934
Rq_nm,M12a_frozen_alpha1,23,1.9408077461203346,1.034612069487649,2.637145976825026,0.0896283429695943,0.6842343215240144,0.17588932806324112,0.42210052883017857,-0.49454432857012687,0.016444736449446433,0.8695652173913043,8.398409227980988,0.004175009787035631,7.478935059594569,0.481030598282814,9.394835472106934
