sample_id,T4_second_order_trimmed_mean,T6_quality_weighted_second_order
6022,1.4471265822649002,1.5161724785963695
6028,5.7479071617126465,4.920198023319244
6029,2.3621323108673096,2.4203683137893677
6033,2.2941808700561523,2.354630708694458
6047,4.191615502039592,4.23758390545845
6048,1.9803074598312376,1.9803074598312376
6056,2.764359931151072,2.750147287662213
6057,4.548365879058838,4.542513506753104
6062,3.074277698993683,3.3678022623062134
6063,5.763735413551331,5.6883541742960615
6070,2.6383082469304404,2.586154133081436
6072,1.269736334681511,1.2616959597383226
6078,1.431350588798523,1.46942138671875
6080,3.5164570808410645,3.6975074410438538
6081,1.122542753815651,1.2514194250106812
6082,1.8729759057362871,1.8729759057362871
6084,1.765614032745361,1.8812692165374756
6085,2.74203884601593,2.626470148563385
6090,2.7626312573750815,2.7626312573750815
6094,2.4914984362465993,2.48083599191159
6095,7.420876423517863,8.195178478956223
6099,10.26789697011312,10.864346504211426
6101,1.193656861782074,1.1204886138439178
6358,1.0923130641108978,1.0942981519403507
6382,1.3039365987122695,1.2901544347281384
