stratum,count,mae_nm,rmse_nm,bias_nm
all,27,0.7249532100022312,0.8965851905297098,-0.06701716052465831
smooth_below_1p6_nm,7,0.5842567770871888,0.8205850309065724,0.2593018516375249
rough_3_to_10_nm,9,0.7017058449939255,0.9032835219953005,-0.67265539447888
