sample_id,source_type,sample_status,sample_quality,sample_folder,frame_selection_folder,shape_input_folder,num_frames_available,num_frames_used,rejected_frame_count,accepted_csv,manual_selection_file,shape_bag_npz,sample_feature_json,sample_feature_csv,preview_grid,exposure_audit_json
N6043 - Copy,accepted_v2_fallback,GOOD,0.30001916,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2,16,16,260,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6047 - Copy,accepted_v2_fallback,GOOD,0.3079648,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2,16,16,502,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6048 - Copy,accepted_v2_fallback,GOOD,0.30202826,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2,16,16,355,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6049 - Copy,accepted_v2_fallback,GOOD,0.30202123,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2,16,16,72,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6050 - Copy,accepted_v2_fallback,USABLE,0.2956006,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2,16,16,133,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6053,accepted_v2_fallback,USABLE,0.28752231,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2,16,16,277,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6054 - Copy,accepted_v2_fallback,USABLE,0.29713266,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2,16,16,537,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6055 - Copy,accepted_v2_fallback,USABLE,0.28023003,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2,16,16,386,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6056 - Copy,accepted_v2_fallback,GOOD,0.3094164,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2,16,16,472,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
N6057 - Copy,accepted_v2_fallback,USABLE,0.27497253,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2,16,16,376,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2/accepted_candidate_frames.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2/manual_selected_frames.txt,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2/shape_bag_v2.npz,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2/sample_shape_features_v2.json,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2/sample_shape_features_v2.csv,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2/shape_input_overview_v2.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/rheed_shape_input_v2/exposure_invariance_audit_v2.json
