sample_id,accepted_csv,failure
N6066,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/frame_selection_v2/accepted_candidate_frames.csv,RuntimeError: sample status LOW_CONFIDENCE excluded by current filters
N6099,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/frame_selection_v2/accepted_candidate_frames.csv,RuntimeError: sample status EXCLUDE excluded by current filters
