sample_id,video_path,sample_dir,frame_selection_dir,scanned_frame_count,sampled_frame_count,valid_frame_count,accepted_count,rejected_count,status,status_reason,low_confidence_flag,mean_validity_score,mean_information_score,mean_temporal_consistency_score,accepted_grid_path,rejected_grid_path,failure
N6081,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081/videos/N6081_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081/frame_selection_v2,184,184,49,16,168,USABLE,16 accepted frames passed v2 hard rejection,0,0.93742098,0.26635273,0.61961839,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081/frame_selection_v2/rejected_bad_frames_grid.png,
N6082,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082/videos/N6082_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082/frame_selection_v2,375,375,158,16,359,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95202247,0.28795378,0.62218187,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082/frame_selection_v2/rejected_bad_frames_grid.png,
N6084,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084/videos/N6084_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084/frame_selection_v2,437,437,219,16,421,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95048647,0.27877274,0.63917782,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084/frame_selection_v2/rejected_bad_frames_grid.png,
N6085,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085/videos/N6085_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085/frame_selection_v2,497,497,146,16,481,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94871699,0.29050717,0.58215758,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085/frame_selection_v2/rejected_bad_frames_grid.png,
N6087,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087/videos/N6087_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087/frame_selection_v2,367,367,132,16,351,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94770539,0.28747694,0.63731262,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087/frame_selection_v2/rejected_bad_frames_grid.png,
N6088,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088/videos/N6088_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088/frame_selection_v2,303,303,220,16,287,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95181967,0.2924109,0.7115124,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088/frame_selection_v2/rejected_bad_frames_grid.png,
N6090,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090/videos/N6090_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090/frame_selection_v2,272,272,180,16,256,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94615346,0.28774572,0.64798825,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090/frame_selection_v2/rejected_bad_frames_grid.png,
N6093,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093/videos/N6093_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093/frame_selection_v2,381,381,242,16,365,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.93904383,0.29629605,0.57993518,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093/frame_selection_v2/rejected_bad_frames_grid.png,
N6094,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094/videos/N6094_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094/frame_selection_v2,341,341,121,16,325,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95184799,0.28049558,0.64913857,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094/frame_selection_v2/rejected_bad_frames_grid.png,
N6095,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095/videos/N6095_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095/frame_selection_v2,500,500,137,16,484,USABLE,16 accepted frames passed v2 hard rejection,0,0.95142496,0.27129711,0.60143299,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095/frame_selection_v2/rejected_bad_frames_grid.png,
N6097,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097/videos/N6097_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097/frame_selection_v2,260,260,199,16,244,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95080146,0.30141581,0.5734545,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097/frame_selection_v2/rejected_bad_frames_grid.png,
N6099,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/videos/N6099_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/frame_selection_v2,144,144,0,0,144,EXCLUDE,no frames passed the v2 hard validity gate,1,0,0,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/frame_selection_v2/rejected_bad_frames_grid.png,
N6100,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100/videos/N6100_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100/frame_selection_v2,365,365,174,16,349,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.9561387,0.3031919,0.55025537,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100/frame_selection_v2/rejected_bad_frames_grid.png,
N6101,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101/videos/N6101_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101/frame_selection_v2,384,384,140,16,368,USABLE,16 accepted frames passed v2 hard rejection,0,0.94333182,0.27795962,0.57534814,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101/frame_selection_v2/rejected_bad_frames_grid.png,
N6102,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102/videos/N6102_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102/frame_selection_v2,466,466,88,16,450,USABLE,16 accepted frames passed v2 hard rejection,0,0.92956455,0.26396346,0.58471149,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6102/frame_selection_v2/rejected_bad_frames_grid.png,
N6104,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104/videos/N6104_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104/frame_selection_v2,317,317,50,16,301,USABLE,16 accepted frames passed v2 hard rejection,0,0.94719641,0.25759385,0.56228127,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6104/frame_selection_v2/rejected_bad_frames_grid.png,
N6105,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105/videos/N6105_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105/frame_selection_v2,734,734,158,16,718,USABLE,16 accepted frames passed v2 hard rejection,0,0.94541937,0.26814579,0.6371892,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6105/frame_selection_v2/rejected_bad_frames_grid.png,
N6110,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110/videos/N6110_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110/frame_selection_v2,789,789,145,16,773,USABLE,16 accepted frames passed v2 hard rejection,0,0.9608188,0.2696459,0.60940327,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6110/frame_selection_v2/rejected_bad_frames_grid.png,
N6112,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/videos/N6112_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/frame_selection_v2,403,403,69,16,387,USABLE,16 accepted frames passed v2 hard rejection,0,0.94571256,0.26919519,0.60295377,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/frame_selection_v2/rejected_bad_frames_grid.png,
N6113,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/videos/N6113_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/frame_selection_v2,303,303,258,16,287,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.931093,0.30798801,0.65888757,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/frame_selection_v2/rejected_bad_frames_grid.png,
N6117,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/videos/N6117_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/frame_selection_v2,511,511,234,16,495,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94738054,0.29710975,0.66423663,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/frame_selection_v2/rejected_bad_frames_grid.png,
N6194,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/videos/N6194_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/frame_selection_v2,540,540,79,16,524,USABLE,16 accepted frames passed v2 hard rejection,0,0.94127365,0.25869914,0.58253159,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/frame_selection_v2/rejected_bad_frames_grid.png,
N6196,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/videos/N6196_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/frame_selection_v2,461,461,187,16,445,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.9397824,0.27894909,0.66491444,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/frame_selection_v2/rejected_bad_frames_grid.png,
N6203,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/videos/N6203_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/frame_selection_v2,523,523,250,16,507,USABLE,16 accepted frames passed v2 hard rejection,0,0.93919854,0.2763988,0.5612059,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/frame_selection_v2/rejected_bad_frames_grid.png,
N6204,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/videos/N6204_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/frame_selection_v2,606,606,88,16,590,USABLE,16 accepted frames passed v2 hard rejection,0,0.9295273,0.25721989,0.59432242,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/frame_selection_v2/rejected_bad_frames_grid.png,
N6207,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/videos/N6207_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/frame_selection_v2,714,714,86,16,698,USABLE,16 accepted frames passed v2 hard rejection,0,0.94325165,0.25679989,0.60722224,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/frame_selection_v2/rejected_bad_frames_grid.png,
N6208,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/videos/N6208_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/frame_selection_v2,935,935,61,16,919,USABLE,16 accepted frames passed v2 hard rejection,0,0.95581699,0.25848674,0.61479526,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/frame_selection_v2/rejected_bad_frames_grid.png,
N6209,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/videos/N6209_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/frame_selection_v2,776,776,332,16,760,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.9320928,0.28407188,0.67963168,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/frame_selection_v2/rejected_bad_frames_grid.png,
N6210,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/videos/N6210_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/frame_selection_v2,840,840,71,16,824,USABLE,16 accepted frames passed v2 hard rejection,0,0.9465051,0.26480791,0.6248143,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/frame_selection_v2/rejected_bad_frames_grid.png,
