sample_id,video_path,sample_dir,frame_selection_dir,scanned_frame_count,sampled_frame_count,valid_frame_count,accepted_count,rejected_count,status,status_reason,low_confidence_flag,mean_validity_score,mean_information_score,mean_temporal_consistency_score,accepted_grid_path,rejected_grid_path,failure
N6011 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/videos/N6011 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2,369,369,153,16,353,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94194148,0.27931484,0.62497153,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6011 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6018 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/videos/N6018 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2,896,896,385,16,880,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94944659,0.32022114,0.54482039,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6018 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6019 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/videos/N6019 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2,892,892,648,16,876,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.96100901,0.30970792,0.5962237,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6019 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6022 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/videos/N6022 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2,810,810,338,16,794,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94995105,0.28879501,0.57303181,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6022 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6023 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/videos/N6023 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2,1021,1021,658,16,1005,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95100803,0.31794736,0.57387232,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6023 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6027 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/videos/N6027 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2,181,181,62,16,165,USABLE,16 accepted frames passed v2 hard rejection,0,0.91203441,0.26952582,0.58798806,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6027 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6028 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/videos/N6028 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2,701,701,495,16,685,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95899224,0.30983482,0.57861986,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6028 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6029 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/videos/N6029 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2,540,540,373,16,524,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95583531,0.29919739,0.63712955,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6029 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6033 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/videos/N6033 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2,719,719,298,16,703,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94120754,0.29047155,0.64811506,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6033 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6041 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/videos/N6041 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2,499,499,138,16,483,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95153646,0.2875943,0.54628028,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6041 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6043 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/videos/N6043 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2,276,276,106,16,260,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95515521,0.2742511,0.6254024,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6043 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6047 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/videos/N6047 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2,518,518,301,16,502,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94700389,0.28561448,0.61530257,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6047 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6048 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/videos/N6048 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2,371,371,82,16,355,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94313253,0.28858941,0.54846706,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6048 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6049 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/videos/N6049 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2,88,88,88,16,72,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95018195,0.2696113,0.7514472,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6049 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6050 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/videos/N6050 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2,149,149,95,16,133,USABLE,16 accepted frames passed v2 hard rejection,0,0.93502469,0.28410895,0.55919035,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6050 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6053,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/videos/N6053_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2,293,293,83,16,277,USABLE,16 accepted frames passed v2 hard rejection,0,0.94073875,0.26594983,0.61940867,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6053/frame_selection_v2/rejected_bad_frames_grid.png,
N6054 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/videos/N6054 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2,553,553,20,16,537,USABLE,16 accepted frames passed v2 hard rejection,0,0.95303718,0.27079415,0.61401303,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6054 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6055 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/videos/N6055 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2,402,402,83,16,386,USABLE,16 accepted frames passed v2 hard rejection,0,0.93594817,0.26141054,0.5907354,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6055 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6056 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/videos/N6056 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2,488,488,107,16,472,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94281185,0.29008684,0.63039406,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6056 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6057 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/videos/N6057 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2,392,392,87,16,376,USABLE,16 accepted frames passed v2 hard rejection,0,0.93339176,0.26585243,0.54799222,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6057 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6058 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6058 - Copy/videos/N6058 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6058 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6058 - Copy/frame_selection_v2,366,366,7,7,359,USABLE,7 accepted frames passed v2 hard rejection,0,0.94549179,0.25603066,0.53488247,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6058 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6058 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6061 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy/videos/N6061 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy/frame_selection_v2,467,467,36,16,451,USABLE,16 accepted frames passed v2 hard rejection,0,0.94080874,0.26732931,0.60415806,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6061 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6062 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6062 - Copy/videos/N6062 - Copy_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6062 - Copy,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6062 - Copy/frame_selection_v2,474,474,168,16,458,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.93745813,0.29440604,0.59598927,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6062 - Copy/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6062 - Copy/frame_selection_v2/rejected_bad_frames_grid.png,
N6063,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6063/videos/N6063_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6063,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6063/frame_selection_v2,813,813,254,16,797,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94598341,0.29028917,0.60356061,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6063/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6063/frame_selection_v2/rejected_bad_frames_grid.png,
N6065,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6065/videos/N6065_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6065,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6065/frame_selection_v2,438,438,184,16,422,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94068347,0.27862229,0.65937927,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6065/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6065/frame_selection_v2/rejected_bad_frames_grid.png,
N6066,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/videos/N6066_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/frame_selection_v2,705,705,1,1,704,LOW_CONFIDENCE,only 1 accepted frame(s) or low mean quality,1,0.96305727,0.26890274,0.4530659,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/frame_selection_v2/rejected_bad_frames_grid.png,
N6067,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067/videos/N6067_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067/frame_selection_v2,769,769,390,16,753,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95072836,0.28439059,0.60513047,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067/frame_selection_v2/rejected_bad_frames_grid.png,
N6068,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068/videos/N6068_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068/frame_selection_v2,689,689,249,16,673,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95887841,0.28042609,0.61965133,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068/frame_selection_v2/rejected_bad_frames_grid.png,
N6070,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070/videos/N6070_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070/frame_selection_v2,767,767,187,16,751,USABLE,16 accepted frames passed v2 hard rejection,0,0.94457265,0.27457666,0.6057364,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070/frame_selection_v2/rejected_bad_frames_grid.png,
N6072,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072/videos/N6072_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072/frame_selection_v2,519,519,283,16,503,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95946471,0.2796406,0.62503132,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072/frame_selection_v2/rejected_bad_frames_grid.png,
N6073,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073/videos/N6073_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073/frame_selection_v2,538,538,445,16,522,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.94310036,0.31824185,0.67389827,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073/frame_selection_v2/rejected_bad_frames_grid.png,
N6078,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078/videos/N6078_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078/frame_selection_v2,396,396,92,16,380,USABLE,16 accepted frames passed v2 hard rejection,0,0.94996352,0.26739257,0.62747489,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078/frame_selection_v2/rejected_bad_frames_grid.png,
N6080,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080/videos/N6080_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080/frame_selection_v2,382,382,240,16,366,GOOD,16 accepted frames with acceptable mean v2 quality,0,0.95393733,0.30268366,0.64847086,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080/frame_selection_v2/accepted_candidate_frames_grid.png,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080/frame_selection_v2/rejected_bad_frames_grid.png,
