variant,embedding_source,selected_model_name,learned_latent_mse,learned_latent_cosine_similarity,nearest_neighbor_latent_distance,nearest_neighbor_cosine_similarity,retrieved_latent_mse,topk_retrieval_hit_rate,beats_mean_latent,metrics_path,nearest_latent_grid_path,generated_afm_grid_path
raw,raw video + 8 frames + mean/std,knn,0.45124537,0.68624419,1.37046480,0.67809236,0.50322807,0.33333333,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun/1um/rheed_to_afm_latent/metrics.json,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun/1um/rheed_to_afm_latent/nearest_latent_grid.png,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun/1um/rheed_to_afm_latent/generated_afm_grid.png
processed,processed clean_frames + 64 frames + temporal stats,knn,0.69762623,0.51064420,1.87646163,0.52081704,0.72729385,0.00000000,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed/1um/rheed_to_afm_latent/metrics.json,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed/1um/rheed_to_afm_latent/nearest_latent_grid.png,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed/1um/rheed_to_afm_latent/generated_afm_grid.png
