sample_id,video_path,sample_dir,frame_selection_dir,scanned_frame_count,sampled_frame_count,candidate_count,low_confidence,candidate_grid_path,failure
N6112,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/videos/N6112_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/frame_selection,403,403,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6112/frame_selection/candidate_frames_grid.png,
N6113,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/videos/N6113_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/frame_selection,303,303,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6113/frame_selection/candidate_frames_grid.png,
N6117,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/videos/N6117_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/frame_selection,511,511,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6117/frame_selection/candidate_frames_grid.png,
N6194,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/videos/N6194_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/frame_selection,540,540,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6194/frame_selection/candidate_frames_grid.png,
N6196,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/videos/N6196_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/frame_selection,461,461,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6196/frame_selection/candidate_frames_grid.png,
N6203,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/videos/N6203_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/frame_selection,523,523,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6203/frame_selection/candidate_frames_grid.png,
N6204,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/videos/N6204_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/frame_selection,606,606,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6204/frame_selection/candidate_frames_grid.png,
N6207,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/videos/N6207_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/frame_selection,714,714,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6207/frame_selection/candidate_frames_grid.png,
N6208,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/videos/N6208_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/frame_selection,935,935,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6208/frame_selection/candidate_frames_grid.png,
N6209,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/videos/N6209_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/frame_selection,776,776,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6209/frame_selection/candidate_frames_grid.png,
N6210,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/videos/N6210_raw_crop_256x256.mp4,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/frame_selection,840,840,16,0,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6210/frame_selection/candidate_frames_grid.png,
