method,growth_group_count,median_cross_validation_fold,mean_cross_validation_fold,median_true_rq_nm,mean_true_rq_nm,median_generated_rq_nm,mean_generated_rq_nm,median_rq_absolute_error_nm,mean_rq_absolute_error_nm,median_condition_descriptor_mae_z,mean_condition_descriptor_mae_z,median_generated_pairwise_l1,mean_generated_pairwise_l1,median_real_pairwise_l1,mean_real_pairwise_l1,median_diversity_ratio,mean_diversity_ratio,median_unit_l1,mean_unit_l1,median_unit_rmse,mean_unit_rmse,median_ssim,mean_ssim,median_gradient_mae,mean_gradient_mae,median_physical_ra_error_nm,mean_physical_ra_error_nm,median_physical_robust_height_range_error_nm,mean_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,mean_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,mean_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,mean_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,mean_normalized_psd_log_distance,median_psd_low_band_error,mean_psd_low_band_error,median_psd_mid_band_error,mean_psd_mid_band_error,median_psd_high_band_error,mean_psd_high_band_error,median_psd_slope_error,mean_psd_slope_error,median_correlation_length_abs_error_nm,mean_correlation_length_abs_error_nm,median_correlation_length_relative_error,mean_correlation_length_relative_error,median_anisotropy_error,mean_anisotropy_error,median_skewness_error,mean_skewness_error,median_kurtosis_error,mean_kurtosis_error,median_height_quantile_error,mean_height_quantile_error,median_ra_rq_error,mean_ra_rq_error,median_physical_psd_distance,mean_physical_psd_distance,median_physical_correlation_length_error_nm,mean_physical_correlation_length_error_nm,median_ssim_penalty,mean_ssim_penalty,median_composite_score,mean_composite_score,median_nearest_training_l1,mean_nearest_training_l1,median_max_training_ssim,mean_max_training_ssim,median_exact_training_pixel_equality,mean_exact_training_pixel_equality,median_generated_mean_gradient,mean_generated_mean_gradient,median_real_mean_gradient,mean_real_mean_gradient,median_mean_gradient_relative_error,mean_mean_gradient_relative_error,median_generated_rms_gradient,mean_generated_rms_gradient,median_real_rms_gradient,mean_real_rms_gradient,median_rms_gradient_relative_error,mean_rms_gradient_relative_error,median_generated_laplacian_rms,mean_generated_laplacian_rms,median_real_laplacian_rms,mean_real_laplacian_rms,median_laplacian_rms_relative_error,mean_laplacian_rms_relative_error,median_generated_edge_energy_ratio,mean_generated_edge_energy_ratio,median_real_edge_energy_ratio,mean_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,mean_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,mean_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,mean_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,mean_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,mean_generated_high_psd_fraction,median_real_high_psd_fraction,mean_real_high_psd_fraction,median_high_psd_fraction_relative_error,mean_high_psd_fraction_relative_error,median_generated_robust_height_range,mean_generated_robust_height_range,median_real_robust_height_range,mean_real_robust_height_range,median_robust_height_range_relative_error,mean_robust_height_range_relative_error,median_generated_skewness,mean_generated_skewness,median_real_skewness,mean_real_skewness,median_skewness_relative_error,mean_skewness_relative_error,median_generated_kurtosis,mean_generated_kurtosis,median_real_kurtosis,mean_real_kurtosis,median_kurtosis_relative_error,mean_kurtosis_relative_error,median_sharpness_ratio,mean_sharpness_ratio,median_afm_texture_gate_pass,mean_afm_texture_gate_pass,texture_gate_pass_fraction
M10_dense_island_spectral_pareto,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.5904786702816622,2.6374777568616063,0.8293883576494947,1.5765457578219306,0.876477837562561,1.0194131990273794,1.1160837411880493,1.1163726131121317,1.1030480861663818,1.0834972381591796,1.0090436603314064,1.0336647442555555,1.120781660079956,1.128052576382955,1.4096394777297974,1.420054848988851,0.012862878503490261,0.011585423091987375,37.5900249877771,37.662316251077314,0.03618278739092018,0.0652777743562068,0.3780277395248426,1.0446681431134548,0.14080589157705958,0.3569773879775403,3.092362733581442,3.800832636958751,3.0738702805344076e-06,3.7711795245402396e-06,0.8597532946386037,0.9381227865575433,0.0016854917594615326,0.002982006010942199,0.001630693594286111,0.0028655886606033234,5.8013607220407584e-05,0.00011641735033886506,0.14046874713716218,0.25504638502014954,31.496062992125985,37.795275590551185,0.64,0.7119365079365081,0.16666666666666674,0.5524878389584271,0.2987533416864255,0.36949010241893987,0.3123387635334596,0.5225148442613858,0.12256718170429992,0.14011834359253256,0.013595404033284186,0.01622655400848753,0.8597532946386037,0.9381227865575433,31.496062992125985,37.795275590551185,0.9871371214965098,0.9884145769080127,8.10627941529057,8.111743422396534,1.045172929763794,1.0337704737981162,0.03663463626394997,0.03952553438839915,0.0,0.0,0.26250673830509186,0.2734042376279831,0.3343275785446167,0.33937942584355674,0.25044258547649295,0.24128427323805496,0.32272160053253174,0.33189689815044404,0.43132510781288147,0.43588460485140484,0.25307057709087655,0.2675265795397402,0.3087610900402069,0.3460270896553993,0.4963996857404709,0.5474741905927658,0.35741575974015977,0.37730063193150387,1.0117546319961548,1.0050114750862122,1.0176516771316528,1.0216771880785624,0.05315603757485287,0.044682748400888074,0.9642997086048126,0.9803120891253153,4.758741855621338,4.866178337732951,0.7857437720476502,0.7909168475145638,2.750728081330877e-05,5.547668028198974e-05,8.677488393813045e-05,0.00013813195028574343,0.7262297259101183,0.7591292472033507,4.687254858016967,4.70042379951477,4.812647156715393,4.752988234639167,0.043198665449543226,0.04902681072464928,0.09607670212701634,0.08361488722687711,0.02843638546901522,-0.1207158266219915,1.1249880904839895,1.531302878138343,3.0255554206965876,3.045874030257711,3.432365839864702,3.4578611039231344,0.16456098407524064,0.15128904769941143,0.8079704827839672,0.8317674383195275,1.0,0.8666666666666667,0.8666666666666667
M11a_amplitude_conditioned_islands,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,0.7831701636314392,0.9490367869536082,1.1328810453414917,1.1324581702550252,1.1030480861663818,1.0834972381591796,1.027527645795112,1.048068768882579,1.1212172508239746,1.1223275502522787,1.4212065935134888,1.4141609907150268,-0.0009120714429863808,0.001961806088401282,37.20326065052452,37.578405539573595,0.050331268128760875,0.07631829699015967,0.6505094909667939,1.2045880242983495,0.1604557278313039,0.3366822602709336,3.092362520372551,3.800832667224508,3.0413889131608585e-06,3.7409137674101106e-06,0.8405719353715576,0.940440032922655,0.0016606987264330408,0.002955637674419376,0.0016023799925472839,0.0028413186435864556,5.831873388550136e-05,0.00011441598786747658,0.16580701466611725,0.2613674789076273,31.496062992125985,40.94488188976378,0.64,0.7656825396825399,0.1428571428571428,0.5642098206804088,0.34726002810062634,0.3546217211291763,0.3853785210519667,0.5212750051772898,0.12449425917650947,0.13626834580482963,0.016431024921869763,0.018826523867658707,0.8405719353715576,0.940440032922655,31.496062992125985,40.94488188976378,1.0009120714429864,0.9980381939115986,7.979061131566899,8.109477823974034,1.052298665046692,1.0511602640151978,0.03427887446429109,0.03442430065707913,0.0,0.0,0.2646471709012985,0.2735906531413396,0.3343275785446167,0.33937942584355674,0.23402761444719486,0.23952823132978274,0.317367747426033,0.3316373070081075,0.43132510781288147,0.43588460485140484,0.2614331243628051,0.2686370635949004,0.31512705981731415,0.34714844475189843,0.4963996857404709,0.5474741905927658,0.3870122742060411,0.3764975861354872,1.0131829977035522,1.0196891129016876,1.0176516771316528,1.0216771880785624,0.03903935264770934,0.0363418444611167,0.9942499101161957,0.9869883040587107,4.758741855621338,4.866178337732951,0.7945993397789187,0.7903308361840958,2.721092628637668e-05,5.643365069613582e-05,8.677488393813045e-05,0.00013813195028574343,0.7414508997475927,0.7481650723990023,4.727134931087495,4.695293088356654,4.812647156715393,4.752988234639167,0.03953291807785398,0.04949488527815593,0.0013176112507179173,0.01456169126221948,0.02843638546901522,-0.1207158266219915,1.0062260608204925,1.2616842002922737,3.078916822628422,3.055960579538589,3.432365839864702,3.4578611039231344,0.10992642121276047,0.1379643593970589,0.80304997046117,0.8306628757620396,1.0,0.8666666666666667,0.8666666666666667
M11b_sdf_contour_soft,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,0.9653218388557434,1.0708927710851033,1.1491185426712036,1.1416515111923218,1.1030480861663818,1.0834972381591796,1.0380654358154702,1.0565384728907627,1.1309418678283691,1.1154011249542237,1.4087141752243042,1.3964206377665203,0.009974231867406329,0.007992940418578115,37.559028527519416,37.42248153420617,0.0819618408915419,0.11125601997209959,1.0475876855850217,1.4346610500017805,0.24034536403698414,0.4915573490029297,3.0923627115392724,3.8008326549051192,3.041292067962331e-06,3.7532331562080875e-06,0.9770761641842011,1.047754500325452,0.001670316365580904,0.0030210535152997023,0.001628751538332435,0.0029101462731568593,6.451594328862066e-05,0.0001116107135314639,0.16068051175685394,0.24854630625911847,23.62204724409449,37.270341207349084,0.6,0.6868253968253968,0.1499999999999999,0.5598182862888745,0.42539659772326016,0.4171217334903494,0.6499813832321104,0.8225484741836198,0.1586432433421059,0.1767158053801173,0.03285160482390359,0.0331481223071307,0.9770761641842011,1.047754500325452,23.62204724409449,37.270341207349084,0.9900257681325937,0.9920070595814219,8.008881632321598,8.09623708291038,1.038893222808838,1.038431962331136,0.036147147695335495,0.038680447760167345,0.0,0.0,0.26372644305229187,0.26759637941916786,0.3343275785446167,0.33937942584355674,0.22193665559343587,0.24622575158983395,0.3221551328897476,0.3300517757733663,0.43132510781288147,0.43588460485140484,0.24841871462255202,0.2647137531089345,0.3077096492052078,0.3277635465065638,0.4963996857404709,0.5474741905927658,0.4018517239260942,0.39066346216238634,1.0024052858352661,1.0166714767615,1.0176516771316528,1.0216771880785624,0.039356103384910364,0.036891656177411074,1.0838050246238708,1.0748101592063903,4.758741855621338,4.866178337732951,0.7769586555047919,0.7717178184121056,3.188026018970584e-05,5.214318762514326e-05,8.677488393813045e-05,0.00013813195028574343,0.631973946443356,0.6637049239327751,4.423605393767357,4.394967262943586,4.812647156715393,4.752988234639167,0.08285498448370772,0.08537426021415903,0.18437319699417484,0.18853195170090287,0.02843638546901522,-0.1207158266219915,1.2154890305081736,1.35580035763051,2.647102343473615,2.6421990802293176,3.432365839864702,3.4578611039231344,0.22378932485206426,0.22776035664176014,0.7787898975588415,0.8127422025722085,1.0,0.8666666666666667,0.8666666666666667
M11c_sdf_contour_strong,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,1.0935063362121582,1.2073859016100565,1.153826892375946,1.1441371162732443,1.1030480861663818,1.0834972381591796,1.0404081847200262,1.058810143807705,1.136061429977417,1.1195582787195841,1.4117190837860107,1.3997544050216675,0.007665569398481459,0.009274310119400279,37.951698512038874,37.61330881898023,0.11714154285922884,0.1549740085349393,1.3143832206726067,1.88200672308604,0.34777604743641044,0.5674964611032308,3.092362677338303,3.8008326013966767,2.9835743831085892e-06,3.8067415988625915e-06,1.0165122426117301,1.0664431133764194,0.001598976013561182,0.0029283532595180723,0.001586570925296995,0.0028628106093770565,3.6331642995229586e-05,9.099940885959404e-05,0.2550649472922304,0.33676163673220594,23.62204724409449,35.17060367454068,0.6,0.6201587301587301,0.1428571428571428,0.5302415667121548,0.4525805859286641,0.4566811851261074,0.7725507135109333,0.9706916856101021,0.1881925180341515,0.21129321381201355,0.04343230569056167,0.04526490047781104,1.0165122426117301,1.0664431133764194,23.62204724409449,35.17060367454068,0.9923344306015185,0.9907256898805998,8.047848726230377,8.128400931408516,1.0336883068084717,1.0382775942484537,0.037992236330822736,0.03920762286852034,0.0,0.0,0.26664140820503235,0.2676333948969841,0.3343275785446167,0.33937942584355674,0.22563936687668681,0.24324947942184905,0.33253441751003265,0.33708768884340923,0.43132510781288147,0.43588460485140484,0.2417913413458985,0.2505357580311082,0.3387070298194885,0.35052756865819296,0.4963996857404709,0.5474741905927658,0.3365512951463334,0.34574078584646917,1.0059723854064941,1.0158609171708426,1.0176516771316528,1.0216771880785624,0.03299095040333536,0.03813266515577737,1.0580454766750336,1.056350682179133,4.758741855621338,4.866178337732951,0.7776627712164716,0.7755600188564814,6.341661332312002e-05,7.983291009109793e-05,8.677488393813045e-05,0.00013813195028574343,0.3762953730648196,0.5078877140869548,4.240767335891723,4.214380626877149,4.812647156715393,4.752988234639167,0.11835036817298772,0.1158621758581353,0.2662217702771704,0.26894314464290026,0.02843638546901522,-0.1207158266219915,1.5602641383372224,1.9609825227959312,2.4513221443285516,2.4480646393324665,3.432365839864702,3.4578611039231344,0.2807557405068554,0.2758240972411348,0.7856826547859261,0.8130026740200363,1.0,0.8666666666666667,0.8666666666666667
M12a_edge_preserving_terrace,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,1.0949033498764038,1.2317845265070597,1.151991605758667,1.144857680797577,1.1030480861663818,1.0834972381591796,1.0474803611196193,1.0594160407340898,1.1287977695465088,1.122752809524536,1.412537932395935,1.4069740215937296,0.016151332528487387,0.014512769917407853,37.01567397974538,36.92808244309901,0.1137686397277351,0.1555272138141042,1.196064479351044,1.653446450551352,0.2847928143837556,0.546687937570499,3.0923626683658028,3.800832646177264,3.0255584144711634e-06,3.761961010617654e-06,1.082828461411146,1.149346924298723,0.0019026222728230069,0.003196877341925782,0.0018349023377294896,0.0030736988072314854,6.771993509354825e-05,0.00012320125451720218,0.16781062209288855,0.32055284231015513,23.62204724409449,37.795275590551185,0.6,0.6828253968253969,0.1428571428571428,0.5488923603629485,0.426291326000351,0.39988579436178756,0.8282314919814131,0.9692876888033921,0.19600709438390473,0.1928987390878388,0.048569681388272556,0.04487318986851623,1.082828461411146,1.149346924298723,23.62204724409449,37.795275590551185,0.9838486674715126,0.9854872300825922,7.9628240610690435,8.028610448987202,1.0424853563308716,1.0383843898773193,0.03576572840309217,0.0368973778887035,0.0,0.0,0.2465098351240158,0.2479492535193761,0.3343275785446167,0.33937942584355674,0.26927688231758434,0.2731867927812859,0.31631235778331757,0.3207344263792038,0.43132510781288147,0.43588460485140484,0.2860699208422873,0.2766882904800761,0.2731614112854004,0.28155058473348615,0.4963996857404709,0.5474741905927658,0.45872413259292166,0.4562568418458428,1.0156422555446625,1.0126330335934957,1.0176516771316528,1.0216771880785624,0.036196442319035876,0.039223627923881836,1.0730364918708801,1.0669712583223978,4.758741855621338,4.866178337732951,0.7740883589408811,0.7733699371838997,2.090818962390267e-05,2.2220568609983697e-05,8.677488393813045e-05,0.00013813195028574343,0.7765776828472898,0.7411316433039409,4.2588032543659216,4.256526015877723,4.812647156715393,4.752988234639167,0.11235915808142687,0.1078526247766663,0.20022347130732354,0.1905520391811197,0.02843638546901522,-0.1207158266219915,1.2340142841823123,1.335937451184016,2.4769365022959176,2.442332134041427,3.432365839864702,3.4578611039231344,0.27493111099458967,0.27803308434349805,0.7307231176824156,0.7537324231814418,1.0,0.8,0.8
M12b_strong_terrace,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,1.0786454677581787,1.2577545205752054,1.15387761592865,1.1474433302879334,1.1030480861663818,1.0834972381591796,1.0501565135193767,1.0617591664877,1.1449763774871826,1.140416646003723,1.414736270904541,1.4189673821131388,0.009602500711954324,0.007978397444092275,36.8430544112419,36.91339942517287,0.15244411118829682,0.19034025140556074,1.4035761022567748,1.9153227845827743,0.340878684943105,0.6056416684723229,3.0923625114683158,3.800832642970181,3.0994881341506186e-06,3.765168093424383e-06,1.0969559742518744,1.1551557498335483,0.0019326058355709774,0.0031812619975490823,0.0018705298868370536,0.003066781174196723,6.141384337337135e-05,0.00011571362667563598,0.2008098595813954,0.25505666588888987,23.62204724409449,37.79527559055118,0.64,0.6688253968253969,0.16666666666666674,0.5450563815269697,0.47398497113239624,0.41124016781953154,1.1219943554702598,1.1186737017850588,0.20404897786410817,0.20594157023408577,0.05421171029121885,0.05452083767988746,1.0969559742518744,1.1551557498335483,23.62204724409449,37.79527559055118,0.9903974992880457,0.9920216025559078,7.994954756025236,8.02652635498169,1.0565683841705322,1.0557223637898763,0.034172900425269576,0.03387853355984833,0.0,0.0,0.2416725680232048,0.24484762003024418,0.3343275785446167,0.33937942584355674,0.2857789543578127,0.2816833069274472,0.31898829340934753,0.3236244648694992,0.43132510781288147,0.43588460485140484,0.279353414134772,0.27210502252866703,0.2825995236635208,0.29104704956213634,0.4963996857404709,0.5474741905927658,0.4322547948333323,0.43682646894712135,1.0179789662361145,1.011716616153717,1.0176516771316528,1.0216771880785624,0.03203381356399797,0.038026336800154,1.0508427023887634,1.0578121026357015,4.758741855621338,4.866178337732951,0.774048747695972,0.7753103617354706,2.9186659798248448e-05,3.1307942306210475e-05,8.677488393813045e-05,0.00013813195028574343,0.6713323461032027,0.6550413695570112,4.125833969116211,4.134905137221019,4.812647156715393,4.752988234639167,0.13718579948836726,0.12870634685282337,0.21713843062231908,0.22231688740226474,0.02843638546901522,-0.1207158266219915,1.399199435084841,1.5380451550805898,2.3303766189415747,2.304579109807432,3.432365839864702,3.4578611039231344,0.3215721368413795,0.31924239859064424,0.7142210456421874,0.7446776744479044,1.0,0.8,0.8
M12c_balanced_terrace,15,7.0,7.0,3.0923656225204468,3.800836408138275,2.957887415700462,3.6840523701059955,0.31629208537046516,0.6811264099767679,1.0529851913452148,1.1601498961448669,1.1535710096359253,1.1436632990837097,1.1030480861663818,1.0834972381591796,1.0435484481698358,1.0583709701371002,1.1270939111709595,1.1191709597905477,1.409667730331421,1.4014169057210286,0.01295975648282864,0.010663257038394776,36.885854198807344,36.88841073112665,0.10767197422483932,0.1379826671695562,1.2359011650085447,1.6454819509188343,0.2943017036749911,0.530077879252533,3.0923627767663255,3.8008326431601756,3.0578993985841407e-06,3.7649780996851233e-06,1.1061746259921827,1.1975815562762053,0.0018776600141198196,0.0032163074620010185,0.0018148850623378667,0.0030963409965248847,6.277495178213387e-05,0.00012031703303817226,0.15610143386787723,0.2886793976386227,23.62204724409449,38.320209973753286,0.6,0.7134920634920635,0.19999999999999996,0.5775960640666522,0.4492264815506058,0.4267446077345513,0.8003350105748175,0.9278524783257206,0.17456372800682243,0.19185800192256766,0.04204253295249272,0.0412132688946332,1.1061746259921827,1.1975815562762053,23.62204724409449,38.320209973753286,0.9870402435171713,0.9893367429616051,7.966872354967303,8.043042003565752,1.0378468036651611,1.0373501539230348,0.0374662827933674,0.03776727209239725,0.0,0.0,0.25704091042280197,0.2558798551559448,0.3343275785446167,0.33937942584355674,0.24177723443282642,0.260790104316731,0.31979960203170776,0.3227629045645396,0.43132510781288147,0.43588460485140484,0.27187159243095604,0.2727005771063957,0.27956314384937286,0.2843489090601603,0.4963996857404709,0.5474741905927658,0.4558260703788834,0.4515944284726914,1.0072716176509857,1.0140717724959056,1.0176516771316528,1.0216771880785624,0.03677090544277218,0.03925871732052478,1.0809592604637146,1.0769314448038736,4.758741855621338,4.866178337732951,0.7728476783865016,0.7712273688331037,2.389311537584425e-05,2.6254416623968265e-05,8.677488393813045e-05,0.00013813195028574343,0.7339559479935688,0.6922759356836509,4.3329954928159715,4.2968792886734,4.812647156715393,4.752988234639167,0.10134128704836229,0.10139757933848927,0.20753154484781394,0.20967318482319142,0.02843638546901522,-0.1207158266219915,1.3114804047014497,1.5180338387280115,2.524485365854478,2.5163900885184582,3.432365839864702,3.4578611039231344,0.26301822972533284,0.25894182604333754,0.7582227655671736,0.7775534598029009,1.0,0.8666666666666667,0.8666666666666667
