growth_run_id,persistent_peak_count_h025,persistent_peak_count_h050,persistent_peak_count_h075,excursion_component_count_z100,excursion_component_count_z150,excursion_median_area_z100_px,excursion_p90_area_z100_px,excursion_median_area_z150_px,excursion_fraction_z100,excursion_fraction_z150,height_skewness,height_kurtosis,fine_detail_rms_fraction
6022,37.0,23.0,18.0,17.0,8.0,33.0,305.3000000000002,24.0,0.1181640625,0.0364990234375,-0.9570841789245605,5.001223564147949,0.22541023790836334
6028,56.0,40.0,32.0,27.0,18.0,41.0,138.60000000000008,38.0,0.128173828125,0.03472900390625,-0.6284447312355042,3.633664608001709,0.2759774625301361
6029,68.0,49.0,38.0,32.0,21.0,48.0,141.0,22.0,0.13629150390625,0.0504150390625,-0.2284952849149704,3.3381741046905518,0.291325181722641
6033,73.0,54.0,45.0,35.0,22.0,39.0,108.4,30.0,0.14007568359375,0.05316162109375,-0.051729101687669754,3.0552468299865723,0.30727341771125793
6047,67.0,50.0,37.0,28.0,17.5,43.25,138.85,32.75,0.122100830078125,0.040802001953125,-0.5346646159887314,3.7732372283935547,0.3168671429157257
6048,76.0,52.0,41.5,33.5,22.0,45.5,115.4,24.0,0.1407470703125,0.05303955078125,-0.14246409758925438,3.1579779386520386,0.30389225482940674
6056,79.0,58.5,45.0,37.5,20.5,32.5,94.1,22.25,0.12664794921875,0.048065185546875,-0.23115669190883636,3.376926064491272,0.3400290161371231
6057,65.0,50.0,39.0,31.0,17.0,34.0,108.79999999999998,23.0,0.12591552734375,0.0404052734375,-0.4051481783390045,3.617658853530884,0.28955236077308655
6062,89.0,66.5,49.0,46.5,19.5,22.5,63.95,18.5,0.1060791015625,0.02813720703125,-0.8556685745716095,4.56254243850708,0.3840096890926361
6063,56.0,41.0,33.5,25.0,14.0,51.5,142.9,29.5,0.125396728515625,0.032196044921875,-0.7420776784420013,3.864279866218567,0.28399544954299927
6070,88.0,56.0,42.0,39.0,16.0,29.0,97.80000000000003,21.0,0.113037109375,0.03753662109375,-0.5384241342544556,3.759598731994629,0.41577479243278503
6072,90.0,65.0,51.0,42.0,23.0,33.0,87.0,17.0,0.11639404296875,0.0367431640625,-0.6699572205543518,4.441075801849365,0.4160690903663635
6078,99.5,72.0,53.0,46.5,24.5,24.75,77.0,18.75,0.117645263671875,0.04034423828125,-0.3131905049085617,3.892686367034912,0.39247818291187286
6080,70.0,48.5,35.0,32.5,18.5,41.25,109.30000000000003,16.0,0.1160888671875,0.032684326171875,-0.6277534663677216,3.7262089252471924,0.2830079048871994
6082,73.0,54.0,40.0,33.0,16.0,38.0,109.00000000000001,34.5,0.1339111328125,0.0518798828125,0.08796492218971252,3.432833194732666,0.2647647261619568
6084,106.5,84.5,67.0,49.0,22.5,21.5,71.30000000000001,21.0,0.1263427734375,0.04132080078125,-0.30349163711071014,3.4332000017166138,0.35291875898838043
6085,70.5,53.5,40.5,32.0,15.5,37.75,134.1,29.25,0.140533447265625,0.055145263671875,-0.08670473471283913,3.0431056022644043,0.2465650588274002
6090,66.0,48.0,35.0,27.0,17.0,50.5,144.3,36.0,0.1356201171875,0.0567626953125,0.001842859317548573,3.191774368286133,0.23713703453540802
6094,71.5,51.0,40.0,29.0,15.5,38.5,117.2,27.75,0.1243896484375,0.041015625,-0.577431857585907,3.8658957481384277,0.3084581196308136
6095,56.0,45.0,35.0,26.0,13.0,33.0,112.40000000000003,35.0,0.12188720703125,0.0355224609375,-0.408191442489624,2.4686152935028076,0.25304514169692993
6099,73.0,63.0,54.0,41.0,20.0,45.0,101.0,21.0,0.150390625,0.040771484375,-0.0224616639316082,2.157147169113159,0.2546350359916687
6101,21.5,13.5,12.5,7.5,6.0,82.0,180.5,21.5,0.14923095703125,0.050201416015625,-0.3775002658367157,3.6055777072906494,0.1660257801413536
N6342,111.5,82.0,63.5,48.0,31.5,26.0,82.20000000000002,16.5,0.13446044921875,0.05401611328125,0.1547267884016037,3.3266817331314087,0.32172462344169617
N6358,68.5,49.5,38.5,30.0,20.0,39.5,141.89999999999998,26.25,0.1383056640625,0.057464599609375,0.010462712962180376,3.4297330379486084,0.23194095492362976
N6382,102.5,79.0,63.0,48.0,36.5,29.5,84.65,19.75,0.12982177734375,0.0626220703125,0.566667377948761,3.9871301651000977,0.29179537296295166
N6389,87.0,64.5,50.0,38.0,22.0,25.5,126.0,25.25,0.133514404296875,0.059356689453125,0.12130014225840569,3.5436882972717285,0.2645505666732788
N6390,86.0,65.0,51.5,42.0,24.5,32.5,97.60000000000002,24.25,0.132415771484375,0.056671142578125,0.043531203642487526,3.2269108295440674,0.3010208457708359
