growth_run_id,predicted_rq_absolute_error_nm,realized_rq_absolute_error_nm,rq_interval_lower_nm,rq_interval_upper_nm,rq_interval_covered,predicted_fsmi_absolute_error_nm,realized_fsmi_absolute_error_nm,fsmi_interval_lower_nm,fsmi_interval_upper_nm,fsmi_interval_covered,predicted_island_error_z,island_error_90_upper_z,realized_island_error_z,predicted_joint_error_index,realized_joint_error_index,joint_confidence_index
6022,0.3339443765450257,0.3358161697922837,0.0,2.70056421313563,True,1.868060533504544,0.6545971472009537,0.0,3.4633678106207917,True,0.9899431647362303,1.5621136940368479,1.6969690110959155,0.4629629629629629,0.42592592592592593,60.714287
6028,1.463382326977097,1.0855291131294784,1.36149572539937,6.896059844344961,True,1.2603509003305209,1.3214251432209796,0.4463970021385592,5.741612335241204,True,1.4316550112375763,2.0209461880086907,1.7785966614972444,0.4074074074074074,0.6851851851851851,67.85714
6029,0.9274461129235144,0.6909262809788268,0.0,3.608864967619247,True,0.8563331505027052,0.5831650616433528,0.0164589529215772,2.8592135317660583,True,1.610485462053039,2.199698709172629,1.9342960859108376,0.35185185185185186,0.5,82.14286
6033,0.3560779986909949,0.4054815580637276,0.8913618557947243,4.02005895414071,True,0.8776988127448605,0.0015510460140519,0.165515736669118,3.4728778314642215,True,1.8402605397433776,2.4309401047294377,1.6450147563638198,0.5555555555555556,0.24074074074074073,53.57143
6047,1.0336557593280618,0.5856620759934463,0.7383612486238054,4.787386838842744,True,1.1354621584049556,0.7192134290040966,0.14576767165256,4.307913199921739,True,1.6870321259814085,2.283141680415268,1.7612221871830733,0.5740740740740741,0.46296296296296297,42.857143
6048,0.2851718143129646,0.5080035532522444,0.8418731514749902,3.8050996844940297,True,0.8659244975111193,0.3332479357322038,0.1206542404329751,3.7444682336095423,True,1.9036870707033673,2.516953788451094,1.400868805602721,0.5555555555555556,0.18518518518518517,53.57143
6056,1.0280318733256824,0.8955753925610661,0.0,3.557291429237113,True,0.8211879727776555,0.8153400536935402,0.0627454844363366,2.875698249778801,True,1.4928331842663125,2.0733984281218376,1.8313977906604597,0.2222222222222222,0.5555555555555556,89.28571
6057,1.1625433684988289,2.949470086137622,0.0,4.02475058428427,True,0.5708415048838837,2.581732412180205,0.0,2.177971046016444,False,1.2686634637421488,1.877110253180264,1.1919069304284213,0.05555555555555555,0.5555555555555556,100.0
6062,2.20346005543792,3.0762459140281835,3.0160603108542965,9.321162599103424,True,2.1001308044666835,1.2899139460521467,1.836977132197324,6.582184419330773,True,1.9690151357025938,2.582664985565443,2.55263714069876,0.8888888888888888,0.8518518518518519,14.285714
6063,1.0797418528416087,0.5704149115018069,1.7836925961048578,7.566879691183587,True,1.6047064623043512,1.0014762866956266,0.5357345166602414,6.345661800698776,True,2.0455311010546384,2.6508112654961975,2.08529672272625,0.8703703703703703,0.7222222222222222,17.857143
6070,0.3366539886573713,0.7138255393637256,0.4867249785166674,3.175528329307423,True,0.8809704248936561,0.6420643555159387,0.0,3.3824644663747203,True,1.5640674088835473,2.1448493439120284,2.0791311365645493,0.37037037037037035,0.5555555555555556,78.57143
6072,0.3425545892956876,0.7093432872969135,0.0,2.4888251897713154,True,0.8169268497892298,0.3952463444551184,0.0,2.2442622003439237,True,1.7255473005700475,2.3363954675615637,1.3092498447245393,0.37037037037037035,0.2037037037037037,78.57143
6078,0.6816907815525556,1.2273536132385865,0.7664138859004834,4.694318089443007,True,0.9153532143685748,0.767433996784997,0.3072567453912465,4.012423890241607,True,1.4452048652050284,2.0269502015612133,1.8619113913189733,0.2962962962962963,0.537037037037037,85.71429
6080,1.0058641805443165,0.8054698805622214,0.835755848886929,5.40654408655805,True,1.0826879192738434,0.8486075120171712,0.7346687882030767,4.541976687941631,True,1.7306742222031155,2.3302046924713355,2.0213401248061946,0.5925925925925926,0.6481481481481481,39.285713
6082,0.9200457901665654,0.9977812518216892,0.7541210051175096,4.968668060041252,True,1.3322397878602708,1.3543535024623088,0.7835110943986843,5.0647934408153,True,1.6046151105649682,2.2021103751340285,1.5671097392345072,0.5555555555555556,0.5925925925925926,53.57143
6084,0.8613124971854931,1.6108151696227493,0.9070951817268692,5.098496767051752,True,0.9543625656363534,1.2429820831659093,0.679939559001814,4.497761145169806,True,2.0076010513582543,2.607242295730733,2.1657612329004126,0.7037037037037037,0.7962962962962963,25.0
6085,0.9852445214946594,2.4730310356724443,1.8532519815099553,7.57198213192101,True,1.5911585760913258,1.4795837852510378,1.141798413119389,5.551190742117787,True,1.7967966965055637,2.3980365760729963,1.5833612533603494,0.7222222222222222,0.6296296296296297,21.428572
6090,1.3462467268134677,2.72407072108605,2.187658662537538,8.079670434384536,True,1.471714207162787,1.8439164446186929,1.5537945040094503,6.178634164650923,True,1.6158576170278394,2.2197342023958826,1.512679429626958,0.611111111111111,0.611111111111111,35.714287
6094,1.0626775957446049,1.188111872105019,0.7537733171874228,4.986534604446593,True,0.8111159528548936,1.231988369038275,0.0,4.490807161438752,True,1.836555458005798,2.43336403412865,1.8837777167052148,0.42592592592592593,0.6851851851851851,64.28571
6095,2.9793433662195543,0.3151986974940826,5.575113385434793,11.942856055205702,True,1.7398664442067069,2.3881349713704942,3.3724213542527743,7.56585898619517,False,2.8371661311366507,3.4055060366127536,2.3391127691083358,0.9259259259259259,0.9259259259259259,10.714286
6099,1.5358292644428884,3.8776035672319855,3.1407535448025903,7.893710527900453,False,1.2318604757494085,4.690014807468753,1.8008561028805974,6.210620565750997,False,1.7995722697000711,2.3948052794884793,1.6462865604670607,0.6666666666666667,0.7407407407407407,28.571428
6101,0.6822827916795492,0.0856123971139918,0.0,2.3509176489720764,True,2.5466382957852844,0.9402129827034658,0.0,5.842109056002422,True,2.40745022951092,3.099965631031066,3.2626285172490332,0.9629629629629629,0.7777777777777778,7.142857
N6342,0.5509248039383959,0.0286740205611704,0.0,2.4032737943193023,True,0.924742726229356,0.5337323973603516,0.0,3.280286567108517,True,1.4938671790654274,2.0960382410213874,0.8898073355890533,0.38888888888888884,0.14814814814814814,71.42857
N6358,0.3088903557329517,0.1451336083269554,0.0,2.4959488131881584,True,0.7544124061311935,1.109468925354261,0.369279235005109,3.4790143713334807,True,1.4487015960986611,2.067074891432266,0.8513131555746459,0.14814814814814814,0.33333333333333337,96.42857
N6382,9.70550842914219,0.2828653434499545,0.0,4.591273397540963,True,2.645854521799583,0.4954183507417712,0.0,6.038144764499659,True,1.553753655996703,2.1635981286434953,1.2504765442172365,0.6666666666666666,0.2037037037037037,32.142857
N6389,0.9131926285785124,0.8582063468273784,0.812061906527553,4.942307832219361,True,0.8313778595081193,0.7798662290229359,0.8118975365468828,4.279690118828114,True,1.3722142481123858,1.9949176325102225,1.206046630469677,0.16666666666666666,0.31481481481481477,92.85714
N6390,1.6241326568176326,0.7334888027156543,0.0,4.2704175179114525,True,0.9179042840056072,0.3640565416867596,0.1496236051396866,2.6760792459774185,True,1.6336690674592338,2.23979194171982,1.0710530336598214,0.48148148148148145,0.1111111111111111,57.142857
