growth_run_id,true_target,prior_predicted_rq_nm,prior_rq_absolute_error_nm,current_predicted_rq_nm,current_rq_absolute_error_nm,rq_absolute_error_change_nm
6028,6.072564601898193,6.131415614666699,0.058851012768506,4.128777784872166,1.0855291131294784,1.0266781003609724
6029,2.561024904251098,2.5997000307101343,0.0386751264590361,1.598836977651232,0.6909262809788268,0.6522511545197907
6047,3.066597064069266,2.8681638713989557,0.1984331926703104,2.762874043733275,0.5856620759934463,0.38722888332313593
6048,2.455431633201468,1.5297524245255163,0.9256792086759518,2.32348641798451,0.5080035532522444,-0.4176756554237073
6057,5.337333679199219,5.549023491713952,0.2116898125147335,1.0050684949564073,2.949470086137622,2.7377802736228887
6062,3.091214734236458,3.408657707890912,0.3174429736544533,6.16861145497886,3.0762459140281835,2.75880294037373
6063,5.865590098313159,7.033225761753825,1.1676356634406666,4.675286143644223,0.5704149115018069,-0.5972207519388597
6070,3.047229528427124,2.640625388625884,0.4066041398012401,1.8311266539120452,0.7138255393637256,0.3072213995624855
6072,1.470114827156067,1.4986408335193715,0.0285260063633046,0.7607716381015716,0.7093432872969135,0.6808172809336089
6078,2.0597975274126674,2.957887415700462,0.8980898882877946,2.730365987671745,1.2273536132385865,0.3292637249507919
6082,1.863613247871399,1.970025130364652,0.1064118824932531,2.861394532579381,0.9977812518216892,0.8913693693284361
6084,1.9596685775258929,2.240505665401505,0.2808370878756125,3.0027959743893105,1.6108151696227493,1.3299780817471367
6085,3.1255097083820487,4.251281349216936,1.1257716408348872,4.712617056715483,2.4730310356724443,1.347259394837557
6090,4.685108184814453,4.794107297380862,0.1089991125664084,5.133664548461037,2.72407072108605,2.6150716085196417
6095,9.867135047912596,5.787773568720253,4.079361479192343,8.758984720320248,0.3151986974940826,-3.7641627816982606
