growth_run_id,log_psd_00,log_psd_01,log_psd_02,log_psd_03,log_psd_04,log_psd_05,log_psd_06,log_psd_07,log_psd_08,log_psd_09,log_psd_10,log_psd_11,log_psd_12,log_psd_13,log_psd_14,log_psd_15,log_psd_16,log_psd_17,log_psd_18,log_psd_19,log_psd_20,log_psd_21,log_psd_22,log_psd_23,quantile_00,quantile_01,quantile_02,quantile_03,quantile_04,quantile_05,quantile_06,quantile_07,quantile_08,quantile_09,quantile_10,quantile_11,quantile_12,quantile_13,quantile_14,quantile_15,quantile_16,quantile_17,quantile_18,quantile_19,quantile_20,quantile_21,quantile_22,quantile_23,quantile_24,quantile_25,quantile_26,quantile_27,quantile_28,quantile_29,quantile_30,quantile_31,quantile_32
6028,-0.9623587666044423,-0.8959269277623785,-2.310834642244299,-3.427049331563961,-4.378625070995554,-5.365063414948555,-6.021165546691424,-6.730749890783361,-7.356406814145021,-7.9598650660722505,-8.392070990008362,-8.76838227992826,-9.048200178971035,-9.29388097467331,-9.628703785503273,-9.662836939795188,-9.915591839449377,-11.521390692406303,-12.16552458486515,-12.54701132552749,-12.964441111372603,-13.283655144404197,-13.378297809448258,-13.525495558228489,-2.7772262048721315,-1.8840373583137988,-1.5012510533630847,-1.2716584922373295,-1.09213803678751,-0.9464854877069593,-0.8008460246026515,-0.6902048413828015,-0.5962589356303215,-0.501737741418183,-0.409530328027904,-0.3259717740118504,-0.24664926715195176,-0.17044814283028242,-0.09678926376625906,-0.013000044288928616,0.06876721233129501,0.14282708471640948,0.22439585354179142,0.3021886203624308,0.38026327237486873,0.4503941453061989,0.5098815184831619,0.565971627086401,0.6420040866732597,0.7233825518190861,0.8300955750048162,0.9270469492301344,1.01416853249073,1.1597302898764608,1.3354085212945939,1.6532939359545706,2.21058228969574
6029,-0.8001097629934133,-0.8709450939665961,-2.349409619269963,-3.509285219668509,-4.4667473483498945,-5.149977166708103,-5.992585571822603,-6.509366343287249,-7.1250144225162115,-7.625350776794494,-8.100288928245327,-8.476367383221938,-8.853159220101597,-9.20059519834706,-9.55488839637699,-9.626665711534903,-9.828143558377466,-11.378110141720294,-11.92157723858824,-12.483791207382701,-12.649957876380567,-12.972090354129886,-13.135766976359086,-13.154893006103444,-2.3490111660957336,-1.7400985017418862,-1.4831814660131932,-1.301251974478364,-1.1081658184528351,-0.9550837396085262,-0.8368158970028161,-0.7411244986951351,-0.6512024185061455,-0.54817706592381,-0.44823523912578817,-0.3605064215138555,-0.27496872022747987,-0.20350793896242975,-0.13837223947048188,-0.06373079981189221,0.01295791706070304,0.081568799787201,0.15612008076161143,0.2331049129739404,0.31224021978676325,0.38951834915205813,0.46791384592652313,0.5557749354094267,0.6495259687304497,0.7552051743119955,0.8745295912027359,0.9626278849318622,1.081012155115604,1.2190573240071532,1.365297635346651,1.6670208796858763,2.399608976840973
6047,-1.2462700963608977,-0.8901296919081719,-1.6515822411447774,-2.8923596419066433,-3.844098610442537,-4.497899587067177,-5.347204227013487,-5.915415193182349,-6.531791206956367,-7.119584221191291,-7.599131879227009,-8.039852613382877,-8.460231117081069,-8.713865926609568,-9.066903631233775,-9.283660181874998,-9.500799711952883,-10.644368572138248,-11.319277433779463,-11.731902862464407,-12.01415884472618,-12.272105703992214,-12.687705762863446,-12.830756973149377,-2.7579039108753207,-1.9045752920210361,-1.5237527410686016,-1.2755267538875341,-1.0760972298681737,-0.9176762344501912,-0.7767067171633243,-0.6625793453678488,-0.5644926331937313,-0.47341038109734657,-0.3856818060949444,-0.30253399387001995,-0.22125191112980241,-0.14321344025898725,-0.07296277245506655,-0.004532183530391181,0.060873580165207386,0.1224939919449389,0.1903780997358262,0.2662840796262027,0.3310561042651536,0.40533586498349844,0.48386818733066317,0.5585443059727551,0.6431894420087336,0.7277080378122627,0.821430609934032,0.9258241279423236,1.0419040077924724,1.1931361016631126,1.3881092017143968,1.6547122053802008,2.2365481805801393
6048,-0.6531009757207029,-1.4897517885117808,-2.731191646939942,-4.081007255295598,-4.811293491279386,-5.516033263830387,-6.140464829901842,-6.788041968479474,-7.340018257566969,-7.862848220724477,-8.31407237471595,-8.777598997482166,-9.082023309673941,-9.427736332610872,-9.754187922247413,-9.839470363260668,-10.069482004258507,-11.672751435248706,-12.349181393545727,-12.826973524202733,-13.396742258147041,-13.567710697724046,-13.747968441922627,-13.992828248450309,-2.2602050566673277,-1.6626276470720769,-1.3858957881480456,-1.212638933621347,-1.0836883834004403,-0.9702022100239992,-0.8729180332273244,-0.7731949554011226,-0.6777408756315708,-0.5931351325102151,-0.5092428972013294,-0.4308041529729963,-0.351362602263689,-0.27315899073611943,-0.1954275202238933,-0.12018643173272721,-0.03698633285239339,0.04249186887580445,0.12017623298801482,0.20212773987557742,0.2874867298454051,0.36797701711766395,0.4516756944172081,0.5413085912913085,0.6373218511044979,0.7525461662188172,0.8634765490889552,0.9973094676434991,1.135578124225139,1.3123241059854625,1.50403798148036,1.7807181838899848,2.4233021748065946
6057,-0.4942332144721404,-1.3596183438231364,-2.540091109328344,-3.792403412735846,-4.734520864868295,-5.610583094881237,-6.373695801015227,-7.004460532234405,-7.4732993934806125,-8.011345553721203,-8.453766112532076,-8.758397875213804,-9.089000812394358,-9.352701854990574,-9.60753230332251,-9.836335496906603,-9.984088928514185,-11.551770544386715,-12.409556903472275,-12.728605186920243,-13.097045662260141,-13.30571904643092,-13.491600465109979,-13.570852291346407,-2.308119354248047,-1.7467863865196704,-1.4202207943797114,-1.2135547448694708,-1.0529766139388084,-0.9315787629783153,-0.8185754261910915,-0.714962300695479,-0.6328601580858231,-0.5403192649036647,-0.4522461124137044,-0.3809126916341485,-0.30844598121941086,-0.23501646323129533,-0.16947725486010315,-0.09343427439220249,-0.02220691554248333,0.05620838473783823,0.12628806665539738,0.2075009560212494,0.2834871961921458,0.3549258244223888,0.43492982115596523,0.5219358713552356,0.6221630004048347,0.7228668206185103,0.8273245278745891,0.9557111084088682,1.0779258945584291,1.2536119233071803,1.481783131659031,1.7919569600373502,2.4097550773620613
6062,-2.206361061238004,-0.9185113787374029,-1.2328626310683588,-2.2296640647857187,-3.0620294066560865,-3.8437855468970614,-4.537053096251909,-5.262916041531593,-5.912777591688629,-6.535681726985999,-7.055614561645468,-7.520001219208719,-7.9617170948784395,-8.258920435513504,-8.64179574300669,-8.798758923394292,-9.043918080552084,-10.24989952988173,-11.165345261706184,-11.656707382769092,-12.109185122136836,-12.449137743756864,-12.634302313884419,-12.825815732762191,-3.0600088608264926,-2.0402797818183895,-1.5691060623526574,-1.2786676394566894,-1.0585313606262208,-0.86343425123021,-0.7145835287868976,-0.5930015078745783,-0.4855503016710282,-0.3895691712666303,-0.2953525736555457,-0.21347729538101703,-0.1376795376092195,-0.07036569322692224,-0.008139950701734112,0.057579910357017094,0.11891580931842327,0.1802988721989097,0.24335787917487317,0.3072962552495301,0.36654843252152236,0.4309169692918658,0.496306210309267,0.5668083776347339,0.6366703355312346,0.7114637170173228,0.7918348081409933,0.8931542742438614,0.9992026355862615,1.1284351631626486,1.280296498015523,1.480933918431401,1.9464388340711594
6063,-1.0034346705565946,-0.8685016585435539,-1.9399973329328133,-3.3028296026572925,-4.163269492404591,-5.087639592977668,-5.936278135725571,-6.503831443219541,-7.149509344133191,-7.687090177006319,-8.130394212963603,-8.517920697986732,-8.86417368389813,-9.11635972635731,-9.41638210101114,-9.465634674053296,-9.653724630905618,-11.445717992469294,-12.263929783943746,-12.728736310842997,-13.041135569910212,-13.369010191403742,-13.456151373649561,-13.487390863102044,-2.8593365097045895,-2.2435549195855855,-1.5930668906867504,-1.2507169581577182,-1.0439553302526474,-0.8982417469471692,-0.7571584481745959,-0.6341857395507395,-0.5216499896347523,-0.4207722855359316,-0.32569816481322045,-0.2408585222205148,-0.16332037428393953,-0.0948578226147219,-0.026354394513182403,0.04468544412637131,0.10439476929605007,0.16941654826048763,0.23703687864355735,0.30164979856461294,0.3642062768340113,0.43162421924062044,0.4972144564986228,0.5735926231741906,0.6396840859949589,0.7360718417540193,0.8304327286779882,0.9293243477120996,1.0300055484473705,1.1398775300011037,1.2901465114206077,1.5330493949353694,1.998050243854523
6070,-0.5484260462219926,-1.411781627727233,-2.287730444551431,-3.438876297307018,-4.06150223151598,-4.731657237288007,-5.137396233174477,-5.784412181762171,-6.154373593614158,-6.53676745839895,-6.944283100921266,-7.319252238180002,-7.629229400364831,-7.973940325038095,-8.22054425637605,-8.462514788130505,-8.702043999506877,-9.494291806089992,-10.202661935063007,-10.59930755992263,-10.980925867855479,-11.27263401186108,-11.511621579933097,-11.667346464885563,-2.5842642998695373,-1.8251152351498603,-1.4927861925959587,-1.2792659226804974,-1.0922089955210685,-0.9551975969597697,-0.8321720421314239,-0.7241178878396749,-0.6149116063117981,-0.5123746448010207,-0.4240008671581745,-0.34089276324957607,-0.26780590228736395,-0.18362439669668673,-0.11246673032641412,-0.038122324494179315,0.03717160038650036,0.11231781565118584,0.1871357035078108,0.2532644541934133,0.31750576660037055,0.3918199628591534,0.47665525063872327,0.5588679606467486,0.6493915665149688,0.7394488136842847,0.8420173395425081,0.9476464629918335,1.0720634323358529,1.2213269617408513,1.4209815548360347,1.6745481263846158,2.312431809902191
6072,-1.832702221536441,-0.9219450980724967,-1.4111738933324092,-2.3823273897540864,-3.2235775624291167,-3.8771195323143957,-4.447762179405515,-5.102896462994853,-5.563255463538726,-6.044847670172071,-6.548603239804414,-6.937433412689226,-7.392189568147715,-7.740189691972373,-8.087258089687076,-8.419494700201193,-8.65768792947188,-9.194930408897319,-9.619199861739373,-9.994841250123693,-10.14527446168535,-10.47636412139085,-10.583564246030193,-10.7032849701316,-2.8746013188362123,-1.888102890923619,-1.5017760987579822,-1.2286942072212697,-1.0554534232616424,-0.8981915363296865,-0.770467035099864,-0.6471525309234858,-0.5391739445924759,-0.44155406806617975,-0.35898992400616403,-0.2775885347276927,-0.20037413608282795,-0.12651716891676185,-0.05603294284082967,0.010951420001802072,0.07624277845025063,0.13937343212775893,0.20968526281416416,0.2766910422220828,0.3412435960769655,0.4108954737894236,0.48747104831039906,0.5582564809545875,0.641962369084358,0.7343596812337637,0.8180556014180185,0.9204500659182667,1.0400903025269503,1.1845756397396325,1.3433467806875707,1.5959830205887555,2.09827027797699
6078,-1.008928983006705,-1.5147358065148104,-2.089850660396338,-3.221317236116973,-4.093518242656506,-4.804617183198392,-5.4126182425047835,-6.065065697979836,-6.650123068084132,-7.151038520511296,-7.643481348052883,-8.063498609269839,-8.378016560591218,-8.698100887624639,-9.034026032489287,-9.164406635651147,-9.434874364736668,-11.067192220090355,-11.740658072193163,-12.29147639413728,-12.744739785031602,-13.074046450329728,-13.278887124123857,-13.661137414397585,-2.338471930027008,-1.667780428752303,-1.3970808770507575,-1.2078190686181187,-1.0539037115871905,-0.9323813952319324,-0.8141738101840019,-0.7160710998252033,-0.6284166420996189,-0.5527686143107713,-0.47391954747959963,-0.40310486350208524,-0.3270310516282916,-0.25162971705663945,-0.17874986596405518,-0.10563333225552923,-0.03039849828928709,0.04003374730673391,0.11445601621642706,0.1918140782462433,0.26899047933518916,0.34867097684182186,0.4338094268739223,0.5260825982503594,0.6182503539323807,0.7147823927924037,0.8138851504772904,0.9287686613760888,1.0489079095423222,1.226733415201306,1.4943711205571892,1.8765735896304236,2.5093709993362427
