row_id,sample_id,group_id,nearest_train_sample_id,nearest_train_group_id,nearest_neighbor_latent_distance,nearest_neighbor_cosine_similarity
,6056,6056,6072,6072,1.30093896,-0.19528094
,6057,6057,6033,6033,2.17923117,0.98755974
,6070,6070,6029,6029,1.56039310,0.87458622
,6073,6073,6029,6029,1.39047682,0.59849179
,6088,6088,6022,6022,1.55834901,0.97588694
,6090,6090,6029,6029,1.33110785,0.79571152
,6097,6097,6029,6029,2.01359153,0.71569014
,6099,6099,6095,6095,2.65177298,0.66141921
