growth_run_id,true_sq_nm,predicted_sq_nm,rheed_spot_isolation_score,real__dark_fraction,real__largest_dark_component_fraction,real__display_median,real__display_mean,real__height_skewness,m21__dark_fraction,m21__largest_dark_component_fraction,m21__display_median,m21__display_mean,m21__height_skewness,inclusive__dark_fraction,inclusive__largest_dark_component_fraction,inclusive__display_median,inclusive__display_mean,inclusive__height_skewness,exclude_6022_6101__dark_fraction,exclude_6022_6101__largest_dark_component_fraction,exclude_6022_6101__display_median,exclude_6022_6101__display_mean,exclude_6022_6101__height_skewness
6101,0.481030585526218,0.5666429826402098,0.5369858906229248,0.039764404296875,0.01434326171875,0.5592493528090878,0.5462367159115757,-0.24771617387973527,0.03802490234375,0.00531005859375,0.5039594346832079,0.4961171853431263,-0.1693791897693754,0.03802490234375,0.00531005859375,0.5039594346832079,0.4961171853431263,-0.1693791897693754,0.0384521484375,0.00531005859375,0.5016795586414597,0.4945294454055918,-0.15251628356869254
N6342,0.8041046683028141,0.8327786888639845,0.8459354837612586,0.0481414794921875,0.0052032470703125,0.4595193695214167,0.4616016759758048,0.14125387716264373,0.0328369140625,0.00848388671875,0.5054800258595266,0.49995085065801903,-0.04375672850734901,0.0328369140625,0.00848388671875,0.5054800258595266,0.49995085065801903,-0.04375672850734901,0.02642822265625,0.0089111328125,0.501454916566474,0.5035940243694197,0.010552423160793342
N6358,0.9793977637536512,0.8342641554266957,0.3743074230613476,0.034942626953125,0.0077972412109375,0.5176273476447504,0.5166499029993442,-0.09177586905415788,0.0487060546875,0.01123046875,0.4691672269652365,0.47112021802656245,0.08622288644570482,0.0487060546875,0.01123046875,0.4691672269652365,0.47112021802656245,0.08622288644570482,0.05364990234375,0.0068359375,0.45297909716954854,0.4577664898498728,0.20145362462095887
N6382,1.1125519221718976,0.8296865787219431,0.9545383212646076,0.0953826904296875,0.0088043212890625,0.3845375151081325,0.4001887129780145,0.6023398424561046,0.047119140625,0.01007080078125,0.5003199904419595,0.493671453614439,-0.12030942619383544,0.047119140625,0.01007080078125,0.5003199904419595,0.493671453614439,-0.12030942619383544,0.0477294921875,0.0062255859375,0.4761284402939062,0.47288757883258287,0.0133447440539979
6084,1.3919808047665612,3.0027959743893105,0.47517462671418,0.0288543701171875,0.001312255859375,0.5907003325550046,0.5789999841040321,-0.45267836241776144,0.0958251953125,0.011962890625,0.40801855305945245,0.42740543185001584,0.40349642760022286,0.03778076171875,0.004150390625,0.5166488737320407,0.5153798973499697,-0.07684765599918378,0.03118896484375,0.00299072265625,0.5297304113850474,0.5298536815667443,-0.13316375453350832
6072,1.470114925398485,0.7607716381015716,0.5379805807108737,0.0238800048828125,0.0016632080078125,0.5972924030196841,0.5825685559836845,-0.5931927295536754,0.052978515625,0.00494384765625,0.4447401558023335,0.44828598193225466,0.2110069047840197,0.052978515625,0.00494384765625,0.4447401558023335,0.44828598193225466,0.2110069047840197,0.05999755859375,0.0047607421875,0.43398841759338624,0.4370689787690175,0.23542113823322586
6078,1.5030123744331587,2.730365987671745,0.4679880832066347,0.0204620361328125,0.0016937255859375,0.6009391963906392,0.5886136505563176,-0.6378130114752715,0.06243896484375,0.008544921875,0.4835719485828427,0.49332391775397477,0.09180713772695502,0.06622314453125,0.00848388671875,0.4753365411072277,0.4848761426802403,0.12273200630730584,0.099853515625,0.00885009765625,0.42220969791186164,0.43577657268411923,0.3126488428135472
6022,1.6493402243808166,1.313524054588533,0.3153740757175644,0.026031494140625,0.0051116943359375,0.6113137971423726,0.5896177666170277,-0.5424998336178962,0.0736083984375,0.01068115234375,0.4282498679677782,0.4407587523663813,0.3595961032361029,0.0736083984375,0.01068115234375,0.4282498679677782,0.4407587523663813,0.3595961032361029,0.086181640625,0.0120849609375,0.4064607274959576,0.4245047779754232,0.39375163692925336
6048,1.8154828647322656,2.32348641798451,0.5064960278143101,0.0347442626953125,0.0030517578125,0.5351760139277095,0.5343417601969315,-0.13364885371955862,0.11749267578125,0.035400390625,0.411371080809826,0.4331244753174566,0.3583016202187007,0.1160888671875,0.0357666015625,0.4143075900132415,0.4356190811556523,0.3519832275643768,0.046142578125,0.0321044921875,0.46997854054910015,0.4934471003616093,0.23210858219314132
6082,1.8636132807576915,2.861394532579381,0.3916661555780874,0.0689849853515625,0.00732421875,0.45150933238556334,0.44828808495417616,0.07422955895108864,0.05096435546875,0.00775146484375,0.48007603289605777,0.4880851439625674,0.10301637514376204,0.04437255859375,0.0045166015625,0.5057559391825179,0.509249888436666,-0.029038097656305682,0.043212890625,0.00457763671875,0.5137544324981559,0.520712845694902,-0.046998518588398666
N6390,1.962089230162033,1.2286004274463789,0.9395107720897432,0.0509033203125,0.0038299560546875,0.4780219158344704,0.47894639233011366,0.07002394083223568,0.071533203125,0.0184326171875,0.4708297613614929,0.47199506704155286,0.09095322194720495,0.071533203125,0.0184326171875,0.4708297613614929,0.47199506704155286,0.09095322194720495,0.0546875,0.013427734375,0.460314103701662,0.4687942423189193,0.20031198700696598
