target,growth_group_count,mae_nm,median_absolute_error_nm,rmse_nm,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,aurc_nm,risk_at_25pct_coverage_nm,risk_at_50pct_coverage_nm,risk_at_75pct_coverage_nm,interval_coverage,model,method
Rq_nm,28,1.707614839030991,1.0842616633561803,2.470473774972134,-0.24880754770888622,0.20169727503188684,-0.37383689107827034,0.050032432917949655,0.13110715874795947,0.506048056816426,1.8608647991460927,1.3759698154179298,1.9290840202428026,1.9246887869608185,0.8928571428571429,M14b physics,M14b_rheed_density_weighted
Rq_nm,28,1.431934203505985,1.004224767643762,2.102847202879349,0.32252122323078064,0.0941534561619152,0.10344827586206896,0.6003836825173241,0.21248634073579342,0.2776711553169099,1.3335596973461115,0.9200903953904822,1.120348592071357,1.7327822887769864,0.8928571428571429,M14g mixed,M14g_multiview_curated60_r3d40
Rq_nm,28,1.3205867652708485,0.9050425304247927,1.7163819884766855,0.6220976501227713,0.00040869380980156176,0.5238095238095238,0.004225433840817232,-0.23786883437105255,0.22288734530412294,1.0816262480669263,0.9288012256045187,1.0599624644452568,1.1331326594301567,0.8928571428571429,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
Rq_nm,28,1.3205867652708485,0.9050425304247927,1.7163819884766855,0.6220976501227713,0.00040869380980156176,0.5238095238095238,0.004225433840817232,-0.17658381855353683,0.36871375709200643,1.3120791138820544,1.2596883103015883,1.3486252480729004,1.312156430537563,0.8928571428571429,M15a causal R3D / TTA centrality,M15a
Rq_nm,28,1.3205867652708485,0.9050425304247927,1.7163819884766855,0.6220976501227713,0.00040869380980156176,0.5238095238095238,0.004225433840817232,-0.4584644904025722,0.01414052099260739,1.025419175333573,0.9512091886720235,0.915784381151738,1.0554799261799852,0.8928571428571429,M15b causal R3D / angular TTA,M15b
FSMI_nm,28,1.5561009731975801,0.9337806247794046,2.22287730752391,-0.24343807132711448,0.2119190604072833,-0.3568691844553913,0.06229398630310994,0.11336255807296194,0.5657200583792178,1.6071342322147844,1.1847355095927148,1.8130473789327781,1.7304403594670688,0.8928571428571429,M14b physics,M14b_rheed_density_weighted
FSMI_nm,28,1.2891273406893244,0.9238235333682426,1.8871623605236607,0.29244403859996965,0.13100452121453554,0.0722495894909688,0.7148451916268386,0.1734723470119118,0.37734484025522463,1.232812433512014,0.8947738170048745,1.0107045191933508,1.5290931382887156,0.8928571428571429,M14g mixed,M14g_multiview_curated60_r3d40
FSMI_nm,28,1.1681767536258014,0.8727437308608381,1.5173238229397032,0.6302415008681884,0.0003249809937566065,0.5041050903119868,0.0062338341709570555,-0.13072645692240023,0.5072946963321057,0.9788436767773906,0.8772745598579034,0.9526242453544427,1.0297355636220937,0.8928571428571429,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
FSMI_nm,28,1.1681767536258014,0.8727437308608381,1.5173238229397032,0.6302415008681884,0.0003249809937566065,0.5041050903119868,0.0062338341709570555,-0.20276765654177265,0.3007497171094648,1.038505847892235,0.6525952942687084,1.1555916367638552,1.1317163645762125,0.8571428571428571,M15a causal R3D / TTA centrality,M15a
FSMI_nm,28,1.1681767536258014,0.8727437308608381,1.5173238229397032,0.6302415008681884,0.0003249809937566065,0.5041050903119868,0.0062338341709570555,-0.40295648922917826,0.033493913538236726,0.9312687054714305,0.9663201527627153,0.8277640740972559,0.9676254706881873,0.8571428571428571,M15b causal R3D / angular TTA,M15b
