target,confidence_method,confidence_vs_absolute_error_spearman,p_value,aurc_nm,risk_at_50pct_coverage_nm
Rq_nm,old_density_amplitude_risk,-0.23786883437105255,0.22288734530412294,1.0816262480669263,1.0599624644452568
Rq_nm,tta_variance_only,-0.3765736179529283,0.04824696574318268,1.213168034922423,0.9403566792822937
Rq_nm,m15a_tta_centrality_only,-0.17658381855353683,0.36871375709200643,1.3120791138820544,1.3486252480729004
Rq_nm,rotation_period_only,-0.0449315338301654,0.820400462280702,1.1292546804775097,1.4501089550775947
Rq_nm,m15b_angular_coverage_x_tta,-0.25239530099816737,0.19505894802783683,1.1286003253683683,1.075497416354514
Rq_nm,m15b_final_with_conflict_veto,-0.4584644904025722,0.01414052099260739,1.025419175333573,0.915784381151738
FSMI_nm,old_density_amplitude_risk,-0.13072645692240023,0.5072946963321057,0.9788436767773906,0.9526242453544427
FSMI_nm,tta_variance_only,-0.3388067870826491,0.07779186421094189,1.1100814218235122,0.9662848187031485
FSMI_nm,m15a_tta_centrality_only,-0.20276765654177265,0.3007497171094648,1.038505847892235,1.1555916367638552
FSMI_nm,rotation_period_only,-0.10547951539398584,0.5932085966943446,1.0001156925511838,1.2746648718921612
FSMI_nm,m15b_angular_coverage_x_tta,-0.3147666650525123,0.10280058808992516,0.9469499528936168,0.9315788467023038
FSMI_nm,m15b_final_with_conflict_veto,-0.40295648922917826,0.033493913538236726,0.9312687054714305,0.8277640740972559
