variant,descriptor_mse,descriptor_mae,descriptor_r2,descriptor_spearman,prototype_accuracy,prototype_macro_f1
trained_model,1.502853512763977,0.8790055513381958,-0.5499152583181397,-0.052284271247461905,0.2,0.08333333333333333
mean_condition_baseline,1.2270687818527222,0.772202730178833,-0.2654942887096383,nan,,
