descriptor,count,mae,rmse,pearson,spearman,monotonicity
rq,144,5.155210407500459,5.162306051518297,0.023099100032945002,0.07725358271945615,-0.006993006993006978
ra,144,3.964592314563357,3.9720248394294955,-0.037612388155627334,0.03660953146279836,0.006993006993007089
robust_range,144,24.763326408489448,24.784346731174843,0.04344034872658424,0.06246034347530496,-0.006993006993006978
mean_abs_gradient,144,0.8188102645432994,0.8540890091661788,0.4202112099631443,0.3312789030735672,0.020979020979021046
gradient_std,144,0.7894195421210541,0.8180982320749204,0.4403821965327217,0.4131647122230101,0.020979020979021046
gradient_anisotropy,144,0.04660583633539561,0.059724445825853546,-0.004739066594358336,0.032873864987002614,-0.034965034965035
psd_low_power,144,5.947256312467961,5.94826079453372,-0.20214387035761036,-0.18035797745141885,-0.014084507042253502
psd_mid_power,144,6.256549998757047,6.260706218149082,0.17172967525148075,0.08173638249041104,0.006993006993007089
psd_high_power,144,5.283271388838034,5.283744552155223,0.09213857420905867,0.06111550354401849,-0.028169014084507005
psd_slope,144,0.27166200170028026,0.27962198615429856,-0.13986086631281822,-0.08771344885168425,0.034965034965035
autocorrelation_length_px,144,5.368055555555555,6.504805915628844,0.33973538124626396,0.27084446670773765,0.030303030303030276
island_count,144,17.34027777777778,19.68978161382193,-0.25896856364378684,-0.27883070650167824,-0.007633587786259555
island_mean_area_px,144,330.98861445726646,427.08249363436965,0.3269245792549716,0.18406569323157765,0.09090909090909083
