pair_id,row_id,sample_id,group_id,split,mean_intensity_mean,mean_intensity_std,std_intensity_mean,std_intensity_std,p01_intensity_mean,p01_intensity_std,p05_intensity_mean,p05_intensity_std,p50_intensity_mean,p50_intensity_std,p95_intensity_mean,p95_intensity_std,p99_intensity_mean,p99_intensity_std,saturated_fraction_mean,saturated_fraction_std,dark_fraction_mean,dark_fraction_std,laplacian_sharpness_mean,laplacian_sharpness_std,gradient_mean_mean,gradient_mean_std,gradient_std_mean,gradient_std_std,horizontal_projection_entropy_mean,horizontal_projection_entropy_std,vertical_projection_entropy_mean,vertical_projection_entropy_std,horizontal_peak_location_mean,horizontal_peak_location_std,horizontal_peak_width_mean,horizontal_peak_width_std,vertical_peak_location_mean,vertical_peak_location_std,vertical_peak_width_mean,vertical_peak_width_std,intensity_center_of_mass_x_mean,intensity_center_of_mass_x_std,intensity_center_of_mass_y_mean,intensity_center_of_mass_y_std,fft_low_power_mean,fft_low_power_std,fft_mid_power_mean,fft_mid_power_std,fft_high_power_mean,fft_high_power_std,fft_anisotropy_mean,fft_anisotropy_std,temporal_mean_abs_frame_difference,temporal_std_frame_mean_intensity,temporal_std_frame_sharpness
pair_00001,afm_00001_00571d45e8,6022,6022,train,0.3916137591,0.1976484286,0.1192733785,0.03320370519,0.1281517921,0.1038523891,0.1850261646,0.1517846941,0.3954081535,0.2092448508,0.5555871297,0.2277022634,0.6187635623,0.2293103085,0.01825324857,0.04625626286,0.01395587532,0.0271520682,0.002137992196,0.002324991082,0.006501499738,0.00195772262,0.008408853435,0.001971794605,0.9895207068,0.006495878206,0.998847987,0.0005310947156,0.6233183857,0.1016662247,0.8231026786,0.09818733143,0.5207399103,0.09990638654,0.9977678571,0.005905694891,0.5089425543,0.04843101402,0.5002427388,0.01344657815,2.920792367,0.4575471002,0.777210947,0.2228517308,0.2066266192,0.07931860614,0.06428690778,0.03765943222,0.2144691348,0.1976484286,0.002324991082
pair_00002,afm_00002_313e18b304,6023,6023,test,0.3628364429,0.1946338572,0.1157407686,0.03318404519,0.1209298344,0.1322013108,0.163853705,0.1611165954,0.3705455568,0.1813626272,0.5255861124,0.2456490314,0.6377081517,0.2582533909,0.01054787149,0.02118016705,0.05204430405,0.07834369403,0.002054616018,0.001843816471,0.006602292109,0.002436161327,0.01021588527,0.002920874915,0.9853503329,0.01567940569,0.9984387254,0.000562795185,0.5100896861,0.1431250415,0.8766741071,0.09350887092,0.668161435,0.06197432718,0.9933035714,0.01771708467,0.4624783492,0.0585361846,0.5207419663,0.01491395936,3.015923897,0.7061733639,0.7926901726,0.2948420621,0.2241802952,0.1000280997,0.07485615213,0.03629387915,0.2492031902,0.1946338572,0.001843816471
pair_00003,afm_00003_b76327ec18,6028,6028,test,0.567638291,0.2208577588,0.1524598966,0.05037757841,0.1575938817,0.1592229401,0.2617354073,0.1950783951,0.5942937881,0.2318987485,0.7439896204,0.2672540189,0.8389072567,0.2257511133,0.01557019292,0.02149664913,0.01189064493,0.01732730549,0.004731127381,0.002691773287,0.009134303953,0.001892719357,0.01498869678,0.001736219744,0.9924813867,0.005171759597,0.9985298398,0.000659443457,0.4730941704,0.1576378295,0.9123883929,0.05624546024,0.557735426,0.04517464284,1,0,0.4594577453,0.01956307012,0.5011424648,0.01226262523,3.922168906,0.337758239,1.343970109,0.1899399387,0.4315901876,0.06897138937,0.1442089578,0.04933500303,0.3160829544,0.2208577588,0.002691773287
pair_00004,afm_00004_f989167d9f,6029,6029,train,0.6199521478,0.2350803975,0.1006302487,0.02805107971,0.3636269439,0.193731495,0.4310343638,0.1942411114,0.6442542197,0.2389127503,0.7562487312,0.2725449617,0.8009513272,0.2854925277,0.01224938217,0.01736388397,0.02361935985,0.0624909523,0.006225391385,0.003280115231,0.006036062405,0.00202077673,0.00760561999,0.002355581798,0.9937157422,0.01209957653,0.999614441,0.000241256638,0.5997757848,0.1769419163,0.9642857143,0.08636402733,0.5128923767,0.09638485106,1,0,0.504208674,0.05293154285,0.504523485,0.009017475936,2.932055893,0.7921608253,0.8457093832,0.2937548306,0.2357636151,0.09315246042,0.1002941442,0.05944694088,0.2664609849,0.2350803975,0.003280115231
pair_00005,afm_00005_2c304fd671,6033,6033,train,0.3481874447,0.2953111161,0.1051706357,0.06681231898,0.06417902675,0.09678232414,0.1484038661,0.1943549289,0.3709640405,0.3083396925,0.4630896267,0.3495285158,0.5041338513,0.3372840027,0.0176827567,0.04388444901,0.04249043367,0.06502804116,0.002524164521,0.002820056964,0.004966832203,0.002059771978,0.007082541182,0.001850469443,0.9801182508,0.01812829841,0.9970337641,0.002685156238,0.3340807175,0.2065337662,0.7873883929,0.1649361381,0.5610986547,0.1362453591,0.8928571429,0.1805277879,0.4277692395,0.0646758767,0.5110318088,0.0186958765,2.465065784,0.3915258754,0.6169598534,0.1884496683,0.1746896503,0.06290289939,0.1434899499,0.09384928302,0.2084961385,0.2953111161,0.002820056964
pair_00006,afm_00006_4b0fb6ea95,6041,6041,train,0.2370209367,0.2865558185,0.05561368715,0.03676031844,0.1087785881,0.1969237127,0.132575887,0.2200190923,0.2449165521,0.283636502,0.3100426195,0.3409706992,0.3326809064,0.3570321042,0.01035604672,0.02604839751,0.1811075016,0.2167242944,0.001970444383,0.003354976881,0.002679947749,0.002374004105,0.003819991194,0.002972258036,0.9622585608,0.03645916149,0.9986243488,0.002421870518,0.2679372197,0.2478744932,0.7321428571,0.2127924159,0.6036995516,0.1513401012,0.9827008929,0.0457691354,0.382606184,0.09895688899,0.5114245969,0.02515049507,1.598199552,1.033312586,0.3321270961,0.3278586756,0.08397852488,0.09195091423,0.1383798518,0.06330398203,0.2224063426,0.2865558185,0.003354976881
pair_00007,afm_00007_9e449ffc89,6043,6043,train,0.76283703,0.1058846072,0.1549369795,0.04963491176,0.2187106153,0.1519279182,0.4273419091,0.2490916735,0.8165678829,0.07544823398,0.9046195894,0.0804558476,0.9256499484,0.07277904352,0.01147959184,0.023408267,0.01258071588,0.02332156326,0.007453278697,0.001498381639,0.00635223178,0.0004211337418,0.008800538955,0.0009422169893,0.9930086904,0.008510484979,0.9998043561,7.83166167e-05,0.5678251121,0.06020242002,0.93359375,0.07007071168,0.5426008969,0.09842513035,1,0,0.4713464294,0.03153869302,0.4998489354,0.007530892442,2.827755663,0.2161108106,0.7728679096,0.08240163907,0.2061531827,0.02723857428,0.2286986522,0.06501883096,0.07346007228,0.1058846072,0.001498381639
pair_00008,afm_00008_1d28ad0abe,6047,6047,train,0.4131629849,0.2251378308,0.1120112368,0.05798410113,0.155520773,0.1271577689,0.2157915826,0.1459758633,0.4204943129,0.2247400161,0.5811698018,0.3264569533,0.625970236,0.3413369536,0.01059520488,0.01674373724,0.01422492825,0.03090198886,0.002454235116,0.001829624829,0.006257879824,0.003098467844,0.008529628307,0.004025909027,0.9921146907,0.006546458521,0.9991159488,0.0003383762713,0.6468609865,0.1181712201,0.9056919643,0.05928587817,0.5521300448,0.05154208181,1,0,0.5064682919,0.04178236051,0.5018369803,0.008783837728,2.773290184,1.107644626,0.8113655221,0.4280403196,0.2465364791,0.1433778578,0.09135228348,0.04315924907,0.154670909,0.2251378308,0.001829624829
pair_00009,afm_00009_e897664da5,6048,6048,test,0.3918031726,0.2472382136,0.1120068369,0.05452077696,0.08348525641,0.08339771136,0.1781938067,0.1492675107,0.4108142965,0.2551618596,0.5372936144,0.3194813502,0.5684314719,0.3224303368,0.01870914381,0.04485745885,0.09482122927,0.2375313576,0.002831916118,0.00241867913,0.006971618321,0.003149711413,0.01209603224,0.004259067093,0.9721781533,0.05665141861,0.9983415412,0.001096526011,0.4708520179,0.1874444826,0.8331473214,0.217699023,0.5274663677,0.1525971725,0.9933035714,0.01181138978,0.4335316517,0.1040441142,0.4864481017,0.02260705491,3.349440897,1.028604464,1.06256157,0.4275012384,0.3433420783,0.1580098779,0.09800651607,0.06924010227,0.1992525756,0.2472382136,0.00241867913
pair_00010,afm_00010_758feda8e0,6056,6056,train,0.2687563356,0.2583806564,0.123128499,0.08721116136,0,0,0.01724137925,0.02986294485,0.3044048743,0.2813667267,0.3976028403,0.3447246165,0.4898686521,0.3537465111,0.01551040338,0.0363658994,0.3468715123,0.3854095871,0.002347019703,0.002446164024,0.005345760073,0.003760833624,0.01304376798,0.007089977232,0.7870870754,0.3349467418,0.8384737111,0.3293707606,0.4955156951,0.2762309999,0.5318080357,0.3177919079,0.4215246637,0.2543237478,0.7338169643,0.3965553503,0.437305757,0.09923594206,0.5091164663,0.04219306096,2.922172908,1.470063492,0.9386641954,0.550965806,0.2556630118,0.1600819932,0.1994456318,0.1551398423,0.2184080184,0.2583806564,0.002446164024
pair_00011,afm_00011_782d9af833,6057,6057,train,0.3065468166,0.1221223114,0.1157370578,0.05904477701,0.01886394178,0.02466312557,0.09620270401,0.0758293881,0.3091953704,0.1064431506,0.4578606486,0.2467894526,0.5447054356,0.269283816,0.01162408323,0.02608336897,0.01735889668,0.01886366593,0.001414261909,0.0008326142547,0.005800140658,0.003231779601,0.01035704929,0.004589016233,0.9863200474,0.005686334165,0.9990787693,0.0007994593675,0.6053811659,0.1222538644,0.8203125,0.0952983847,0.4697309417,0.05037363663,1,0,0.4698909428,0.0493599061,0.487870263,0.006302220219,2.978334699,0.9316540656,0.8641197702,0.4600141802,0.2690802804,0.1921146812,0.1739530074,0.06922279511,0.108355172,0.1221223114,0.0008326142547
