descriptor,is_key_descriptor,v2_abs_pearson,v3_abs_pearson,v2_mae,v3_mae,v2_best_guidance_scale,v3_monotonicity,improved_abs_pearson,improved_mae
autocorrelation_length_px,True,0.0817932158655655,0.33973538124626396,19.299755667440003,5.368055555555555,2.0,0.030303030303030276,True,True
gradient_anisotropy,False,0.08310546155838949,0.004739066594358336,0.153105904439,0.04660583633539561,0.0,-0.034965034965035,False,True
gradient_std,False,nan,0.4403821965327217,nan,0.7894195421210541,,0.020979020979021046,False,False
island_count,False,0.13444621551029634,0.25896856364378684,149.89082946056,17.34027777777778,2.0,-0.007633587786259555,True,True
island_mean_area_px,False,nan,0.3269245792549716,nan,330.98861445726646,,0.09090909090909083,False,False
mean_abs_gradient,False,nan,0.4202112099631443,nan,0.8188102645432994,,0.020979020979021046,False,False
psd_high_power,True,0.08470046246720365,0.09213857420905867,5.08407413498375,5.283271388838034,1.5,-0.028169014084507005,True,False
psd_low_power,True,0.10090864985673406,0.20214387035761036,4.5172994113875005,5.947256312467961,1.5,-0.014084507042253502,True,False
psd_mid_power,True,0.08287643954142242,0.17172967525148075,5.005157054346875,6.256549998757047,0.5,0.006993006993007089,True,False
psd_slope,True,0.11035383776235982,0.13986086631281822,0.62066404976875,0.27166200170028026,2.0,0.034965034965035,True,True
ra,True,0.08452811749023965,0.037612388155627334,3.4867919939009377,3.964592314563357,3.0,0.006993006993007089,False,False
robust_range,True,0.0894513594253159,0.04344034872658424,21.257257412925,24.763326408489448,0.0,-0.006993006993006978,False,False
rq,True,0.09807576677267923,0.023099100032945002,4.52551123812,5.155210407500459,0.5,-0.006993006993006978,False,False
