sample_id,scan_number,source_path,source_shape,source_scan_size_um,crop_quarter,crop_bounds_xyxy,output_shape,effective_scan_size_um,processing_order,second_order_model,second_order_robust,second_order_iterations,second_order_fit_fraction,second_order_coefficients,second_order_rank,second_order_condition_number,rq_nm,ra_nm,height_unit,output_path,background_path,source_sha256,output_sha256,metadata_path,afm_file_id,finite_fraction,quality_pass,quality_flags,physical_rq,physical_ra,physical_robust_height_range,height_skewness,height_kurtosis,physical_p95_p5,physical_peak_to_valley,physical_skewness,physical_kurtosis,physical_mean_abs_gradient,physical_rms_gradient,physical_slope_q05,physical_slope_q50,physical_slope_q95,physical_autocorr_length_nm,physical_corr_length_x_nm,physical_corr_length_y_nm,physical_anisotropy_ratio,physical_gradient_orientation_entropy,physical_q01,physical_q05,physical_q25,physical_q50,physical_q75,physical_q95,physical_q99,physical_psd_low_fraction,physical_psd_mid_fraction,physical_psd_high_fraction,physical_psd_slope,unit_rq,unit_ra,unit_robust_height_range,unit_p95_p5,unit_peak_to_valley,unit_skewness,unit_kurtosis,unit_mean_abs_gradient,unit_rms_gradient,unit_slope_q05,unit_slope_q50,unit_slope_q95,unit_autocorr_length_nm,unit_corr_length_x_nm,unit_corr_length_y_nm,unit_anisotropy_ratio,unit_gradient_orientation_entropy,unit_q01,unit_q05,unit_q25,unit_q50,unit_q75,unit_q95,unit_q99,unit_psd_low_fraction,unit_psd_mid_fraction,unit_psd_high_fraction,unit_psd_slope
N6342,1,data/processed_afm_extra_five/N6342/N6342_2um_1_000/N6342_2um_1_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.9937591552734375,"{'constant': 255.66640287529432, 'x': 0.5853028328041733, 'y': 1.6132416917425065, 'y2': -0.5898809372381124}",4,3.7301867213114015,0.7410494942451411,0.5787174035227602,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_1/N6342_scan_1_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_1/N6342_scan_1_top_left_quarter_y2_background.npy,67243091d84b1adef413a275c15b5a1c0a0526b510d1f52fa22fbba50681648f,31ca0dbf071bbd5d6524fcc58f60546502558440791d087fe2ee32c891a0b6b3,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_1/N6342_scan_1_top_left_quarter_second_order.json,N6342_scan_1_top_left_quarter,1.0,True,,0.7410494942451411,0.5787174035227602,3.56292871633926,0.598906627206844,3.5932645020910687,2.436923450764546,5.418744383021874,0.598906627206844,3.5932645020910687,44.619279908324145,52.68241221109907,2.250256469897873,42.14404342777782,91.27850680007118,47.05882352941176,50.98039215686274,47.05882352941176,1.0833333333333333,0.7885540240173677,-1.4566814896667544,-1.0849118937417082,-0.5062026166045365,-0.07684446939596165,0.4245235119566607,1.3520115570228377,2.1062472266725054,0.9965313228752632,0.0017918778749135948,0.0016767992498233927,-2.087897717759978,1.0,0.7809429842635032,4.807949730764722,3.2884759650863553,7.312257042347214,0.5989066272068442,3.5932645020910683,60.21093092273803,71.09162427101202,3.0365805352718893,56.87075391733073,123.1746428665344,47.05882352941176,50.98039215686274,47.05882352941176,1.0833333333333333,0.788554024017367,-1.9657006731386828,-1.4640208274439717,-0.6830888092301745,-0.10369681106690198,0.5728679599047499,1.8244551376423837,2.8422490576260393,0.996531322875263,0.0017918778749135948,0.0016767992498233923,-2.087897717759978
N6342,2,data/processed_afm_extra_five/N6342/N6342_2um_2_000/N6342_2um_2_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,4,0.9976959228515625,"{'constant': -626.6336837923623, 'x': 0.5973809465374998, 'y': 11.481017197986155, 'y2': -0.3188083687034893}",4,3.7380344888187906,0.9326069015100625,0.7371858520270865,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_2/N6342_scan_2_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_2/N6342_scan_2_top_left_quarter_y2_background.npy,94507916b15dcc9bb601893c4f9ce19c61cc0006b5985189905011233ed3618b,da40ef204d2516e844826658e8e3367fbad4381aafbd464ca9f87d6e3e8eed8d,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_2/N6342_scan_2_top_left_quarter_second_order.json,N6342_scan_2_top_left_quarter,1.0,True,,0.9326069015100625,0.7371858520270865,4.507488432983326,0.16632710416902927,3.335616878326795,3.0117141095481372,7.995702837145586,0.16632710416902927,3.335616878326795,63.681237597688984,74.91399391754133,17.710498937347367,48.351559392749905,137.0607525933777,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9135896378021282,-2.1398796321134808,-1.4834685260273954,-0.6316396609521189,-0.016831173330787146,0.6022321325131645,1.5282455835207418,2.3676088008698457,0.9977105516390925,0.0012950292996837048,0.0009944190612238006,-2.5994178348017405,1.0,0.7904572128229446,4.833213678437154,3.2293500130350923,8.573497391236403,0.1663271041690293,3.3356168783267957,68.28304347156055,80.32751397854956,18.99031511419313,51.84559465993637,146.9651922706674,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9135896378021278,-2.294514042999919,-1.5906686124940599,-0.6772839230863269,-0.018047446682556596,0.6457513144477482,1.6386814005410322,2.5386996354372355,0.9977105516390925,0.0012950292996837043,0.0009944190612238008,-2.5994178348017396
N6342,3,data/processed_afm_extra_five/N6342/N6342_2um_3_000/N6342_2um_3_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.99749755859375,"{'constant': -328.2292020414147, 'x': 0.6003663700302003, 'y': 9.090329869737014, 'y2': 0.5233082960450767}",4,3.7412250810658487,0.9221432390865927,0.7227414312269054,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_3/N6342_scan_3_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_3/N6342_scan_3_top_left_quarter_y2_background.npy,b31a8d9524b1c3e2a358ad2a00cc603ae84ce95362a32473b48f86f4168f4828,4df43e354d5bbab87bfd254a43e1b9550132af5b44d0cb3c5961eaae895ae05c,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_3/N6342_scan_3_top_left_quarter_second_order.json,N6342_scan_3_top_left_quarter,1.0,True,,0.9221432390865927,0.7227414312269054,4.435474669821863,-0.009316684139989624,3.3659040237839135,3.0295695276317787,8.245987221502787,-0.009316684139989624,3.3659040237839135,62.21747710676456,73.33238516379944,17.769792183154312,47.902619542475335,136.44699098499513,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9142377113805349,-2.2598956946397686,-1.4989066926408094,-0.5976767517031413,-0.0031840889841640123,0.5880600146857581,1.5306628349909692,2.175578975182095,0.9975147934702366,0.0014540063109857674,0.0010312002187774292,-2.586089903310079,0.9999999999999999,0.7837626526902697,4.809962792998752,3.2853567636982817,8.942197775771426,-0.009316684139989652,3.365904023783914,67.47051268129735,79.52385492349009,19.270099730661972,51.947048475813965,147.96724109819365,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9142377113805354,-2.450699196014553,-1.6254597215563997,-0.6481387341679758,-0.0034529223326713442,0.6377100538830032,1.6598970421418817,2.359263596984199,0.9975147934702366,0.001454006310985767,0.001031200218777429,-2.5860899033100764
N6342,4,data/processed_afm_extra_five/N6342/N6342_2um_4_000/N6342_2um_4_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.99920654296875,"{'constant': 42.02916053641273, 'x': 0.6878575281415111, 'y': 5.658817965365212, 'y2': 0.4688755563945876}",4,3.7359517052573556,0.8839154297980678,0.6985861758049994,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_4/N6342_scan_4_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_4/N6342_scan_4_top_left_quarter_y2_background.npy,02edfc1c8781041bbff728541771448d7914482d2aebe1c761c47004063703f5,7c90a803eec5ecb3c86fa4d47b400efea27a3935d69ca23f742781d0069e67c0,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_4/N6342_scan_4_top_left_quarter_second_order.json,N6342_scan_4_top_left_quarter,1.0,True,,0.8839154297980678,0.6985861758049993,4.225679639680369,0.19216456268066692,3.16083068400816,2.9260316188450677,6.688238463752825,0.19216456268066692,3.16083068400816,61.484645613533985,73.07498695069681,10.926518152629004,51.20397239048267,135.60298422756944,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9482730410122151,-1.9768002873983714,-1.404228523213704,-0.603258817555022,-0.02059875973945567,0.55961282836243,1.5218030956313637,2.248879352281997,0.9973227958720681,0.0015485616460090689,0.0011286424819229772,-2.560255350086613,0.9999999999999999,0.7903314641363288,4.780637940267354,3.3103072083644083,7.566604494369745,0.19216456268066695,3.16083068400816,69.55942111744815,82.67192141604649,12.361497247678091,57.92858758238932,153.4117175197951,31.372549019607842,31.372549019607842,31.372549019607842,1.0,0.9482730410122143,-2.2364133725439945,-1.5886457865482704,-0.6824847685856525,-0.023303993849458526,0.6331067537652042,1.7216614218161377,2.5442245677233597,0.997322795872068,0.0015485616460090689,0.0011286424819229772,-2.56025535008661
N6342,5,data/processed_afm_extra_five/N6342/N6342_2um_5_000/N6342_2um_5_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.9957733154296875,"{'constant': -86.57522990821757, 'x': 0.5986406885871172, 'y': 3.600731413682783, 'y2': 0.6156937587255686}",4,3.738226541597589,0.877333523381528,0.6815302685221762,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_5/N6342_scan_5_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_5/N6342_scan_5_top_left_quarter_y2_background.npy,19d2074459a93dbcbaf62755d18b176a2efbd1fb512fe6f19099c32942e77546,9570392461ef1e5bcf0ccb007dc22aae1c8ec0b051d326d2c025e3f3e40e8e37,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6342/scan_5/N6342_scan_5_top_left_quarter_second_order.json,N6342_scan_5_top_left_quarter,1.0,True,,0.877333523381528,0.6815302685221762,4.244463477787384,0.031330869801992525,3.6048211427374484,2.8811780880667825,7.927350576106136,0.031330869801992525,3.6048211427374484,57.89597891250414,69.30378541247154,6.586845245836344,50.88838563566643,127.87868152246065,35.29411764705882,31.372549019607842,35.29411764705882,1.125,0.9548194334020904,-2.121118782679592,-1.4067635164942798,-0.5589063966819088,-0.015608677296068182,0.5475729379968792,1.4744145715725028,2.123344695107793,0.9975252215343534,0.0014089982041963684,0.0010657802614500809,-2.5409645370548746,1.0,0.7768200466059219,4.83791325039974,3.2840168661990568,9.035731982007885,0.03133086980199251,3.6048211427374484,65.99084312811195,78.99365927036764,7.507800705538416,58.003466503281516,145.75834402129618,35.29411764705882,31.372549019607842,35.29411764705882,1.125,0.9548194334020904,-2.4176880583613305,-1.6034535088459367,-0.6370512260009195,-0.017791041696329207,0.6241331527904639,1.68056335735312,2.4202251920384095,0.9975252215343537,0.0014089982041963682,0.0010657802614500807,-2.540964537054873
N6358,1,data/processed_afm_extra_five/N6358/N6358_2um_1_000/N6358_2um_1_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,4,0.9956207275390625,"{'constant': 436.53965495857426, 'x': 0.19981359708528879, 'y': 9.631048957202733, 'y2': 0.38843348714691067}",4,3.7394186826244993,1.1027878113635,0.8611443160319698,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_1/N6358_scan_1_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_1/N6358_scan_1_top_left_quarter_y2_background.npy,ee842ec802d599d23d2e7fac9abcb37174d0248267568ab6bfb7b2d104254799,b0bb0b990be5c74db8dcb6f2e4f63b69fbe8d5d1cc5a9782a2c87308420b814c,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_1/N6358_scan_1_top_left_quarter_second_order.json,N6358_scan_1_top_left_quarter,1.0,True,,1.1027878113635,0.86114431603197,5.078553490585,0.4303283426150274,4.432191871599278,3.51398047302699,10.429979673160574,0.4303283426150274,4.432191871599278,58.49134157960485,68.44495275219056,18.784996308337966,46.241006523315136,124.72890981805898,43.13725490196078,47.05882352941176,43.13725490196078,1.0909090909090908,0.8842890924555781,-2.4052903953744105,-1.7136100422839942,-0.7367424296915938,-0.044487116799279657,0.7025154680425577,1.800370430742996,2.673263095210589,0.9985648848840192,0.0007866452396419668,0.0006484698763388116,-2.528753835352102,1.0,0.7808794286248419,4.605195521979715,3.1864520416509348,9.45783002467612,0.43032834261502734,4.432191871599278,53.039524899432344,62.06538741806043,17.034098595188482,41.93100979792496,113.10327202822695,43.13725490196078,47.05882352941176,43.13725490196078,1.0909090909090908,0.8842890924555779,-2.1810999093293213,-1.553889174895093,-0.6680726991175907,-0.04034059529935794,0.6370359381955439,1.6325628667558418,2.424095612650393,0.9985648848840193,0.0007866452396419672,0.0006484698763388118,-2.5287538353521017
N6358,2,data/processed_afm_extra_five/N6358/N6358_2um_2_000/N6358_2um_2_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.9989013671875,"{'constant': 124.30030721089292, 'x': 0.2549824795777568, 'y': 6.677198402486098, 'y2': 0.8209556152620455}",4,3.736662432004499,1.0839679160162379,0.8600508295223341,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_2/N6358_scan_2_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_2/N6358_scan_2_top_left_quarter_y2_background.npy,ac25e4c9e4dfc8f118b81e01c8002ce9ca0d90b03faffc4af4d1b0739d6bd727,c89bec6e78014a71ca81214c5ca3bd166805e642660d29a8a8d691235833710b,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_2/N6358_scan_2_top_left_quarter_second_order.json,N6358_scan_2_top_left_quarter,1.0,True,,1.0839679160162379,0.8600508295223341,5.129330449433985,0.1836565653215442,3.1178397048314155,3.5936257459263103,8.399423522524131,0.1836565653215442,3.1178397048314155,58.453795523775625,69.54382068416565,12.141726219609286,49.58086730426601,125.6857701104557,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9330977376830379,-2.434906786176886,-1.714552167962924,-0.7436928020059412,-0.027664372631085954,0.6882452395527678,1.8790735779633863,2.6944236632570986,0.9984244847362976,0.0008759114102470331,0.0006996038534552985,-2.533715273031285,0.9999999999999999,0.7934283079919595,4.731994714645362,3.3152510261867176,7.74877503145426,0.18365656532154423,3.117839704831417,53.92576169468469,64.15671502506342,11.20118597627146,45.74016128307923,115.94971424280878,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9330977376830367,-2.246290457678464,-1.5817370077374504,-0.686083777035704,-0.025521394334951465,0.6349313751666963,1.7335140184492672,2.4857042569668972,0.9984244847362976,0.000875911410247033,0.0006996038534552984,-2.5337152730312855
N6358,3,data/processed_afm_extra_five/N6358/N6358_2um_3_000/N6358_2um_3_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,2,0.999755859375,"{'constant': 13.167687516023497, 'x': 0.43368286929197786, 'y': 5.199415560668907, 'y2': 0.3251534938547768}",4,3.736923754986497,1.0782601741935411,0.8713462178070112,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_3/N6358_scan_3_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_3/N6358_scan_3_top_left_quarter_y2_background.npy,3fff9f21236c75f5eea9935f1064f46d47abc775526ecd7bf86f3a3ac5ad40fb,8c7cff1608642a4baa59bf7464db145fcdb0df3b019e46dfe23e76e2662297f8,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_3/N6358_scan_3_top_left_quarter_second_order.json,N6358_scan_3_top_left_quarter,1.0,True,,1.0782601741935411,0.8713462178070112,5.043152423820707,0.13370813122235548,2.929134679815568,3.475813984244142,8.083007713610616,0.13370813122235548,2.929134679815568,58.709959340677734,69.57325991460036,10.002969083325093,50.88069999974503,125.47952594459461,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9443343264265629,-2.41213778220945,-1.690280572678572,-0.7689719704992198,-0.03606111215665443,0.7564494204041824,1.7855334115655699,2.6310146416112565,0.9984100134253008,0.0008686462182846164,0.0007213403564147349,-2.5322571819871316,1.0,0.8081038683068432,4.677120183533266,3.2235392416712356,7.496342633313066,0.13370813122235545,2.929134679815569,54.448787728424115,64.52362943538743,9.27695311644666,47.187776398956785,116.3722160455792,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9443343264265633,-2.2370647084443704,-1.567599929156965,-0.7131599486871097,-0.03344379493903264,0.7015462858673702,1.6559393125142703,2.440055475088896,0.9984100134253007,0.0008686462182846162,0.0007213403564147346,-2.5322571819871325
N6358,4,data/processed_afm_extra_five/N6358/N6358_2um_4_000/N6358_2um_4_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.999114990234375,"{'constant': 380.11758475348927, 'x': 0.063725925260998, 'y': 4.327806276680615, 'y2': -0.13661911353385}",4,3.73866624052674,1.0901834649529556,0.8675634067251005,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_4/N6358_scan_4_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_4/N6358_scan_4_top_left_quarter_y2_background.npy,50c17486dde3b7a5f17d798cd7c3f0a916a7d0f47fb77486365c31cfab3bf43b,48c0de7c4658413812b5be486ac461cca29e8198a37e406d52ecf25c04b9fd08,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_4/N6358_scan_4_top_left_quarter_second_order.json,N6358_scan_4_top_left_quarter,1.0,True,,1.0901834649529556,0.8675634067251005,5.1124463534660265,0.1461102125763981,3.0139566775696567,3.5687082066186377,7.808575409621483,0.1461102125763981,3.0139566775696567,58.885761307125335,69.76476497900319,8.470126597716964,51.70615508433845,126.53903531303581,43.13725490196078,47.05882352941176,43.13725490196078,1.0909090909090908,0.9545966941079782,-2.3985168327236095,-1.7889886528961452,-0.7330251443093315,-0.024463496559371592,0.7266758637011806,1.7797195537224926,2.713929520742417,0.9984900631301846,0.000826360232505527,0.000683576637309905,-2.5494805837513055,0.9999999999999999,0.7957957854025406,4.6895284305991956,3.2734932434263597,7.162625063257995,0.14611021257639814,3.013956677569657,54.01454268953384,63.993600363415645,7.769450620022454,47.42885646919045,116.07132137020287,43.13725490196078,47.05882352941176,43.13725490196078,1.0909090909090908,0.9545966941079774,-2.2001038447479226,-1.640997786527009,-0.6723869585941331,-0.022439797837538532,0.6665629107964307,1.6324954568993508,2.489424585851273,0.9984900631301846,0.0008263602325055268,0.0006835766373099049,-2.549480583751306
N6358,5,data/processed_afm_extra_five/N6358/N6358_2um_5_000/N6358_2um_5_000_height.npy,"[512, 512]","[2.0, 2.0]",top_left,"[0, 0, 256, 256]","[256, 256]","[1.0, 1.0]",physical ZSensor height -> top-left quarter crop -> robust second-order y2 subtraction,y2,True,3,0.9971466064453125,"{'constant': -369.6151175665122, 'x': 0.15564032698225547, 'y': 4.612982401075111, 'y2': 0.4372808211826724}",4,3.7356898538080783,1.1162913931755203,0.8784490140030676,nm,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_5/N6358_scan_5_top_left_quarter_second_order.npy,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_5/N6358_scan_5_top_left_quarter_y2_background.npy,026ffe63b14021632a52305c714c1e99f6ac6016e9f3f85244f470ae7499b002,15e82fde6c7ac5eba8a7517d736af1cfcba68fac54658153ce022afb3b583fbf,publication_freeze/prospective_retrained_6358_6382_single_frame_v1/ground_truth_afm/top_left_quarter_second_order/N6358/scan_5/N6358_scan_5_top_left_quarter_second_order.json,N6358_scan_5_top_left_quarter,1.0,True,,1.1162913931755203,0.8784490140030676,5.243878368420815,0.38683008438645416,3.331664528887854,3.7285081722583584,9.432047530309376,0.38683008438645416,3.331664528887854,59.11855821887339,69.95373844403363,8.621107986775334,51.11217561483612,126.48369298934522,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9563725768625696,-2.339839299157077,-1.7193424179832586,-0.7605384473480848,-0.07993079760885519,0.6739314940471081,2.0091657542751,2.9040390692637383,0.9984105097775445,0.0009067543619838753,0.0006827358604714873,-2.553065263995409,0.9999999999999999,0.786935220833459,4.697589178309013,3.3400850307121432,8.449449299683282,0.3868300843864543,3.331664528887855,52.95979040983063,62.66619887217427,7.72299064516732,45.787485173953584,113.30705742479691,43.13725490196078,43.13725490196078,43.13725490196078,1.0,0.9563725768625699,-2.096082898660468,-1.5402272457662114,-0.6813081709647307,-0.07160388237113932,0.6037236318108405,1.7998577849459316,2.6015062796485444,0.9984105097775449,0.0009067543619838753,0.0006827358604714873,-2.5530652639954106
