descriptor,selected,reason,train_std,v2_abs_pearson
rq,True,robust_default,2.992087197745539,0.09807576677267923
ra,True,robust_default,2.3038146171041407,0.08452811749023965
robust_range,True,robust_default,13.501100534031437,0.0894513594253159
mean_abs_gradient,True,robust_default,0.6422193635030495,nan
gradient_std,True,robust_default,0.47618902047299183,nan
gradient_anisotropy,True,robust_default,0.10857413520055316,0.08310546155838949
psd_low_power,True,robust_default,1.0786920633187396,0.10090864985673406
psd_mid_power,True,robust_default,0.9796273311849326,0.08287643954142242
psd_high_power,True,robust_default,1.0523455770994259,0.08470046246720365
psd_slope,True,robust_default,0.3863601034338404,0.11035383776235982
autocorrelation_length_px,True,robust_default,14.679528072231765,0.0817932158655655
island_count,True,robust_default,111.0806971775215,0.13444621551029634
island_mean_area_px,True,robust_default,417.21037667333445,nan
