method,group_count,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction
M10_dense_island_spectral_pareto,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.5744637250900269,1.1083377599716187,1.105527639389038,1.0025418817969431,1.0894885063171387,1.403232216835022,0.0268231416537853,43.80036987836371,0.04578400180949782,0.5945437312126174,0.13187251268260294,1.112550876346367,1.0512201613632755e-06,0.8399738622309973,0.0002752948234934216,2.70720322520482e-05,0.0002482227912410466,0.5289466311514439,23.62204724409449,0.75,0.25,0.5953495409735734,1.3018973758038657,0.22110304782433168,0.04115223807421031,0.8399738622309973,23.62204724409449,0.9731768583462147,9.330049277350314,1.046832799911499,0.03655214627335055,0.0,0.3549483120441437,0.3940049111843109,0.0991271885996797,0.41291171312332153,0.4788719415664673,0.137740850356317,0.7061173021793365,0.5470546185970306,0.2907619791059183,1.0191888809204102,0.9505957365036011,0.07215806023820646,0.9855839610099792,4.076759338378906,0.7582432811935645,0.0004934872403319816,0.00022649828277760477,1.1787681313969571,4.547618112564087,4.967018510103226,0.08443705145975444,0.006403828531636858,0.5666155352426518,0.9886981063290217,2.865248337234352,3.9864626162328403,0.28125543544116377,0.9008728114003203,1.0,1.0
M17e_broad_sparse_peak_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.0275002717971802,1.080254077911377,1.105527639389038,0.9771389148699815,1.105910301208496,1.4051018953323364,0.010544106245774872,46.35405746716121,0.002693923511072338,0.06462601184844985,0.15679498045125664,1.112550821486611,1.1060799172124547e-06,0.6004913354743423,5.0517157491158926e-05,0.00027753823877864564,0.00022702108128755608,0.3760639329449318,15.748031496062993,0.5,0.050000000000000044,0.7296253492908775,0.03928788402493488,0.30397809295249834,0.002421391213640489,0.6004913354743423,15.748031496062993,0.9894558937542252,9.720501197392842,1.0502774715423584,0.031694575160574064,0.0,0.38907937705516815,0.3940049111843109,0.012501199831081937,0.44586436450481415,0.4788719415664673,0.06892777420552149,0.6336601376533508,0.5470546185970306,0.15831238072430065,1.0144410729408264,0.9505957365036011,0.0671634996723799,0.9825567603111267,4.076759338378906,0.7589858319422325,0.0004528754013065524,0.00022649828277760477,0.9994650544491053,4.995466240644456,4.967018510103226,0.005727325252234435,0.00026158241497570983,0.5666155352426518,0.9995383423173109,4.056511955009686,3.9864626162328403,0.01757180375694618,0.9874988001689181,1.0,1.0
M16b_baseline_dense_microisland_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,2.1242148876190186,1.10128915309906,1.105527639389038,0.996166096496402,1.1446328163146973,1.4248192310333252,0.005745015873722664,44.91581025620882,0.046267822267125114,0.6536442041397112,0.11149189996477685,1.1125508184814668,1.109085061568038e-06,2.2873830128465786,0.0022953125157517684,0.0020643527199023827,0.00023095979584938193,2.9585058792350254,7.874015748031496,0.25,0.050000000000000044,0.4854238777433718,1.3975782767752674,0.17845204816332888,0.04158711255787584,2.2873830128465786,7.874015748031496,0.9942549841262773,9.858070260732866,1.0630974769592285,0.042119280790142766,0.0,0.37262652814388275,0.3940049111843109,0.0542591790954291,0.42492304742336273,0.4788719415664673,0.11265829016130915,0.3487224727869034,0.5470546185970306,0.3625454188080294,1.019396722316742,0.9505957365036011,0.07237670354613486,1.0625740885734558,4.076759338378906,0.7393581518118308,2.239258422097163e-07,0.00022649828277760477,0.9990113574396077,4.43338161945343,4.967018510103226,0.10743605838479268,0.1466163052383222,0.5666155352426518,0.7412419954642894,2.627647701577549,3.9864626162328403,0.34085730770990025,0.9457408209045709,1.0,1.0
M17g_moderate_broad_topology_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.1531128883361816,1.082370102405548,1.105527639389038,0.9790529552058166,1.1091827154159546,1.4057929515838623,0.009783264813528637,47.625736986295784,0.006798699678983944,0.09745023488998505,0.16290247282437767,1.112550872019402,1.055547126371792e-06,0.7797655188842505,0.0009329161229474359,0.0006066933768390289,0.0003262227461084372,0.44939565996836617,7.874015748031496,0.25,0.050000000000000044,0.7844408233514424,0.16333504922432374,0.3128719574000155,0.006110905667725763,0.7797655188842505,7.874015748031496,0.9902167351864714,9.967529520053082,1.0522384643554688,0.03112413024468802,0.0,0.4103199392557144,0.3940049111843109,0.04140818453852095,0.46982716023921967,0.4788719415664673,0.018887682785633006,0.7107878625392914,0.5470546185970306,0.2992996281836884,1.0170969069004059,0.9505957365036011,0.06995736236036956,0.9689046144485474,4.076759338378906,0.7623346059878469,0.0005516670349703409,0.00022649828277760477,1.4356345143332252,4.931162507534028,4.967018510103226,0.007218817988349495,-0.06598619648829968,0.5666155352426518,1.1164567372125462,3.795977620815444,3.9864626162328403,0.047782962931031375,1.041408184538521,1.0,1.0
M17a_fixed_sparse_peak_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.3169010877609253,1.087410569190979,1.105527639389038,0.9836122865204244,1.1128087043762207,1.4059672355651855,0.009846941786675356,47.79692881165599,0.012630147763739497,0.09086913824081577,0.1682093456228543,1.1125507914147559,1.1361517724406411e-06,0.7153411724960673,0.0008841749711946401,0.0006490653742765437,0.00023510959691788787,0.3730944671671157,7.874015748031496,0.25,0.050000000000000044,0.8294155815322705,0.47860348833135635,0.32161551489361706,0.011352411965114162,0.7153411724960673,7.874015748031496,0.9901530582133247,9.983745747135393,1.0555806159973145,0.031157575636684375,0.0,0.4128967374563217,0.3940049111843109,0.04794819997351106,0.4717530906200409,0.4788719415664673,0.014865876090253864,0.6933580935001373,0.5470546185970306,0.2674385151492089,1.0078656673431396,0.9505957365036011,0.06024635777368819,0.9655474722385406,4.076759338378906,0.7631580890368467,0.00045573389155606394,0.00022649828277760477,1.0120854161333406,4.952798794507981,4.967018510103226,0.0028628271801929574,-0.10714718579581486,0.5666155352426518,1.1891003319383562,3.451194896087265,3.9864626162328403,0.13427135073736046,1.047948199973511,1.0,1.0
M17b_topology_sparse_peak_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.3324159383773804,1.0881385803222656,1.105527639389038,0.9842708056793746,1.113891839981079,1.405861258506775,0.009804237293381498,47.794630809694866,0.015055440829525257,0.09969277858734316,0.17152441778400132,1.1125507773840337,1.1501824945803207e-06,0.7249791649506543,0.0009054938754424757,0.0006653080207523563,0.0002401858546900441,0.38164167669055926,7.874015748031496,0.25,0.050000000000000044,0.8707976061354599,0.5767486513198024,0.32748602006052235,0.01353234895558908,0.7249791649506543,7.874015748031496,0.9901957627066185,9.98706239070391,1.0569615364074707,0.03134816346512025,0.0,0.41305772960186005,0.3940049111843109,0.04835680438672615,0.47124502062797546,0.4788719415664673,0.015926848655076625,0.6947213709354401,0.5470546185970306,0.2699305468201945,1.0128970742225647,0.9505957365036011,0.06553925641210533,0.9691789746284485,4.076759338378906,0.7622673073917983,0.0004592450185844256,0.00022649828277760477,1.0275871982453453,4.932925224304199,4.967018510103226,0.006863933711879415,-0.1279339972332626,0.5666155352426518,1.225786250598433,3.437547041752647,3.9864626162328403,0.1376949007987718,1.0483568043867262,1.0,1.0
M17h_hierarchical_sparse_island_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.185640811920166,1.0616036653518677,1.105527639389038,0.9602687689821625,1.0970464944839478,1.4058414697647095,0.009611672395378352,47.904521567266336,0.019440181920666322,0.3539218449592578,0.11598419019399656,1.1125508651992924,1.0623672359599823e-06,0.9935252646967444,0.002014215041786116,0.0014365620792609838,0.0005776529625249378,0.6166342407776355,7.874015748031496,0.25,0.050000000000000044,0.2999214906088915,0.8384116770579144,0.1630576671553512,0.017473504999763745,0.9935252646967444,7.874015748031496,0.9903883276046217,10.064959375696056,1.039636492729187,0.029207269478600806,0.0,0.41161201894283295,0.3940049111843109,0.04468753373047585,0.47575290501117706,0.4788719415664673,0.006513299871124942,0.7932376265525818,0.5470546185970306,0.4500154090407078,1.026227593421936,0.9505957365036011,0.07956258797932074,0.9648799300193787,4.076759338378906,0.7633218323838914,0.0007912837629163727,0.00022649828277760477,2.4935530336595186,5.271090377569198,4.967018510103226,0.06121818689571444,0.4445294489689156,0.5666155352426518,0.2154654764653658,4.914884262305069,3.9864626162328403,0.23289360404176476,1.0446875337304757,1.0,1.0
M17i_soft_hierarchical_island_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.1031005382537842,1.0777748227119446,1.105527639389038,0.9748963158511071,1.0886344909667969,1.422231674194336,0.019180937547120337,48.341194478868886,0.0007629879213634227,0.09434994935989316,0.11684773360110148,1.1125508011468972,1.1264196311255859e-06,1.1888131899524186,0.0030989007784480993,0.002301653770975583,0.0007972470074723434,0.7390961000158969,7.874015748031496,0.25,0.050000000000000044,0.41909548329083957,0.009861811931627606,0.19289399381128286,0.0006857998087627104,1.1888131899524186,7.874015748031496,0.9808190624528796,10.214398858076484,1.0403770208358765,0.030640494477527033,0.0,0.43968938291072845,0.3940049111843109,0.1159489905572443,0.5037910491228104,0.4788719415664673,0.05203710093105197,0.9016377329826355,0.5470546185970306,0.6481676643092132,1.0212354063987732,0.9505957365036011,0.07431094752748717,0.9550664722919464,4.076759338378906,0.7657290035983038,0.0010521360486106927,0.00022649828277760477,3.645227485648397,5.111951242685319,4.967018510103226,0.029179020027264094,0.12630571835637774,0.5666155352426518,0.7770874420125322,4.064485917807194,3.9864626162328403,0.019572064029057666,1.1159489905572444,1.0,1.0
M17f_broad_sparse_finetexture_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.143354892730713,1.0832329988479614,1.105527639389038,0.9798334842596992,1.1096935272216797,1.4059765338897705,0.01022098978365797,48.544028266589564,0.007473768917296231,0.08626235008239913,0.163132935087157,1.1125507843555216,1.1432110067488566e-06,1.0745536557884126,0.002422504319151808,0.0017239081307681074,0.0006985961883835041,0.6690396120945619,7.874015748031496,0.25,0.050000000000000044,0.8255237663731959,0.23391379922964628,0.30846567337002095,0.0067176809893154665,1.0745536557884126,7.874015748031496,0.9897790102163421,10.238919502081574,1.0529634952545166,0.03028455075328326,0.0,0.42604002356529236,0.3940049111843109,0.08130637835119724,0.4863775670528412,0.4788719415664673,0.015673554524455516,0.8357784152030945,0.5470546185970306,0.5277787387053257,1.0199966430664062,0.9505957365036011,0.07300780331507647,0.9592399597167969,4.076759338378906,0.7647052768883258,0.0009173027656496329,0.00022649828277760477,3.049932539887371,4.9599043238163,4.967018510103226,0.0014322850362758364,-0.08881724570989809,0.5666155352426518,1.156750459854339,3.7757121894308208,3.9864626162328403,0.05286652531089735,1.0813063783511971,1.0,1.0
M17c_topology_sparse_finetexture_terrace,1,1.1125519275665283,0.8296865787219431,0.28286534884458525,1.4833719730377197,1.0901485085487366,1.105527639389038,0.9860888771186213,1.1136586666107178,1.406404733657837,0.009280067380849901,50.879281073571704,0.014071156626921377,0.15555203437805254,0.1732753506606253,1.1125508158620139,1.1117045144448667e-06,1.361154290403409,0.005587205822858876,0.004477907900390642,0.0011092979224681257,0.8167725615616308,7.874015748031496,0.25,0.25,0.9028772254393871,0.5418805075142181,0.327441600667579,0.012647640663164261,1.361154290403409,7.874015748031496,0.9907199326191501,10.794890735197416,1.0561058521270752,0.028836723857449568,0.0,0.46449577808380127,0.3940049111843109,0.1789085996101088,0.5292047262191772,0.4788719415664673,0.1051069822300787,1.0043349266052246,0.5470546185970306,0.8358951601230042,1.020478904247284,0.9505957365036011,0.0735151285242674,0.9529368281364441,4.076759338378906,0.7662513901261161,0.0013129266417437405,0.00022649828277760477,4.796629562233296,4.901676255464554,4.967018510103226,0.013155226723186543,-0.15589456247615863,0.5666155352426518,1.2751328771975818,3.4132700169482657,3.9864626162328403,0.14378476721455744,1.1789085996101087,1.0,1.0
