target,method,mae_nm,median_absolute_error_nm,pearson_r,pearson_p,spearman_rho,spearman_p
Rq_nm,M14b_density_physics_q50_roi,1.539511865063369,1.1741430865641473,0.5574498144907387,0.005717891029090228,0.46739130434782605,0.024527943235192938
FSMI_nm,M14b_density_physics_q50_roi,1.3591966619095504,1.0332747350442242,0.4553565664666076,0.029005163777215445,0.316205533596838,0.14158261779089337
