target,growth_group_count,mae_nm,median_absolute_error_nm,rmse_nm,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,aurc_nm,risk_at_25pct_coverage_nm,risk_at_50pct_coverage_nm,risk_at_75pct_coverage_nm,interval_coverage,model,method
Rq_nm,23,1.7928999338075524,1.2968407351943934,2.548270937527068,-0.06467388587720194,0.7693882791557126,-0.1007905138339921,0.647249508462432,-0.20573699480640997,0.34630277984007785,1.4359280964358154,1.1548243355178516,1.6596036757247379,1.6143984680164598,0.8695652173913043,M14b physics,M14b_rheed_density_weighted
Rq_nm,23,1.5362516671234803,1.12751288549474,2.1220098775189906,0.5364647709211228,0.008315099968684975,0.46936758893280633,0.023848867774015573,-0.08964861566711435,0.6841664780460086,1.2702566039891323,1.0413800234413866,1.1235434932015473,1.686446005742404,0.8260869565217391,M14g mixed,M14g_multiview_curated60_r3d40
Rq_nm,23,1.2116338656066052,0.9134545637609124,1.5772605882781001,0.7569221051758703,2.9085612489776362e-05,0.5612648221343874,0.005327740743682165,-0.14957945818490906,0.49574405885610595,1.1223891088581515,1.338717231455113,1.1440341429621232,0.9856805393459693,0.8695652173913043,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
Rq_nm,23,1.2116338656066052,0.9134545637609124,1.5772605882781001,0.7569221051758703,2.9085612489776362e-05,0.5612648221343874,0.005327740743682165,-0.27148973709557545,0.2101665060704898,0.889509872407266,0.6005237123657744,0.9389557765010759,1.2278477033752735,0.8695652173913043,M15a causal R3D / TTA centrality,M15a
Rq_nm,23,1.2116338656066052,0.9134545637609124,1.5772605882781001,0.7569221051758703,2.9085612489776362e-05,0.5612648221343874,0.005327740743682165,-0.5381764434125993,0.008072028342268295,0.817128226836256,0.4961022853776096,0.7528877135436427,1.0277985898996356,0.8695652173913043,M15b causal R3D / angular TTA,M15b
FSMI_nm,23,1.624748908608733,1.0578906005151132,2.2930438170522147,-0.1296015154677214,0.5556062710232301,-0.208498023715415,0.33972534783847697,-0.2067261149737485,0.34393787671687676,1.3138722835692704,1.1303913121850935,1.4124506511815902,1.454591958779269,0.8695652173913043,M14b physics,M14b_rheed_density_weighted
FSMI_nm,23,1.3489222023246608,0.9619076183398474,1.9098821218865796,0.505471770269966,0.013876156503461178,0.3972332015810277,0.06053172241229538,-0.1500747544040644,0.49430169605230184,1.067648353225037,0.9769150883544789,0.8804785334375499,1.4677456115132577,0.8695652173913043,M14g mixed,M14g_multiview_curated60_r3d40
FSMI_nm,23,1.0364067479812034,0.7628973175619276,1.4189428191237807,0.7484420026908025,4.001510351170661e-05,0.5523715415019763,0.006273963656159264,-0.13705978561918952,0.5328813805816109,0.9270305668034513,1.1077258422637524,0.8449161132229243,0.8418192057498537,0.9130434782608695,M14d causal R3D / old confidence,M14d_r3d_causal_temporal
FSMI_nm,23,1.0364067479812034,0.762897317561928,1.4189428191237807,0.7484420026908025,4.001510351170661e-05,0.5523715415019763,0.006273963656159264,-0.39901272572678587,0.05928378422252046,0.7154000788441351,0.45262079731166777,0.7286076190621475,0.8562645863130727,0.8695652173913043,M15a causal R3D / TTA centrality,M15a
FSMI_nm,23,1.0364067479812034,0.762897317561928,1.4189428191237807,0.7484420026908025,4.001510351170661e-05,0.5523715415019763,0.006273963656159264,-0.7098369626503571,0.00014832619516453688,0.6024254647125968,0.4025069975787003,0.6660300708138256,0.7874518206821399,0.8695652173913043,M15b causal R3D / angular TTA,M15b
