target,confidence_method,confidence_vs_absolute_error_spearman,p_value,aurc_nm,risk_at_50pct_coverage_nm
Rq_nm,old_density_amplitude_risk,-0.14957945818490906,0.49574405885610595,1.1223891088581517,1.1440341429621235
Rq_nm,tta_variance_only,-0.018774703557312256,0.932240534427878,1.231234771511749,1.077278061604809
Rq_nm,m15a_tta_centrality_only,-0.27148973709557545,0.2101665060704898,0.889509872407266,0.9389557765010759
Rq_nm,rotation_period_only,-0.21568158962075948,0.32296329195379825,1.0306764357289553,1.1527735667140682
Rq_nm,m15b_angular_coverage_x_tta,-0.5381764434125993,0.008072028342268295,0.817128226836256,0.7528877135436427
Rq_nm,m15b_final_with_conflict_veto,-0.5381764434125993,0.008072028342268295,0.817128226836256,0.7528877135436427
FSMI_nm,old_density_amplitude_risk,-0.13705978561918952,0.5328813805816109,0.9270305668034513,0.8449161132229243
FSMI_nm,tta_variance_only,-0.05632411067193676,0.7985226107639528,0.9958313455069328,0.9300063432034417
FSMI_nm,m15a_tta_centrality_only,-0.39901272572678587,0.05928378422252046,0.7154000788441351,0.7286076190621475
FSMI_nm,rotation_period_only,-0.23497420887582737,0.2804741762357234,0.8404240649103746,1.0261814324067855
FSMI_nm,m15b_angular_coverage_x_tta,-0.7098369626503571,0.00014832619516453688,0.6024254647125968,0.6660300708138256
FSMI_nm,m15b_final_with_conflict_veto,-0.7098369626503571,0.00014832619516453688,0.6024254647125968,0.6660300708138256
