cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction
0,6028,M6c_island_structure_plus_spectral_prior,1.6743249225028254,2.2366250948217115,8.368555768749362,2.9622902259698,6.666666666666667,66.66666666666667,0.2918906807899475,1.126397214245515,0.08747072474816608,2.3502401828962083,2.3978952727983707,2.8029010331479984,2.8903717578961645,2.9944807084449314,2.833213344056216,2.9018139048129585,5.111987788356544,3.583132987066819,4.709530201312334,3.741481580838698,4.48863636973214,0.9051285127712899,0.8953145917001338,0.8144642878988406,0.816496580927726,1.3525097370147705,1.3104304075241089,1.3936544060707092,1.1017637252807617,1.3378766179084778,1.0615882873535156,2.770631772579213,3.6109179126442243,4.079973327789274,3.817712325956905,0.4363154172897339,0.5960701107978821,0.17813286930322647,0.2374238669872284,0.09661865234375,0.16900634765625
0,6028,M9a_edge_gain_0.50,1.8140383449205966,2.4956242831047466,6.985829725608617,2.9622902259698,6.666666666666667,66.66666666666667,0.31426459550857544,1.6226371493613656,0.024101050908939214,2.4414009612931853,2.3978952727983707,2.9144728088051037,2.8903717578961645,3.091042453358316,2.833213344056216,2.943052015725078,5.111987788356544,3.0868930519509683,4.709530201312334,3.624252036185305,4.48863636973214,0.8944444444444444,0.8953145917001338,0.7941078124047511,0.816496580927726,1.3918436765670776,1.3104304075241089,1.4160283207893372,1.1017637252807617,1.3606199622154236,1.0615882873535156,2.943052015725078,3.6109179126442243,3.540013249961295,3.817712325956905,0.46692952513694763,0.5960701107978821,0.20341820269823074,0.2374238669872284,0.096282958984375,0.16900634765625
0,6028,M9b_quantized_7_levels,1.8489152421968784,2.3415203647647203,6.875793875743362,2.9622902259698,6.666666666666667,66.66666666666667,0.40515273809432983,1.2312574797365494,0.18454873196864474,1.9356005054539454,2.3978952727983707,2.7058230259275198,2.8903717578961645,2.943052015725078,2.833213344056216,3.6283250178009534,5.111987788356544,3.4782727215757845,4.709530201312334,3.8025717268996684,4.48863636973214,0.9114402773400567,0.8953145917001338,0.7705150168230913,0.816496580927726,1.396949589252472,1.3104304075241089,1.5069164633750916,1.1017637252807617,1.515933632850647,1.0615882873535156,2.9700856263602153,3.6109179126442243,3.6697688477038373,3.817712325956905,0.4653443694114685,0.5960701107978821,0.1994270384311676,0.2374238669872284,0.123077392578125,0.16900634765625
0,6028,M10_structure_weight_0.55,1.6743249225028254,2.2366250948217115,8.368555768749362,2.9622902259698,6.666666666666667,66.66666666666667,0.2918906807899475,1.126397214245515,0.08747072474816608,2.3502401828962083,2.3978952727983707,2.8029010331479984,2.8903717578961645,2.9944807084449314,2.833213344056216,2.9018139048129585,5.111987788356544,3.583132987066819,4.709530201312334,3.741481580838698,4.48863636973214,0.9051285127712899,0.8953145917001338,0.8144642878988406,0.816496580927726,1.3525097370147705,1.3104304075241089,1.3936544060707092,1.1017637252807617,1.3378766179084778,1.0615882873535156,2.770631772579213,3.6109179126442243,4.079973327789274,3.817712325956905,0.4363154172897339,0.5960701107978821,0.17813286930322647,0.2374238669872284,0.09661865234375,0.16900634765625
0,6028,M10_structure_weight_0.65,1.7832013362794714,2.1100536480877214,7.457820362738382,2.9622902259698,6.666666666666667,66.66666666666667,0.37387531995773315,0.8435648403380904,0.28836841435776694,2.1383330595080277,2.3978952727983707,2.6020033435383976,2.8903717578961645,2.9700856263602153,2.833213344056216,3.6199662956602348,5.111987788356544,3.8659653609742435,4.709530201312334,3.7273599746820008,4.48863636973214,0.9240766073871409,0.8953145917001338,0.7846255807701503,0.816496580927726,1.437398076057434,1.3104304075241089,1.4756390452384949,1.1017637252807617,1.3627850413322449,1.0615882873535156,2.8903717578961645,3.6109179126442243,4.115022155063057,3.817712325956905,0.4504862576723099,0.5960701107978821,0.1747797429561615,0.2374238669872284,0.119964599609375,0.16900634765625
0,6028,M10_structure_weight_0.75,1.6023978334932534,2.120762764140798,6.5418095692231475,2.9622902259698,6.666666666666667,66.66666666666667,0.4259936809539795,0.33824308247701484,0.2513144282809061,2.1383330595080277,2.3978952727983707,2.6390573296152584,2.8903717578961645,2.8029010331479984,2.833213344056216,3.40105847347957,5.111987788356544,4.371287118835319,4.709530201312334,4.136285304212452,4.48863636973214,0.8870015309470001,0.8953145917001338,0.7916502259607068,0.816496580927726,1.5290934443473816,1.3104304075241089,1.5277574062347412,1.1017637252807617,1.4261712431907654,1.0615882873535156,2.770631772579213,3.6109179126442243,3.9505035259962105,3.817712325956905,0.45967356860637665,0.5960701107978821,0.17254046350717545,0.2374238669872284,0.152618408203125,0.16900634765625
0,6028,M10_structure_weight_0.85,1.8159908982192725,2.351364188107046,7.640282881298704,2.9622902259698,6.666666666666667,66.66666666666667,0.47097688913345337,0.6644056754968597,0.1500522962251689,1.9459101490553132,2.3978952727983707,2.7403194616709956,2.8903717578961645,2.7647145437557112,2.833213344056216,3.935273922253856,5.111987788356544,4.045124525815474,4.709530201312334,4.068697915028325,4.48863636973214,0.9010939132706374,0.8953145917001338,0.7884524901290781,0.816496580927726,1.5906310081481934,1.3104304075241089,1.572740614414215,1.1017637252807617,1.532524824142456,1.0615882873535156,2.8617925509761903,3.6109179126442243,4.075666668950216,3.817712325956905,0.4650551676750183,0.5960701107978821,0.17245005071163177,0.2374238669872284,0.194091796875,0.16900634765625
1,6029,M6c_island_structure_plus_spectral_prior,0.920440569555632,1.1292395265777226,5.239360870972434,2.9365055408958605,13.333333333333334,80.0,0.016526103019714355,0.8063239424894468,0.1500522962251689,2.1383330595080277,2.4849066497880004,2.7403194616709956,2.8903717578961645,3.131699131295812,3.044522437723423,3.7884329408569206,4.543294782270004,3.828405045740189,4.634728988229636,3.774804582577266,4.204692619390966,0.8683304647160068,0.8585365853658536,0.8030149369761077,0.8168899108266634,1.3242194652557373,1.3746683597564697,1.3136615753173828,1.2971354722976685,1.3127978444099426,1.1882182359695435,3.090008326826286,3.6375861597263857,3.5553480614894135,3.676300671907076,0.4580599069595337,0.5702724456787109,0.19092974811792374,0.25343936681747437,0.08819580078125,0.10955810546875
1,6029,M9a_edge_gain_0.50,0.9081127266943751,1.1631068676504794,3.973761156214486,2.9365055408958605,40.0,80.0,0.03612184524536133,0.8620341134237242,0.054067221270275745,2.470821211304652,2.4849066497880004,2.9444389791664403,2.8903717578961645,3.1967953769753157,3.044522437723423,3.622113757801675,4.543294782270004,3.7726948748059117,4.634728988229636,3.810352543419131,4.204692619390966,0.8972125510423382,0.8585365853658536,0.7958046882444452,0.8168899108266634,1.3468562364578247,1.3746683597564697,1.3332573175430298,1.2971354722976685,1.33092200756073,1.1882182359695435,3.1112881340356844,3.6375861597263857,3.488873825401086,3.676300671907076,0.4870113134384155,0.5702724456787109,0.21633380651474,0.25343936681747437,0.0869140625,0.10955810546875
1,6029,M9b_quantized_7_levels,1.0893767889618102,1.4122942152963909,5.280372922472868,2.9365055408958605,13.333333333333334,80.0,0.1517435908317566,0.5389974625661722,0.07971386846405082,2.3502401828962083,2.4849066497880004,2.9700856263602153,2.8903717578961645,2.931815587799049,3.044522437723423,3.2307340881768587,4.543294782270004,4.095731525663464,4.634728988229636,4.012267435802848,4.204692619390966,0.8842706589185463,0.8585365853658536,0.7981720737569428,0.8168899108266634,1.357758641242981,1.3746683597564697,1.448879063129425,1.2971354722976685,1.539736568927765,1.1882182359695435,2.9444389791664403,3.6375861597263857,3.197839436657247,3.676300671907076,0.5010740160942078,0.5702724456787109,0.21954364329576492,0.25343936681747437,0.11785888671875,0.10955810546875
