method,median_cross_validation_fold,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction
M10_structure_weight_0.55,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1135554313659668,1.116944670677185,1.1030480861663818,1.0174599867307237,1.11863374710083,1.4076780080795288,0.013590247976822538,38.11302398005827,0.043732787511749915,0.5327927207946779,0.1291796655837124,3.0923626530002717,3.0884291470911762e-06,0.8412036932659701,0.0020308495539633764,0.001958721322312448,5.231818655670949e-05,0.15551484336517074,31.496062992125985,0.6,0.19999999999999996,0.3366587694289985,0.2683886005786835,0.12284493617713446,0.012850384538002024,0.8412036932659701,31.496062992125985,0.9864097520231775,8.148401008362647,1.047397494316101,0.036015258136486844,0.0,0.2738380432128906,0.3343275785446167,0.22852916678403576,0.32352425158023834,0.43132510781288147,0.23831724651923736,0.32937954366207123,0.4963996857404709,0.3570386405310604,1.0045881271362305,1.0176516771316528,0.04032006462592176,0.9660038650035858,4.758741855621338,0.7877520855996648,3.688519686608693e-05,8.677488393813045e-05,0.6547147016536999,4.662801858186722,4.812647156715393,0.039345909284471875,0.06852083934718498,0.02843638546901522,1.0453524933606302,3.0645323858929534,3.432365839864702,0.1373628482000754,0.8645629184682316,1.0,0.9333333333333333
M10_structure_weight_0.65,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.876477837562561,1.1160837411880493,1.1030480861663818,1.0090436603314064,1.120781660079956,1.4096394777297974,0.012862878503490261,37.5900249877771,0.03618278739092018,0.3780277395248426,0.14080589157705958,3.092362733581442,3.0738702805344076e-06,0.8597532946386037,0.0016854917594615326,0.001630693594286111,5.8013607220407584e-05,0.14046874713716218,31.496062992125985,0.64,0.16666666666666674,0.2987533416864255,0.3123387635334596,0.12256718170429992,0.013595404033284186,0.8597532946386037,31.496062992125985,0.9871371214965098,8.10627941529057,1.045172929763794,0.03663463626394997,0.0,0.26250673830509186,0.3343275785446167,0.25044258547649295,0.32272160053253174,0.43132510781288147,0.25307057709087655,0.3087610900402069,0.4963996857404709,0.35741575974015977,1.0117546319961548,1.0176516771316528,0.05315603757485287,0.9642997086048126,4.758741855621338,0.7857437720476502,2.750728081330877e-05,8.677488393813045e-05,0.7262297259101183,4.687254858016967,4.812647156715393,0.043198665449543226,0.09607670212701634,0.02843638546901522,1.1249880904839895,3.0255554206965876,3.432365839864702,0.16456098407524064,0.8079704827839672,1.0,0.8666666666666667
M10_structure_weight_0.75,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.8610261678695679,1.1211867332458496,1.1030480861663818,1.0046088247205216,1.1243393421173096,1.4036604166030884,0.010789970896937003,36.80066002269836,0.034689478652950356,0.5486253976821907,0.17188529833015842,3.092362880350078,3.0564407031974383e-06,0.8576154851020266,0.001756374621952994,0.0016931674753252065,6.32071466278813e-05,0.27721295973766225,31.496062992125985,0.64,0.13888888888888884,0.28418554897040094,0.4052546632265237,0.12592424719461323,0.010207899873352577,0.8576154851020266,31.496062992125985,0.989210029103063,7.920197834768389,1.0308436155319214,0.03565285828106237,0.0,0.25444886088371277,0.3343275785446167,0.2541653028239922,0.32193633913993835,0.43132510781288147,0.26769965236332893,0.2988150864839554,0.4963996857404709,0.39930965732887014,1.0061815679073334,1.0176516771316528,0.0616230080593898,0.9756354093551636,4.758741855621338,0.7896972936845961,2.123683553904672e-05,8.677488393813045e-05,0.7392796318991016,4.6669967746734615,4.812647156715393,0.052701718979626576,0.09797780070768031,0.02843638546901522,1.1270827477795509,2.9938690212757435,3.432365839864702,0.16266433657582285,0.7604665380867032,1.0,0.8
M10_structure_weight_0.85,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.90574049949646,1.1190088987350464,1.1030480861663818,1.0102926840303406,1.1294604539871216,1.4185611009597778,0.011457828624316949,36.807701315636805,0.027083556180670154,0.4407807302474982,0.19716558150994,3.092362640602758,2.9819176887713184e-06,0.9813550263563853,0.0017992168255235308,0.0017313168103740076,6.790001514932431e-05,0.30316785201310514,31.496062992125985,0.75,0.1428571428571428,0.31140022922619603,0.44006989146546394,0.12995410106011795,0.010566383846598804,0.9813550263563853,31.496062992125985,0.988542171375683,7.9606184527220645,1.041677713394165,0.03403442727997095,0.0,0.24918323755264282,0.3343275785446167,0.2830897270963576,0.32386428117752075,0.43132510781288147,0.26125421296910795,0.294116273522377,0.4963996857404709,0.4333174612313919,0.9947426319122314,1.0176516771316528,0.0574894856417332,0.9601940214633942,4.758741855621338,0.7970028462740696,1.7903773642773187e-05,8.677488393813045e-05,0.7902151642309336,4.67108101606369,4.812647156715393,0.05285552069892307,0.09670224253640737,0.02843638546901522,1.1043802087637384,2.9652647640116516,3.432365839864702,0.16742013649113308,0.7169102729036424,1.0,0.8
M6c_island_structure_plus_spectral_prior,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1135554313659668,1.116944670677185,1.1030480861663818,1.0174599867307237,1.11863374710083,1.4076780080795288,0.013590247976822538,38.11302398005827,0.043732787511749915,0.5327927207946779,0.1291796655837124,3.0923626530002717,3.0884291470911762e-06,0.8412036932659701,0.0020308495539633764,0.001958721322312448,5.231818655670949e-05,0.15551484336517074,31.496062992125985,0.6,0.19999999999999996,0.3366587694289985,0.2683886005786835,0.12284493617713446,0.012850384538002024,0.8412036932659701,31.496062992125985,0.9864097520231775,8.148401008362647,1.047397494316101,0.036015258136486844,0.0,0.2738380432128906,0.3343275785446167,0.22852916678403576,0.32352425158023834,0.43132510781288147,0.23831724651923736,0.32937954366207123,0.4963996857404709,0.3570386405310604,1.0045881271362305,1.0176516771316528,0.04032006462592176,0.9660038650035858,4.758741855621338,0.7877520855996648,3.688519686608693e-05,8.677488393813045e-05,0.6547147016536999,4.662801858186722,4.812647156715393,0.039345909284471875,0.06852083934718498,0.02843638546901522,1.0453524933606302,3.0645323858929534,3.432365839864702,0.1373628482000754,0.8645629184682316,1.0,0.9333333333333333
M9a_edge_gain_0.50,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1822236776351929,1.1161386370658875,1.1030480861663818,1.0176343946736053,1.1190741062164307,1.407745361328125,0.014355275996017821,39.23309217426444,0.04405724971038616,0.5396950387954718,0.12651469920805092,3.0923628377260632,2.997769824819585e-06,0.6694142839886948,0.001709788653874389,0.0016575494906255427,2.996372509105741e-05,0.20532068746189847,23.62204724409449,0.52,0.19047619047619047,0.3355091372599391,0.2760882290085096,0.11751672731978603,0.013170066085175236,0.6694142839886948,23.62204724409449,0.9856447240039822,8.286198714075795,1.0410832166671753,0.03556047633247254,0.0,0.2906681299209595,0.3343275785446167,0.17485442369755072,0.35038742423057556,0.43132510781288147,0.18807018686981258,0.39199844002723694,0.4963996857404709,0.20129713655356413,1.0082414746284485,1.0176516771316528,0.04707402452106826,0.9664873480796814,4.758741855621338,0.7877365798776469,5.0733662577979716e-05,8.677488393813045e-05,0.4971235187927499,4.664800330400467,4.812647156715393,0.043886952884811654,0.06485361734334126,0.02843638546901522,1.031521115132518,3.0698483974565,3.432365839864702,0.14438993957338872,0.9176261828848395,1.0,1.0
M9b_quantized_7_levels,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.8001000881195068,1.1245753765106201,1.1030480861663818,1.0182612922552858,1.1232572793960571,1.4107861518859863,0.007804562046201056,39.7303458295954,0.030720747099330925,1.083067927360533,0.16967528481679506,3.092362705788657,2.9592318093740744e-06,1.1330345612082686,0.0010144526953117516,0.0012001991385740356,0.00023489632276288766,0.9802275399938725,31.496062992125985,0.64,0.16666666666666674,0.3214198685780871,0.5398497792023074,0.1288988526804107,0.008326141776460516,1.1330345612082686,31.496062992125985,0.9921954379537989,8.527965983653415,1.0432236194610596,0.033045270612294696,0.0,0.27643971145153046,0.3343275785446167,0.20393768253865246,0.34823670983314514,0.43132510781288147,0.19798197569406265,0.5220711827278137,0.4963996857404709,0.15920971328446507,1.0102620124816895,1.0176516771316528,0.030707315916280415,0.9930214583873749,4.758741855621338,0.794516198686752,0.000302048675098529,8.677488393813045e-05,2.3989934465115548,4.398525723218918,4.812647156715393,0.08732529236845754,0.08160835605703222,0.02843638546901522,1.0625324493732577,2.790398121974788,3.432365839864702,0.18700621695253258,0.8395913541025515,1.0,0.9333333333333333
