method,median_cross_validation_fold_standard,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction,median_cross_validation_fold_island,median_island_feature_mae_z,median_island_feature_rmse_z,median_afm_prior_mahalanobis,median_held_real_afm_prior_mahalanobis,median_afm_likeness_percentile,median_held_real_likeness_percentile,median_boundary_ratio_q70_absolute_error,median_median_area_q70_log_absolute_error,median_component_count_q70_log_absolute_error,median_generated__log_component_count_q55,median_true__log_component_count_q55,median_generated__log_component_count_q70,median_true__log_component_count_q70,median_generated__log_component_count_q82,median_true__log_component_count_q82,median_generated__log_median_area_q55,median_true__log_median_area_q55,median_generated__log_median_area_q70,median_true__log_median_area_q70,median_generated__log_median_area_q82,median_true__log_median_area_q82,median_generated__median_solidity_q70,median_true__median_solidity_q70,median_generated__median_eccentricity_q70,median_true__median_eccentricity_q70,median_generated__boundary_gradient_ratio_q55,median_true__boundary_gradient_ratio_q55,median_generated__boundary_gradient_ratio_q70,median_true__boundary_gradient_ratio_q70,median_generated__boundary_gradient_ratio_q82,median_true__boundary_gradient_ratio_q82,median_generated__log_valley_component_count_q18,median_true__log_valley_component_count_q18,median_generated__log_valley_median_area_q18,median_true__log_valley_median_area_q18,median_generated__gradient_p90,median_true__gradient_p90,median_generated__laplacian_rms,median_true__laplacian_rms,median_generated__flat_fraction,median_true__flat_fraction
M10_structure_weight_0.55,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1135554313659668,1.116944670677185,1.1030480861663818,1.0174599867307237,1.11863374710083,1.4076780080795288,0.013590247976822538,38.11302398005827,0.043732787511749915,0.5327927207946779,0.1291796655837124,3.0923626530002717,3.0884291470911762e-06,0.8412036932659701,0.0020308495539633764,0.001958721322312448,5.231818655670949e-05,0.15551484336517074,31.496062992125985,0.6,0.19999999999999996,0.3366587694289985,0.2683886005786835,0.12284493617713446,0.012850384538002024,0.8412036932659701,31.496062992125985,0.9864097520231775,8.148401008362647,1.047397494316101,0.036015258136486844,0.0,0.2738380432128906,0.3343275785446167,0.22852916678403576,0.32352425158023834,0.43132510781288147,0.23831724651923736,0.32937954366207123,0.4963996857404709,0.3570386405310604,1.0045881271362305,1.0176516771316528,0.04032006462592176,0.9660038650035858,4.758741855621338,0.7877520855996648,3.688519686608693e-05,8.677488393813045e-05,0.6547147016536999,4.662801858186722,4.812647156715393,0.039345909284471875,0.06852083934718498,0.02843638546901522,1.0453524933606302,3.0645323858929534,3.432365839864702,0.1373628482000754,0.8645629184682316,1.0,0.9333333333333333,7.0,1.481618326828038,2.012905478087551,7.010948594944919,3.4017907805307295,6.666666666666667,60.0,0.12671315670013428,0.8921437271946768,0.5893274981708232,2.1972245773362196,2.6390573296152584,2.770631772579213,3.093104311950247,2.908555579981602,3.044522437723423,3.3702596798031115,4.526784798013117,3.5114340430413207,4.300215394993146,3.438132305945383,3.912023005428146,0.9051285127712899,0.8888888888888888,0.7944786348465224,0.816496580927726,1.3242194652557373,1.3104304075241089,1.3260822296142578,1.2379597425460815,1.3089351654052734,1.178954839706421,2.9700856263602153,3.6375861597263857,3.5074071756377725,3.4965075614664802,0.4363154172897339,0.5948836952447891,0.1799880862236023,0.25343936681747437,0.09661865234375,0.11212158203125
M10_structure_weight_0.65,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.876477837562561,1.1160837411880493,1.1030480861663818,1.0090436603314064,1.120781660079956,1.4096394777297974,0.012862878503490261,37.5900249877771,0.03618278739092018,0.3780277395248426,0.14080589157705958,3.092362733581442,3.0738702805344076e-06,0.8597532946386037,0.0016854917594615326,0.001630693594286111,5.8013607220407584e-05,0.14046874713716218,31.496062992125985,0.64,0.16666666666666674,0.2987533416864255,0.3123387635334596,0.12256718170429992,0.013595404033284186,0.8597532946386037,31.496062992125985,0.9871371214965098,8.10627941529057,1.045172929763794,0.03663463626394997,0.0,0.26250673830509186,0.3343275785446167,0.25044258547649295,0.32272160053253174,0.43132510781288147,0.25307057709087655,0.3087610900402069,0.4963996857404709,0.35741575974015977,1.0117546319961548,1.0176516771316528,0.05315603757485287,0.9642997086048126,4.758741855621338,0.7857437720476502,2.750728081330877e-05,8.677488393813045e-05,0.7262297259101183,4.687254858016967,4.812647156715393,0.043198665449543226,0.09607670212701634,0.02843638546901522,1.1249880904839895,3.0255554206965876,3.432365839864702,0.16456098407524064,0.8079704827839672,1.0,0.8666666666666667,7.0,1.5142667220499186,1.9392427004254567,6.438357459868581,3.4017907805307295,6.666666666666667,60.0,0.16410917043685913,0.8107808264267717,0.5402968915827158,2.2499048351651325,2.6390573296152584,2.7546941683139883,3.093104311950247,2.9700856263602153,3.044522437723423,3.4900379702808815,4.526784798013117,3.698780767762026,4.300215394993146,3.7273599746820008,3.912023005428146,0.9005952380952381,0.8888888888888888,0.787736289679805,0.816496580927726,1.3993898034095764,1.3104304075241089,1.4050105810165405,1.2379597425460815,1.3627850413322449,1.178954839706421,2.8903717578961645,3.6375861597263857,3.5642479728400183,3.4965075614664802,0.4504862576723099,0.5948836952447891,0.17555638402700424,0.25343936681747437,0.119293212890625,0.11212158203125
M10_structure_weight_0.75,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.8610261678695679,1.1211867332458496,1.1030480861663818,1.0046088247205216,1.1243393421173096,1.4036604166030884,0.010789970896937003,36.80066002269836,0.034689478652950356,0.5486253976821907,0.17188529833015842,3.092362880350078,3.0564407031974383e-06,0.8576154851020266,0.001756374621952994,0.0016931674753252065,6.32071466278813e-05,0.27721295973766225,31.496062992125985,0.64,0.13888888888888884,0.28418554897040094,0.4052546632265237,0.12592424719461323,0.010207899873352577,0.8576154851020266,31.496062992125985,0.989210029103063,7.920197834768389,1.0308436155319214,0.03565285828106237,0.0,0.25444886088371277,0.3343275785446167,0.2541653028239922,0.32193633913993835,0.43132510781288147,0.26769965236332893,0.2988150864839554,0.4963996857404709,0.39930965732887014,1.0061815679073334,1.0176516771316528,0.0616230080593898,0.9756354093551636,4.758741855621338,0.7896972936845961,2.123683553904672e-05,8.677488393813045e-05,0.7392796318991016,4.6669967746734615,4.812647156715393,0.052701718979626576,0.09797780070768031,0.02843638546901522,1.1270827477795509,2.9938690212757435,3.432365839864702,0.16266433657582285,0.7604665380867032,1.0,0.8,7.0,1.8998109742574298,2.1975558691425348,6.5418095692231475,3.4017907805307295,6.666666666666667,60.0,0.26484858989715576,0.6479918699815208,0.5646919736674318,2.1383330595080277,2.6390573296152584,2.70805020110221,3.093104311950247,2.8029010331479984,3.044522437723423,3.40105847347957,4.526784798013117,3.7661779585034862,4.300215394993146,3.8492413939404733,3.912023005428146,0.907967032967033,0.8888888888888888,0.77436594995655,0.816496580927726,1.4915180802345276,1.3104304075241089,1.4724387526512146,1.2379597425460815,1.4261712431907654,1.178954839706421,2.799210979499187,3.6375861597263857,3.667816990963601,3.4965075614664802,0.45967356860637665,0.5948836952447891,0.17349059134721756,0.25343936681747437,0.15087890625,0.11212158203125
M10_structure_weight_0.85,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.90574049949646,1.1190088987350464,1.1030480861663818,1.0102926840303406,1.1294604539871216,1.4185611009597778,0.011457828624316949,36.807701315636805,0.027083556180670154,0.4407807302474982,0.19716558150994,3.092362640602758,2.9819176887713184e-06,0.9813550263563853,0.0017992168255235308,0.0017313168103740076,6.790001514932431e-05,0.30316785201310514,31.496062992125985,0.75,0.1428571428571428,0.31140022922619603,0.44006989146546394,0.12995410106011795,0.010566383846598804,0.9813550263563853,31.496062992125985,0.988542171375683,7.9606184527220645,1.041677713394165,0.03403442727997095,0.0,0.24918323755264282,0.3343275785446167,0.2830897270963576,0.32386428117752075,0.43132510781288147,0.26125421296910795,0.294116273522377,0.4963996857404709,0.4333174612313919,0.9947426319122314,1.0176516771316528,0.0574894856417332,0.9601940214633942,4.758741855621338,0.7970028462740696,1.7903773642773187e-05,8.677488393813045e-05,0.7902151642309336,4.67108101606369,4.812647156715393,0.05285552069892307,0.09670224253640737,0.02843638546901522,1.1043802087637384,2.9652647640116516,3.432365839864702,0.16742013649113308,0.7169102729036424,1.0,0.8,7.0,2.042495813522489,2.458558490995737,8.660207005390298,3.4017907805307295,6.666666666666667,60.0,0.3395957350730896,0.6253358447966004,0.4540469823349884,2.1383330595080277,2.6390573296152584,2.6590599969221085,3.093104311950247,2.772588722239781,3.044522437723423,3.589653984752017,4.526784798013117,3.8354474156810587,4.300215394993146,3.993082430166363,3.912023005428146,0.9121990369181381,0.8888888888888888,0.7776449139955653,0.816496580927726,1.559141993522644,1.3104304075241089,1.5389648079872131,1.2379597425460815,1.5383384823799133,1.178954839706421,2.736135336835737,3.6375861597263857,3.7668468549243164,3.4965075614664802,0.4643939435482025,0.5948836952447891,0.17377331852912903,0.25343936681747437,0.192596435546875,0.11212158203125
M6c_island_structure_plus_spectral_prior,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1135554313659668,1.116944670677185,1.1030480861663818,1.0174599867307237,1.11863374710083,1.4076780080795288,0.013590247976822538,38.11302398005827,0.043732787511749915,0.5327927207946779,0.1291796655837124,3.0923626530002717,3.0884291470911762e-06,0.8412036932659701,0.0020308495539633764,0.001958721322312448,5.231818655670949e-05,0.15551484336517074,31.496062992125985,0.6,0.19999999999999996,0.3366587694289985,0.2683886005786835,0.12284493617713446,0.012850384538002024,0.8412036932659701,31.496062992125985,0.9864097520231775,8.148401008362647,1.047397494316101,0.036015258136486844,0.0,0.2738380432128906,0.3343275785446167,0.22852916678403576,0.32352425158023834,0.43132510781288147,0.23831724651923736,0.32937954366207123,0.4963996857404709,0.3570386405310604,1.0045881271362305,1.0176516771316528,0.04032006462592176,0.9660038650035858,4.758741855621338,0.7877520855996648,3.688519686608693e-05,8.677488393813045e-05,0.6547147016536999,4.662801858186722,4.812647156715393,0.039345909284471875,0.06852083934718498,0.02843638546901522,1.0453524933606302,3.0645323858929534,3.432365839864702,0.1373628482000754,0.8645629184682316,1.0,0.9333333333333333,7.0,1.481618326828038,2.012905478087551,7.010948594944919,3.4017907805307295,6.666666666666667,60.0,0.12671315670013428,0.8921437271946768,0.5893274981708232,2.1972245773362196,2.6390573296152584,2.770631772579213,3.093104311950247,2.908555579981602,3.044522437723423,3.3702596798031115,4.526784798013117,3.5114340430413207,4.300215394993146,3.438132305945383,3.912023005428146,0.9051285127712899,0.8888888888888888,0.7944786348465224,0.816496580927726,1.3242194652557373,1.3104304075241089,1.3260822296142578,1.2379597425460815,1.3089351654052734,1.178954839706421,2.9700856263602153,3.6375861597263857,3.5074071756377725,3.4965075614664802,0.4363154172897339,0.5948836952447891,0.1799880862236023,0.25343936681747437,0.09661865234375,0.11212158203125
M9a_edge_gain_0.50,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1822236776351929,1.1161386370658875,1.1030480861663818,1.0176343946736053,1.1190741062164307,1.407745361328125,0.014355275996017821,39.23309217426444,0.04405724971038616,0.5396950387954718,0.12651469920805092,3.0923628377260632,2.997769824819585e-06,0.6694142839886948,0.001709788653874389,0.0016575494906255427,2.996372509105741e-05,0.20532068746189847,23.62204724409449,0.52,0.19047619047619047,0.3355091372599391,0.2760882290085096,0.11751672731978603,0.013170066085175236,0.6694142839886948,23.62204724409449,0.9856447240039822,8.286198714075795,1.0410832166671753,0.03556047633247254,0.0,0.2906681299209595,0.3343275785446167,0.17485442369755072,0.35038742423057556,0.43132510781288147,0.18807018686981258,0.39199844002723694,0.4963996857404709,0.20129713655356413,1.0082414746284485,1.0176516771316528,0.04707402452106826,0.9664873480796814,4.758741855621338,0.7877365798776469,5.0733662577979716e-05,8.677488393813045e-05,0.4971235187927499,4.664800330400467,4.812647156715393,0.043886952884811654,0.06485361734334126,0.02843638546901522,1.031521115132518,3.0698483974565,3.432365839864702,0.14438993957338872,0.9176261828848395,1.0,1.0,7.0,1.4995373798734217,1.921762476572045,6.466732873821131,3.4017907805307295,6.666666666666667,60.0,0.127374529838562,1.0413758534501456,0.5730260068698354,2.4414009612931853,2.6390573296152584,2.9144728088051037,3.093104311950247,3.0342127941220554,3.044522437723423,3.2972067298748895,4.526784798013117,3.4292825173956825,4.300215394993146,3.3423058638339636,3.912023005428146,0.8983333333333333,0.8888888888888888,0.7982081043183626,0.816496580927726,1.3531127572059631,1.3104304075241089,1.346494972705841,1.2379597425460815,1.33092200756073,1.178954839706421,3.020127355638707,3.6375861597263857,3.3576916931673404,3.4965075614664802,0.46692952513694763,0.5948836952447891,0.20540031045675278,0.25343936681747437,0.095733642578125,0.11212158203125
M9b_quantized_7_levels,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.8001000881195068,1.1245753765106201,1.1030480861663818,1.0182612922552858,1.1232572793960571,1.4107861518859863,0.007804562046201056,39.7303458295954,0.030720747099330925,1.083067927360533,0.16967528481679506,3.092362705788657,2.9592318093740744e-06,1.1330345612082686,0.0010144526953117516,0.0012001991385740356,0.00023489632276288766,0.9802275399938725,31.496062992125985,0.64,0.16666666666666674,0.3214198685780871,0.5398497792023074,0.1288988526804107,0.008326141776460516,1.1330345612082686,31.496062992125985,0.9921954379537989,8.527965983653415,1.0432236194610596,0.033045270612294696,0.0,0.27643971145153046,0.3343275785446167,0.20393768253865246,0.34823670983314514,0.43132510781288147,0.19798197569406265,0.5220711827278137,0.4963996857404709,0.15920971328446507,1.0102620124816895,1.0176516771316528,0.030707315916280415,0.9930214583873749,4.758741855621338,0.794516198686752,0.000302048675098529,8.677488393813045e-05,2.3989934465115548,4.398525723218918,4.812647156715393,0.08732529236845754,0.08160835605703222,0.02843638546901522,1.0625324493732577,2.790398121974788,3.432365839864702,0.18700621695253258,0.8395913541025515,1.0,0.9333333333333333,7.0,1.6650178917115566,2.048069373891571,6.270290778245933,3.4017907805307295,13.333333333333334,60.0,0.24046027660369873,0.6075900024998933,0.4989944366472763,2.2499048351651325,2.6390573296152584,2.7917481543908496,3.093104311950247,2.93886789088982,3.044522437723423,3.3156713993942937,4.526784798013117,3.5727951895196686,4.300215394993146,3.7331137781077404,3.912023005428146,0.8912147128354888,0.8888888888888888,0.7819335185839293,0.816496580927726,1.359292984008789,1.3104304075241089,1.448879063129425,1.2379597425460815,1.4574726223945618,1.178954839706421,2.888826161611328,3.6375861597263857,3.5926935077902082,3.4965075614664802,0.4653443694114685,0.5948836952447891,0.1994270384311676,0.25343936681747437,0.123077392578125,0.11212158203125
