growth_run_id,device,step,condition_loss,content_loss,total_loss
6022,mps,1.0,1.2269307374954224,1.1078726776031153e-13,1.2269307374954224
6022,mps,10.0,0.40474095940589905,0.00258242548443377,0.40487009286880493
6022,mps,20.0,0.13167022168636322,0.0063954247161746025,0.131989985704422
6022,mps,30.0,0.11531031876802444,0.008912520483136177,0.11575594544410706
6022,mps,40.0,0.07873834669589996,0.010135014541447163,0.07924509793519974
6022,mps,50.0,0.06119270250201225,0.010877259075641632,0.061736565083265305
6056,mps,1.0,0.8500775098800659,1.1167159048603575e-13,0.8500775098800659
6056,mps,10.0,0.8891125917434692,0.0011340102646499872,0.8891692757606506
6056,mps,20.0,0.29704421758651733,0.002752691973000765,0.2971818447113037
6056,mps,30.0,0.1818114072084427,0.004440581426024437,0.18203343451023102
6056,mps,40.0,0.15830492973327637,0.005481475964188576,0.1585790067911148
6056,mps,50.0,0.13885526359081268,0.0060421135276556015,0.13915736973285675
6080,mps,1.0,1.3149003982543945,1.1092038068203844e-13,1.3149003982543945
6080,mps,10.0,0.36533308029174805,0.0032340609468519688,0.3654947876930237
6080,mps,20.0,0.13483591377735138,0.0075050173327326775,0.13521116971969604
6080,mps,30.0,0.10656153410673141,0.009806614369153976,0.10705186426639557
6080,mps,40.0,0.07162479311227798,0.010940959677100182,0.07217184454202652
6080,mps,50.0,0.054951898753643036,0.011441251263022423,0.055523961782455444
