growth_run_id,interval_width_z,point_error_z,component_coverage,all_components_covered,true_rq_nm,predicted_rq_nm,rq_interval_lower_nm,rq_interval_upper_nm,lower_z__log_rq_nm,lower_z__unit_ra,lower_z__unit_psd_mid_fraction,lower_z__unit_psd_high_fraction,lower_z__unit_psd_slope,lower_z__log_unit_autocorr_length_nm,lower_z__log_unit_anisotropy_ratio,lower_z__unit_skewness,lower_z__unit_kurtosis,upper_z__log_rq_nm,upper_z__unit_ra,upper_z__unit_psd_mid_fraction,upper_z__unit_psd_high_fraction,upper_z__unit_psd_slope,upper_z__log_unit_autocorr_length_nm,upper_z__log_unit_anisotropy_ratio,upper_z__unit_skewness,upper_z__unit_kurtosis,relative_confidence_index
6028,4.9218348662058515,0.6278730117612414,1.0,True,6.072564601898193,2.495171253945415,0.8151868246411466,9.195019094978202,-2.699557065963745,-2.1462042331695557,-2.726288080215454,-3.704155206680298,-2.6968743801116943,-2.5265285968780518,-2.194674015045166,-1.7346184253692627,-2.705448865890503,2.149991035461426,2.305532932281494,2.251255750656128,3.1704776287078857,2.3058290481567383,2.468477487564087,2.1098556518554688,2.2950735092163086,2.1056718826293945,18.739635
6029,4.832378188769023,0.38661160447777043,1.0,True,2.561024904251098,2.575483893513422,0.8562845295238731,9.640676063285872,-2.601017951965332,-2.2868616580963135,-2.6405887603759766,-3.6411612033843994,-2.597614288330078,-2.484955310821533,-2.1681325435638428,-1.6516038179397583,-2.590928077697754,2.0251142978668213,2.1803386211395264,2.3674018383026123,3.246776580810547,2.398258686065674,2.379408121109009,2.0391204357147217,2.1298820972442627,2.062239408493042,19.972921
6047,4.936899370617336,0.48920106142759323,1.0,True,3.066597064069266,2.3676269354742043,0.8002075332223656,9.279512946938095,-2.684589385986328,-2.7805404663085938,-2.383711099624634,-3.5357744693756104,-2.5710947513580322,-3.1395633220672607,-2.6247851848602295,-2.316819667816162,-2.0774776935577393,1.9612183570861816,1.7129285335540771,2.6095829010009766,3.392115592956543,2.6336467266082764,1.9860390424728394,1.7593662738800049,1.658591628074646,2.6042492389678955,18.513363
6048,5.222366823090447,1.1951141754786174,1.0,True,2.455431633201468,2.5405578652835326,0.8606284267270812,9.53928082421425,-2.6053555011749268,-1.1977787017822266,-3.253187894821167,-4.054780960083008,-3.09578013420105,-2.3646421432495117,-3.0868523120880127,-0.7039190530776978,-3.601130962371826,2.005523443222046,3.2712361812591553,1.947465181350708,2.9883534908294678,2.08986496925354,3.216665267944336,2.8409407138824463,3.2519640922546387,1.4258604049682617,14.551572
6057,4.922617382473415,1.5631657766385212,1.0,True,5.337333679199219,2.679742506404702,0.8646165001853707,9.907412466597712,-2.5453028678894043,-3.088615655899048,-2.276275634765625,-3.4572179317474365,-2.4911482334136963,-3.526449203491211,-2.966773271560669,-2.7280001640319824,-1.624399185180664,2.2327516078948975,1.2086516618728638,2.6508595943450928,3.4084079265594482,2.94612455368042,1.59225332736969,1.593375563621521,0.984390377998352,2.9825596809387207,18.727839
6062,5.045257621341282,1.303656248582734,0.7777777777777778,False,3.0912147342364586,2.933617622488097,0.8539659029273913,9.736910308371774,-2.5598878860473633,-2.7007687091827393,-2.9920525550842285,-3.4973747730255127,-2.3838114738464355,-2.9097397327423096,-2.4172117710113525,-1.896377682685852,-2.636256694793701,2.053224563598633,2.2555785179138184,2.4538726806640625,3.3102807998657227,2.6338891983032227,2.501462697982788,2.0757968425750732,1.3993641138076782,2.73036789894104,16.937979
6063,4.9581531683603925,0.8760502437750498,1.0,True,5.865590098313159,2.4934639090493533,0.8145738265624812,9.24536155966188,-2.6889781951904297,-2.518566608428955,-2.5913705825805664,-3.6511900424957275,-2.778670310974121,-2.8734161853790283,-2.46834135055542,-2.2396340370178223,-2.1912288665771484,2.142383575439453,1.8412816524505615,2.3675765991210938,3.2452476024627686,2.557520627975464,2.177177906036377,1.9302003383636475,1.9583468437194824,2.402247190475464,18.197176
6070,5.665797816382514,1.09599308990356,0.8888888888888888,False,3.047229528427124,2.4315855051069293,0.7903821231425506,9.261652727974448,-2.7092032432556152,-3.0126852989196777,-3.9456801414489746,-3.9889395236968994,-2.9581215381622314,-3.08453106880188,-2.6705329418182373,-2.6531646251678467,-2.6867198944091797,1.9569504261016846,2.2797391414642334,3.550311803817749,3.6040661334991455,2.934445381164551,2.1994094848632812,1.9077942371368408,2.265132427215576,2.5847530364990234,11.346268
6072,5.252708699968126,2.1182819889703146,0.7777777777777778,False,1.470114827156067,2.4445933805675826,0.8682510959703332,9.58992752380772,-2.8968563079833984,-2.4638147354125977,-3.969608783721924,-3.6650185585021973,-2.51552414894104,-2.704686164855957,-2.2391812801361084,-1.9284809827804565,-2.9201505184173584,2.1197190284729004,2.1171340942382812,3.467376708984375,3.2446749210357666,2.296978235244751,2.226945161819458,1.8366124629974365,1.986415982246399,2.6752002239227295,14.045904
6078,5.013918413056268,0.872343381245931,1.0,True,2.0597975274126674,2.6551888478966092,0.8608615959101992,9.907651458507479,-2.679396390914917,-2.6474921703338623,-2.5448086261749268,-3.6146535873413086,-2.5846059322357178,-3.2503740787506104,-3.081306219100952,-2.3440380096435547,-2.2100720405578613,2.0935566425323486,1.7287256717681885,2.4424312114715576,3.2375028133392334,2.5176734924316406,2.033604860305786,1.9406440258026123,1.5609222650527954,2.613457679748535,17.384321
