review_id,sample_id,frame_idx,morphology_index,raw_spottiness,raw_streakiness,afm_Rq_median_nm,source_raw_frame_path
HR0001,6022,775,0.3679195775,26.8,46.0420058,1.649340225,reports/rheed_roughness_smoke/assets/rheed_frames/6022/frame_000775_raw.png
HR0002,6028,670,0.339456941,24.6,47.8686905,6.072564398,reports/rheed_roughness_smoke/assets/rheed_frames/6028/frame_000670_raw.png
HR0003,6028,700,0.3928272198,32,49.46075013,6.072564398,reports/rheed_roughness_smoke/assets/rheed_frames/6028/frame_000700_raw.png
HR0004,6023,1019,0,0,0,10.28980427,reports/rheed_roughness_smoke/assets/rheed_frames/6023/frame_001019_raw.png
HR0005,6023,918,0.3437901669,21.8,41.61077231,10.28980427,reports/rheed_roughness_smoke/assets/rheed_frames/6023/frame_000918_raw.png
HR0006,6028,630,0.3472165751,24.4,45.8731429,6.072564398,reports/rheed_roughness_smoke/assets/rheed_frames/6028/frame_000630_raw.png
HR0007,6022,729,0.3644881373,35.6,62.07121711,1.649340225,reports/rheed_roughness_smoke/assets/rheed_frames/6022/frame_000729_raw.png
HR0008,6023,976,0.3521551464,27.2,50.03868379,10.28980427,reports/rheed_roughness_smoke/assets/rheed_frames/6023/frame_000976_raw.png
HR0009,6022,809,0.3902798374,24.8,38.74414863,1.649340225,reports/rheed_roughness_smoke/assets/rheed_frames/6022/frame_000809_raw.png
