review_id,image_path,presentation_order
HR0001,reports/rheed_roughness_smoke/manual_review/frames/HR0001.png,1
HR0002,reports/rheed_roughness_smoke/manual_review/frames/HR0002.png,2
HR0003,reports/rheed_roughness_smoke/manual_review/frames/HR0003.png,3
HR0004,reports/rheed_roughness_smoke/manual_review/frames/HR0004.png,4
HR0005,reports/rheed_roughness_smoke/manual_review/frames/HR0005.png,5
HR0006,reports/rheed_roughness_smoke/manual_review/frames/HR0006.png,6
HR0007,reports/rheed_roughness_smoke/manual_review/frames/HR0007.png,7
HR0008,reports/rheed_roughness_smoke/manual_review/frames/HR0008.png,8
HR0009,reports/rheed_roughness_smoke/manual_review/frames/HR0009.png,9
