descriptor,count,mae,rmse,r2,mean_like
rq,11,2.9925545816477337,3.7593719117238464,-0.352191320457077,True
ra,11,2.3377519978421692,2.8335647698745667,-0.08989052593496094,True
robust_range,11,12.829017004971911,16.159696169764167,-0.3199928602759712,True
psd_slope,11,0.2790167559243117,0.3418257256358614,-1.748373385359268,True
autocorrelation_length_px,11,8.434882546874626,12.182618575584403,-0.3272993080812321,True
gradient_anisotropy,11,0.06611164691920694,0.08386491673738614,-0.2042224772545469,True
island_count,11,35.06372543952542,45.308443231359256,-0.0763487468106121,True
island_mean_area_px,11,318.2647271141225,401.04086967593037,-0.34301063007029087,False
mean_abs_gradient,11,0.42971672410514333,0.622783090152137,0.0011345115248352355,False
gradient_std,11,0.30930367720834273,0.3908987076542739,-0.02794077023366137,True
psd_low_power,11,1.0238288167886451,1.2160672365142946,-0.5332872912521236,False
psd_mid_power,11,1.2885163936926751,1.4695894873532667,-0.6310161812868755,True
psd_high_power,11,0.782160118287976,0.9806473690843018,-0.023660575663429384,True
