growth_run_id,interval_width_z,point_error_z,component_coverage,all_components_covered,true_rq_nm,predicted_rq_nm,rq_interval_lower_nm,rq_interval_upper_nm,lower_z__log_rq_nm,lower_z__unit_ra,lower_z__unit_psd_mid_fraction,lower_z__unit_psd_high_fraction,lower_z__unit_psd_slope,lower_z__log_unit_autocorr_length_nm,lower_z__log_unit_anisotropy_ratio,lower_z__unit_skewness,lower_z__unit_kurtosis,upper_z__log_rq_nm,upper_z__unit_ra,upper_z__unit_psd_mid_fraction,upper_z__unit_psd_high_fraction,upper_z__unit_psd_slope,upper_z__log_unit_autocorr_length_nm,upper_z__log_unit_anisotropy_ratio,upper_z__unit_skewness,upper_z__unit_kurtosis,relative_confidence_index
6028,4.9218348662058515,0.6278730117612414,1.0,True,6.072564601898193,2.495171253945415,0.8151868246411466,9.195019094978202,-2.699557065963745,-2.1462042331695557,-2.726288080215454,-3.704155206680298,-2.6968743801116943,-2.5265285968780518,-2.194674015045166,-1.7346184253692627,-2.705448865890503,2.149991035461426,2.305532932281494,2.251255750656128,3.1704776287078857,2.3058290481567383,2.468477487564087,2.1098556518554688,2.2950735092163086,2.1056718826293945,14.412872
6029,4.832378188769023,0.38661160447777043,1.0,True,2.561024904251098,2.575483893513422,0.8562845295238731,9.640676063285872,-2.601017951965332,-2.2868616580963135,-2.6405887603759766,-3.6411612033843994,-2.597614288330078,-2.484955310821533,-2.1681325435638428,-1.6516038179397583,-2.590928077697754,2.0251142978668213,2.1803386211395264,2.3674018383026123,3.246776580810547,2.398258686065674,2.379408121109009,2.0391204357147217,2.1298820972442627,2.062239408493042,100.0
6047,4.936899370617336,0.48920106142759323,1.0,True,3.066597064069266,2.3676269354742043,0.8002075332223656,9.279512946938095,-2.684589385986328,-2.7805404663085938,-2.383711099624634,-3.5357744693756104,-2.5710947513580322,-3.1395633220672607,-2.6247851848602295,-2.316819667816162,-2.0774776935577393,1.9612183570861816,1.7129285335540771,2.6095829010009766,3.392115592956543,2.6336467266082764,1.9860390424728394,1.7593662738800049,1.658591628074646,2.6042492389678955,0.0
