training_group_count,descriptor_mae_z_median,descriptor_mae_z_mean,descriptor_mae_z_q25,descriptor_mae_z_q75,rq_mae_nm_median,rq_mae_nm_mean,evaluation_count
5,1.191428303718567,1.2857227404912313,0.7060646414756775,1.8780856728553772,1.5806608141004395,1.9654912158636548,15
8,0.8642044067382812,1.003151633342107,0.5076723992824554,1.303456425666809,1.3361948438557953,1.7907802332917413,15
11,0.8371752500534058,0.9149435480435689,0.5502473711967468,1.1971682906150818,1.3072200834043128,1.592875588325577,15
14,0.6375419497489929,0.8246271113554636,0.4963236451148987,1.0432073175907135,1.1188602556980216,1.5713621808959026,15
