held_out_growth_group,training_group_count,repeat,descriptor_mae_z,rq_absolute_error_nm
6028,5,0,1.7895371913909912,4.003424839866405
6028,8,0,0.5146729946136475,2.9985579030293903
6028,11,0,0.5458933115005493,3.1895298578569653
6028,14,0,0.5496697425842285,3.2731644374097812
6029,5,0,0.7539628744125366,0.48308535902210936
6029,8,0,0.5006718039512634,1.4196002464976596
6029,11,0,0.4660564959049225,0.35179396539543095
6029,14,0,0.41828301548957825,0.3721340100068766
6047,5,0,0.31064721941947937,0.4653113771128803
6047,8,0,0.7943652868270874,0.3529350432969558
6047,11,0,0.24332740902900696,0.05714678419691532
6047,14,0,0.26418763399124146,0.27232672866318497
6048,5,0,0.6581664085388184,2.1672984306435588
6048,8,0,0.8642044067382812,0.5433533619306012
6048,11,0,0.604019284248352,0.3767765281146618
6048,14,0,0.4714321494102478,0.4621551928707013
6057,5,0,0.9209349751472473,1.9669350684733327
6057,8,0,0.4715792238712311,2.453994776465783
6057,11,0,0.8371752500534058,2.3102582723012186
6057,14,0,0.8777923583984375,2.422840495861383
6062,5,0,1.800362467765808,0.01787995240958562
6062,8,0,1.3971573114395142,0.27254417153016464
6062,11,0,1.3186511993408203,0.010015117299014165
6062,14,0,1.3185287714004517,0.018277815942983278
6063,5,0,1.340538740158081,3.0880417734864305
6063,8,0,0.9916375279426575,3.4336390445272005
6063,11,0,1.0756853818893433,3.2360922027173102
6063,14,0,0.8531438112258911,3.0636798451350313
6070,5,0,0.7736662030220032,1.6271244598969448
6070,8,0,1.5678331851959229,0.7422355383373493
6070,11,0,1.503136157989502,0.25709960840547597
6070,14,0,0.948729932308197,0.21482795719871772
6072,5,0,2.809110403060913,3.1929832007786407
6072,8,0,2.770087718963623,2.2322729338464073
6072,11,0,2.1266238689422607,1.3168475303199192
6072,14,0,2.1778507232666016,1.4447529966210855
6078,5,0,0.4575463831424713,1.426434814733887
6078,8,0,0.5968303084373474,0.8785119128337002
6078,11,0,0.5546014308929443,1.2468940940969762
6078,14,0,0.6375419497489929,0.9416590849339435
6082,5,0,0.4310370683670044,0.8649146984927198
6082,8,0,0.3511005938053131,1.1328950867164096
6082,11,0,0.9761740565299988,1.461376112202808
6082,14,0,0.5758192539215088,1.1188602556980216
6084,5,0,1.9558088779449463,1.0950038819045544
6084,8,0,0.8680510520935059,1.982796292306301
6084,11,0,0.770592451095581,1.3072200834043128
6084,14,0,0.5212151408195496,1.1512708511463643
6085,5,0,1.191428303718567,0.24915013725499735
6085,8,0,0.3652525246143341,0.17301943450761081
6085,11,0,0.3711785674095154,0.15494026293421959
6085,14,0,0.33445703983306885,0.06511166591124562
6090,5,0,1.96078622341156,1.5806608141004395
6090,8,0,1.7840750217437744,1.3361948438557953
6090,11,0,1.327030062675476,1.854132461981791
6090,14,0,1.28307044506073,1.8061979795480996
6095,5,0,2.132307767868042,7.254119429778339
6095,8,0,1.209755539894104,6.909152909694792
6095,11,0,1.0040082931518555,6.763010943656634
6095,14,0,1.13768470287323,6.943173396491119
