target,confidence_method,confidence_vs_absolute_error_spearman,p_value,aurc_nm,risk_at_50pct_coverage_nm
Rq_nm,old_density_amplitude_risk,-0.07446443748744318,0.7064800443589373,1.0565431878661584,1.1844752258532891
Rq_nm,tta_variance_only,-0.31253420908593316,0.10539680055946196,1.1865370179547676,1.0407148472835865
Rq_nm,m15a_tta_centrality_only,-0.12314895250900705,0.5324195504809042,1.1635657353369078,1.18715828271311
Rq_nm,rotation_period_only,-0.02109590307879717,0.9151450240224215,1.0714868538920064,1.4295624754411185
Rq_nm,m15b_angular_coverage_x_tta,-0.2829775588396278,0.1445308066327623,0.9623500355596036,1.0080655130175964
Rq_nm,m15b_final_with_conflict_veto,-0.5288079972882207,0.003814422577998119,0.9489503350610639,0.8494306820752023
FSMI_nm,old_density_amplitude_risk,0.02639931572210525,0.8939196507668141,0.9731731034643036,1.0671356557377296
FSMI_nm,tta_variance_only,-0.2829775588396278,0.1445308066327623,1.0694531787208352,0.9301525176856869
FSMI_nm,m15a_tta_centrality_only,-0.07484590362734253,0.7050426345114971,0.9974323945625795,1.0551547136638342
FSMI_nm,rotation_period_only,-0.04246577892485144,0.8301108799502801,0.9415660027382862,1.25605854808979
FSMI_nm,m15b_angular_coverage_x_tta,-0.2822724399568059,0.14557712940089224,0.8268416372097616,0.7464007154693375
FSMI_nm,m15b_final_with_conflict_veto,-0.362392230025675,0.0580703886253916,0.8994181291536499,0.7903585652579291
