sample_id,scan_count,median_rq_nm
6022,3,1.6494020223617554
6028,3,5.783085823059082
6029,3,2.434478998184204
6033,4,2.2941808700561523
6047,6,3.3492701053619385
6048,2,1.9803074598312378
6056,19,2.825535535812378
6057,7,4.551929473876953
6062,6,3.093057870864868
6063,6,5.810209274291992
6070,5,2.8089470863342285
6072,7,1.4702255725860596
6078,4,1.7082476019859314
6080,2,4.106542229652405
6081,3,1.5293935537338257
6082,3,1.8638947010040283
6084,4,1.5506356358528137
6085,4,2.74203884601593
6090,3,2.861668348312378
6094,10,4.0928850173950195
6095,5,9.791423797607422
6099,5,10.296222686767578
6101,2,1.0115480422973633
