variant,embedding_source,selected_model_name,learned_latent_mse,learned_latent_cosine_similarity,nearest_neighbor_latent_distance,nearest_neighbor_cosine_similarity,retrieved_latent_mse,topk_retrieval_hit_rate,beats_mean_latent,metrics_path,nearest_latent_grid_path,generated_afm_grid_path
raw,removelist-filtered raw video + 8 frames + mean/std,ridge,0.39602557,0.70274627,1.74823260,0.67675805,0.41545588,0.37500000,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/raw_baseline_rheed_to_afm_latent/metrics.json,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/raw_baseline_rheed_to_afm_latent/nearest_latent_grid.png,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/raw_baseline_rheed_to_afm_latent/generated_afm_grid.png
processed,removelist-filtered ROI shadow-right v2 raw-crop videos 256 + 64 frames + temporal stats,knn,0.75401425,0.45521289,1.88211405,0.45646149,0.69973874,0.25000000,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/rheed_to_afm_latent/metrics.json,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/rheed_to_afm_latent/nearest_latent_grid.png,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/rheed_to_afm_latent/generated_afm_grid.png
