variant,embedding_source,selected_model_name,train_rows,test_rows,learned_latent_mse,learned_latent_cosine_similarity,nearest_neighbor_latent_distance,nearest_neighbor_cosine_similarity,retrieved_latent_mse,topk_retrieval_hit_rate,mean_latent_mse,mean_latent_cosine_similarity,random_latent_mse,beats_mean_latent,metrics_path
raw_filtered,removelist-filtered raw video + 8 frames + mean/std,ridge,24,8,0.39602557,0.70274627,1.74823260,0.67675805,0.41545588,0.37500000,0.36481357,0.77599001,1.02395487,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/raw_baseline_rheed_to_afm_latent/metrics.json
crop256_filtered,removelist-filtered ROI shadow-right v2 raw-crop videos 256 + 64 frames + temporal stats,knn,24,8,0.75401425,0.45521289,1.88211405,0.45646149,0.69973874,0.25000000,0.36481357,0.77599001,1.02395487,no,/home/wangziyi/MorphMBE/MorphMBE/reports/one_to_one_plane_corrected_rerun_processed_crop_videos_256/1um/rheed_to_afm_latent/metrics.json
