epoch,train_loss,val_mse
1,2.1523365676403046,1.0565484762191772
2,1.9401645958423615,1.046642541885376
3,1.9552626311779022,1.047328233718872
4,2.0935972034931183,1.0406744480133057
5,1.858661264181137,1.034764051437378
