descriptor,unit,count,missing,mean,std,min,max,near_constant,high_noise_proxy,test_mean,test_std,train_mean,train_std,val_mean,val_std
rq,raw_descriptor_units,36,0,4.4866806169527775,2.994242445965062,0.7078356743,12.21884155,False,False,6.0425873005,3.3948439114685685,3.9306732558519997,2.7018052422393133,5.3996294022,2.9897466689956
ra,raw_descriptor_units,36,0,3.546007524,2.4377646783887132,0.5443351865,9.592104912,False,False,4.742159088666667,2.7486687083244514,3.10435380464,2.162795796858372,4.318894243200001,2.653901584634578
robust_range,raw_descriptor_units,36,0,20.732248856388892,13.227732093703828,3.240720987,57.45241547,False,False,27.61158196083333,15.727176651910739,18.2413524918,12.025364514543712,24.931530954,11.597324269685597
mean_abs_gradient,raw_descriptor_units,36,0,0.7285978636733333,0.604900824942496,0.08132988214,2.560856104,False,False,0.7510358244333334,0.3240730701962004,0.7025812428976,0.5948414269237153,0.8317554146400001,0.8512793069240355
gradient_std,raw_descriptor_units,36,0,0.5911071820997221,0.43349876107376445,0.06144146249,1.662748933,False,False,0.6397888759666667,0.2123326521838959,0.5679264835955999,0.4510461100471965,0.64859264198,0.5223812038919424
gradient_anisotropy,raw_descriptor_units,36,0,0.17528303411688892,0.11790802974969587,0.007778610568,0.5905435681,False,False,0.14854677022666665,0.056355472908307544,0.18748824579872,0.13023803224195987,0.14634049237600003,0.0950548925471055
psd_low_power,raw_descriptor_units,36,0,13.738010274666667,1.2130508355065086,9.823076248,15.83734322,False,False,14.293879351666666,1.094542636059162,13.44763607072,1.191063464274655,14.522838402,0.8097073523038502
psd_mid_power,raw_descriptor_units,36,0,9.129173252444444,1.1831809392140218,6.502383232,11.37425232,False,False,9.570615926666667,1.3168632821933093,8.844555015640001,1.0808069312731627,10.0225332274,0.848972828294235
psd_high_power,raw_descriptor_units,36,0,6.145917097666667,1.0983080899423214,4.050396919,8.748737335,False,False,6.264688491833333,1.0686976447199468,6.02599416728,1.129877479263592,6.603006076599999,0.7961166520510106
psd_slope,raw_descriptor_units,36,0,-3.6294718715277785,0.3931844104199593,-4.192862511,-2.649980545,False,False,-3.806631008666667,0.15936903745164543,-3.5668580818,0.437125166846405,-3.7299498556,0.24463385759200784
autocorrelation_length_px,raw_descriptor_units,36,0,16.333333333333332,12.965766892517815,4.0,62.0,False,False,16.166666666666668,6.86577664134866,15.6,13.824615727028364,20.2,13.43726162579266
island_count,raw_descriptor_units,36,0,134.27777777777777,164.88828054694608,4.0,949.0,False,True,81.83333333333333,34.80142078836565,149.44,193.8023900781412,121.4,43.458485937731425
island_mean_area_px,raw_descriptor_units,36,0,463.4456791525,672.3787801508436,42.92063522,4096.0,False,True,509.5531756166667,347.6914562253335,436.64636932760004,771.9916159347626,542.11323252,343.24632331392166
