descriptor,best_model,best_feature_set,mse,mean_baseline_mse,r2_vs_train_mean,paired_improvement_over_mean_mse,improvement_ci_low,improvement_ci_high,folds_beating_mean,fold_count,trust_label
autocorrelation_length_px,stable_features_mlp,stable36,297.8913758146593,117.5781818181818,-1.533559978630275,-180.31319399647748,-378.36390339144964,92.73648578974955,0,1,NOT_SUPPORTED
gradient_anisotropy,stable_features_mlp,stable36,0.09128033348743135,0.007436101647552779,-11.275293939462447,-0.08384423183987857,-0.2224713186450006,-0.005330916749586441,0,1,NOT_SUPPORTED
gradient_std,stable_features_mlp,stable36,1.1327774766749086,0.15440380983317306,-6.336460660516264,-0.9783736668417355,-2.2818556042685882,-0.07261362151673098,0,1,NOT_SUPPORTED
island_count,stable_features_mlp,stable36,406910.2684531154,4369.564509090908,-92.12375812430183,-402540.7039440245,-1095713.4956851804,-18693.108432820725,0,1,NOT_SUPPORTED
island_mean_area_px,stable_features_mlp,stable36,1133440.9680879945,127448.63593754866,-7.893315803265198,-1005992.3321504458,-1455823.5785321281,-477799.70822121913,0,1,NOT_SUPPORTED
mean_abs_gradient,stable_features_mlp,stable36,2.5715981488393154,0.39554903027283395,-5.5013385244947495,-2.1760491185664814,-5.136925440247893,-0.18497536477005663,0,1,NOT_SUPPORTED
psd_high_power,stable_features_mlp,stable36,6.642661973772024,1.0934781958430642,-5.074800575836427,-5.54918377792896,-8.837147060860934,-0.82752000639567,0,1,NOT_SUPPORTED
psd_low_power,stable_features_mlp,stable36,4.4929648678480865,1.8675761712742358,-1.4057732889055679,-2.6253886965738507,-4.575944773245723,-0.15091483823702256,0,1,NOT_SUPPORTED
psd_mid_power,ridge,stable36,5.146847243222681,2.1917907050795304,-1.3482384660609847,-2.955056538143151,-6.335589660411415,0.6053876535482849,0,1,NOT_SUPPORTED
psd_slope,stable_features_mlp,stable36,0.4860788910007427,0.08450550310424698,-4.752038306914877,-0.4015733878964957,-0.611751378200242,0.02649909989343932,0,1,NOT_SUPPORTED
ra,stable_features_mlp,stable36,10.560903498591484,9.456093217105751,-0.11683580693633266,-1.104810281485733,-7.192710751271044,4.446393011823257,0,1,NOT_SUPPORTED
robust_range,stable_features_mlp,stable36,314.6324988083619,264.28670952891804,-0.19049686368710517,-50.34578927944386,-243.36260099904632,125.1399750490604,0,1,NOT_SUPPORTED
rq,stable_features_mlp,stable36,15.777426900669973,13.76299665587449,-0.1463656713115351,-2.0144302447954825,-11.708509537087785,6.785169714652629,0,1,NOT_SUPPORTED
