descriptor,model,feature_set,row_count,mse,rmse,mae,normalized_mae,r2_vs_train_mean,pearson,spearman,mean_baseline_mse,paired_improvement_over_mean_mse,fold_count,folds_beating_mean,beats_mean_fold_rate,improvement_ci_low,improvement_ci_high,negative_control,trust_label
autocorrelation_length_px,mean,stable36,11,117.5781818181818,10.843347353017046,7.672727272727273,0.5550047411246595,0.0,nan,nan,117.5781818181818,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
autocorrelation_length_px,mean,brightness_only_diagnostic,11,117.5781818181818,10.843347353017046,7.672727272727273,0.5550047411246595,0.0,nan,nan,117.5781818181818,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
autocorrelation_length_px,stable_features_mlp,stable36,11,297.8913758146593,17.25952999981921,12.81175293432799,0.9267348320778177,-1.533559978630275,0.1644664561545394,0.054795091797266784,117.5781818181818,-180.31319399647748,1,0,0.0,-378.36390339144964,92.73648578974955,0,NOT_SUPPORTED
autocorrelation_length_px,ridge,stable36,11,679.108842193526,26.059716847915404,20.94174126324947,1.5148154333365293,-4.775806630890693,-0.07852082403219664,-0.21918036718906714,117.5781818181818,-561.5306603753443,1,0,0.0,-1020.9140213683158,-68.2204965661046,0,NOT_SUPPORTED
autocorrelation_length_px,ridge,brightness_only_diagnostic,11,1277.8890092412084,35.747573473471014,23.36880665799322,1.690376580399635,-9.868419544174317,-0.16020595577902796,-0.2511441707374727,117.5781818181818,-1160.3108274230267,1,0,0.0,-3084.8502114331122,33.465781544005516,1,NOT_SUPPORTED
gradient_anisotropy,mean,stable36,11,0.007436101647552779,0.08623283392973223,0.06945936154100364,0.5333262515204475,0.0,nan,nan,0.007436101647552779,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
gradient_anisotropy,mean,brightness_only_diagnostic,11,0.007436101647552779,0.08623283392973223,0.06945936154100364,0.5333262515204475,0.0,nan,nan,0.007436101647552779,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
gradient_anisotropy,ridge,brightness_only_diagnostic,11,0.047832128814797925,0.21870557563719753,0.15583971163283528,1.1965760611563285,-5.432419980506785,-0.03645191259573751,-0.28181818181818186,0.007436101647552779,-0.04039602716724515,1,0,0.0,-0.07557791498874143,-0.0005173554028608164,1,NOT_SUPPORTED
gradient_anisotropy,stable_features_mlp,stable36,11,0.09128033348743135,0.30212635351361083,0.20026821240360546,1.5377091388446467,-11.275293939462447,0.14493369908823076,0.21818181818181823,0.007436101647552779,-0.08384423183987857,1,0,0.0,-0.2224713186450006,-0.005330916749586441,0,NOT_SUPPORTED
gradient_anisotropy,ridge,stable36,11,0.4548775387668901,0.6744460977475443,0.302128533469575,2.319818015280453,-60.171506298140805,0.04311007976263659,0.10000000000000002,0.007436101647552779,-0.4474414371193373,1,0,0.0,-1.3188822339136677,-0.008332008795057107,0,NOT_SUPPORTED
gradient_std,mean,stable36,11,0.15440380983317306,0.39294250194293445,0.27176757002767277,0.6025272449400696,0.0,nan,nan,0.15440380983317306,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
gradient_std,mean,brightness_only_diagnostic,11,0.15440380983317306,0.39294250194293445,0.27176757002767277,0.6025272449400696,0.0,nan,nan,0.15440380983317306,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
gradient_std,ridge,brightness_only_diagnostic,11,0.31310864682472456,0.5595611198293933,0.4471832042132575,0.9914356742073781,-1.0278557061708873,-0.003854635601585687,-0.19090909090909092,0.15440380983317306,-0.1587048369915515,1,0,0.0,-0.2473422198201148,-0.058813714603926356,1,NOT_SUPPORTED
gradient_std,stable_features_mlp,stable36,11,1.1327774766749086,1.0643201946195087,0.6912462155948563,1.532540022399319,-6.336460660516264,-0.20344770156989364,-0.02727272727272728,0.15440380983317306,-0.9783736668417355,1,0,0.0,-2.2818556042685882,-0.07261362151673098,0,NOT_SUPPORTED
gradient_std,ridge,stable36,11,2.5241255823325566,1.5887496915287054,1.003075636254828,2.223887123535703,-15.347560238699874,-0.13890124913699808,-0.09090909090909091,0.15440380983317306,-2.3697217724993833,1,0,0.0,-6.01485142157095,-0.22178239687779588,0,NOT_SUPPORTED
island_count,mean,stable36,11,4369.564509090908,66.10268155748984,57.36000000000001,0.2959715820680665,0.0,nan,nan,4369.564509090908,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
island_count,mean,brightness_only_diagnostic,11,4369.564509090908,66.10268155748984,57.36000000000001,0.2959715820680665,0.0,nan,nan,4369.564509090908,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
island_count,ridge,brightness_only_diagnostic,11,90455.12506820931,300.7575852214027,174.72643222349024,0.9015700588266248,-19.701176256813877,-0.20383881675005894,0.1272727272727273,4369.564509090908,-86085.5605591184,1,0,0.0,-235725.721689386,-4723.470367356975,1,NOT_SUPPORTED
island_count,stable_features_mlp,stable36,11,406910.2684531154,637.8951861027919,333.89495943256077,1.7228629600384917,-92.12375812430183,0.18464073006260157,-0.05454545454545456,4369.564509090908,-402540.7039440245,1,0,0.0,-1095713.4956851804,-18693.108432820725,0,NOT_SUPPORTED
island_count,ridge,stable36,11,1630250.7754632875,1276.8127409543215,490.03235399548544,2.5285155348079256,-372.0922777479403,0.2972756871617195,0.30000000000000004,4369.564509090908,-1625881.2109541965,1,0,0.0,-4828709.684788897,-10066.138959074657,0,NOT_SUPPORTED
island_mean_area_px,mean,stable36,11,127448.63593754866,356.99949010824747,303.75120137930907,0.39346437851078636,0.0,nan,nan,127448.63593754866,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
island_mean_area_px,mean,brightness_only_diagnostic,11,127448.63593754866,356.99949010824747,303.75120137930907,0.39346437851078636,0.0,nan,nan,127448.63593754866,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
island_mean_area_px,stable_features_mlp,stable36,11,1133440.9680879945,1064.6318462679926,857.2187114041297,1.1103989910125776,-7.893315803265198,0.2074097102327331,0.14545454545454548,127448.63593754866,-1005992.3321504458,1,0,0.0,-1455823.5785321281,-477799.70822121913,0,NOT_SUPPORTED
island_mean_area_px,ridge,brightness_only_diagnostic,11,2412206.8589388933,1553.12808838772,891.9245238466359,1.15535519484451,-17.92689428328525,-0.597759578356427,-0.14545454545454548,127448.63593754866,-2284758.2230013446,1,0,0.0,-5338596.110455695,-6864.916810168882,1,NOT_SUPPORTED
island_mean_area_px,ridge,stable36,11,4852418.466273908,2202.820570603495,1457.9873215192831,1.888605123973899,-37.07352217289834,0.47102870787208323,0.009090909090909092,127448.63593754866,-4724969.830336359,1,0,0.0,-11938350.353730485,-765597.299876406,0,NOT_SUPPORTED
mean_abs_gradient,mean,stable36,11,0.39554903027283395,0.6289268878596573,0.42080516740843643,0.7074241106317601,0.0,nan,nan,0.39554903027283395,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
mean_abs_gradient,mean,brightness_only_diagnostic,11,0.39554903027283395,0.6289268878596573,0.42080516740843643,0.7074241106317601,0.0,nan,nan,0.39554903027283395,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
mean_abs_gradient,ridge,brightness_only_diagnostic,11,0.9704885751304574,0.9851337853969162,0.7264642219427461,1.2212737530735407,-1.4535228274003176,-0.1032148700684914,0.018181818181818184,0.39554903027283395,-0.5749395448576234,1,0,0.0,-0.9620180911792964,-0.14546959387501696,1,NOT_SUPPORTED
mean_abs_gradient,stable_features_mlp,stable36,11,2.5715981488393154,1.6036203256504686,1.0556018517104564,1.7745937050309555,-5.5013385244947495,-0.2554622110845464,-0.14545454545454548,0.39554903027283395,-2.1760491185664814,1,0,0.0,-5.136925440247893,-0.18497536477005663,0,NOT_SUPPORTED
mean_abs_gradient,ridge,stable36,11,4.4163187457609085,2.101503924755057,1.368112322472838,2.299961402399584,-10.165034945768184,-0.19571693117479466,-0.20909090909090913,0.39554903027283395,-4.020769715488075,1,0,0.0,-10.197101185217209,-0.4832234157286475,0,NOT_SUPPORTED
psd_high_power,mean,stable36,11,1.0934781958430642,1.0456950778516,0.7684338240145454,0.6801036732897616,0.0,nan,nan,1.0934781958430642,0.0,1,0,0.0,0.0,0.0,0,NOT_SUPPORTED
psd_high_power,mean,brightness_only_diagnostic,11,1.0934781958430642,1.0456950778516,0.7684338240145454,0.6801036732897616,0.0,nan,nan,1.0934781958430642,0.0,1,0,0.0,0.0,0.0,1,NOT_SUPPORTED
psd_high_power,stable_features_mlp,stable36,11,6.642661973772024,2.5773362166725597,1.8844689603725462,1.667852483970887,-5.074800575836427,-0.25417848235018925,0.02727272727272728,1.0934781958430642,-5.54918377792896,1,0,0.0,-8.837147060860934,-0.82752000639567,0,NOT_SUPPORTED
