relative_path,bytes,sha256,file_type,width_px,height_px,mode
04_afm_candidate_bank/rank5_6056_N56_Ctr_000_candidate_heightbar_Rq.png,249724,ee549124769488538f919099612f9049a79cb220d2632b4555f24bd4ecde0b50,png,1757,1898,RGBA
05_reference_only/reference_Figure1_three_sample_prediction_atlas.png,3892930,ff13f7aadce4b7ea6504d268f77e5f724f0564774d8640cdb4648f2da661fa67,png,10139,5075,RGBA
05_reference_only/reference_Figure3_held_one_out_AFMs.png,11349880,746692d2927c68451952897f3feb7d320e1bc04db84aa80cb4de2dee1ee9c814,png,5492,6142,RGBA
ALGORITHM_SPECIFICATION.md,6183,ccd90cea71750279cee4eca7d63affd4be47c947f974b4c6037957c1be14a7d0,md,,,
ASSET_INDEX.md,5685,2f1bf3dbad9462e710274002501e655d02de14ceb608c5f99d3ccb94d3af19c2,md,,,
FILES_TO_ATTACH.txt,611,aa2bbf2ff015d12fa3ceae04baa0e5e16f0419d067ab01bbcd2193df77bce8d8,txt,,,
MODEL_PARAMETER_AUDIT.json,4051,a6530dec81cefe3d5e07a3ee86d4d9b2f6454701bdeff84d244667710e385104,json,,,
PROMPT_01_MAIN_FRAMEWORK_EN.md,9733,9cc433d82c3677b359b32b1b85b8edefc2b7a95eb5d1487d61120e66564f5791,md,,,
PROMPT_02_DETAILED_ARCHITECTURE_EN.md,2872,7471dd3c377dc0a156785097055b505a735a97e23d4c50e5b715f380f4281ee4,md,,,
PROMPT_03_VALIDATION_DESIGN_EN.md,2295,32c32bc95915bdc75aa8955408458d191b79a3db07cc4eae30da1a71bcd52369,md,,,
README_中文.md,1978,d868f2fd71a2f3b09ba27d7d6288f0b026d3e12204bac2c9123a46a49dff0799,md,,,
support/build_visual_assets.py,4969,d1411e8e3b74f9088dd4d4892c40f6f931ab6518f1a5a4102b24d563abe420ff,py,,,
support/validate_package.py,7349,1f65afa1c205b0fe99c992c994cc7b1517cf9ec5720dfd990207874b4ac3273c,py,,,
