sample_id,frame_index,feature_row,raw_mean,raw_std,raw_dynamic_range,raw_shadow_fraction,raw_saturation_fraction,normalized_gradient_mean,normalized_laplacian_variance,fine_dog_std,medium_dog_std,medium_dog_noise,medium_dog_snr,low_frequency_std,high_to_low_frequency_ratio,haze_dominance,spot_peak_count,spot_peak_top1,spot_peak_top4_mean,spot_peak_top8_mass,spot_peak_snr_top4,spot_component_count,spot_component_area_median,spot_component_compactness,spot_energy_concentration,spot_vertical_span,spot_horizontal_spread,spot_verticality,spot_column_alignment,visibility_proxy
6022,7,0,0.41078829765319824,0.15260715782642365,0.539229353889823,0.004720052083333333,0.0,0.010527799883354982,0.00020750510221500946,0.008566008043969845,0.01651910968195728,0.0074917018929181855,6.757608724262847,0.2461136012604405,0.06711985683585424,14.898720693722007,9.0,0.06258142187135263,0.05062599007116042,0.35176325094473404,6.757608724262847,8.0,9.0,1.640427897605697,0.17081194728857058,0.4114583333333333,0.015184770559492968,0.9965865938258817,27.096776452516398,0.5269557870861994
6022,43,1,0.4858833849430084,0.08996177464723587,0.3846476301550865,0.0,0.0,0.010326701957674614,0.00021121366874825255,0.007846458461813957,0.01909879500782086,0.00793178968564657,7.073851232338397,0.19282837917533965,0.09904556108130871,10.09636362379812,12.0,0.06255753100316785,0.05610830024245998,0.4191042906762368,7.073851232338397,9.0,19.0,1.2760987441597629,0.20388420970801643,0.7291666666666666,0.01652158533912698,0.9996143119872705,44.13418274938964,0.7156603493350702
6022,45,2,0.4798242151737213,0.08375448733568192,0.3510609269142151,0.0,0.0,0.011029003839114352,0.00026540372846822123,0.00856302568902324,0.01975289535021705,0.009346611255219482,7.046227390219046,0.19937273460327906,0.09907520900248602,10.093342321134116,17.0,0.0736796565601312,0.06585834823225714,0.46992978079559755,7.046227390219046,12.0,12.5,1.4913417682420094,0.20068286916245007,0.7395833333333334,0.04262268731866523,0.9978993047243072,17.35187009218578,0.7424466693779752
6022,63,3,0.4405818283557892,0.09490811079740524,0.3952994078397749,0.0,0.0,0.009152730277105949,0.00020556901603103824,0.006603825047104637,0.01316226681060577,0.008258219640996867,9.568158280596215,0.21512972890518292,0.06118292844782488,16.34442850921679,27.0,0.1998455226945215,0.07901595264098647,0.4555444976315272,9.568158280596215,20.0,11.0,1.4859568372629297,0.2071082981464068,0.859375,0.28703937051022826,0.8909327600228008,2.993927273713058,0.6921640406480899
6022,85,4,0.17719006538391113,0.08874649554491043,0.2666666805744171,0.13260904947916666,0.0,0.011655599463065052,0.000382018766491263,0.008248943247147821,0.014594692936631943,0.010585192143683081,5.046022222019783,0.3059954397481139,0.04769578575630359,20.96621292936426,18.0,0.0631033082192684,0.053413114781374046,0.38539747642794514,5.046022222019783,14.0,10.0,1.321159552385446,0.15045538836878863,0.8541666666666666,0.181124841212527,0.9790692186335199,4.715900154548158,0.46159912611579523
6022,86,5,0.18482331931591034,0.09121675044298172,0.2823529541492462,0.13020833333333334,0.0,0.010782995874297353,0.00032841395518882176,0.007531380329383186,0.013893333692562316,0.008805151661975874,6.0217699256056845,0.29548984175746296,0.047017973984926076,21.26846214855194,24.0,0.07041216805232242,0.05302259746848323,0.35880129202335476,6.0217699256056845,21.0,9.0,1.7014649922130174,0.15384193872575988,0.890625,0.1932661900177914,0.9960792708988198,4.608281458427944,0.48015646056594674
6022,106,6,0.22307758033275604,0.0924191027879715,0.32156863808631897,0.0849609375,0.0,0.01099369380459063,0.00024908018469004775,0.006104608835294583,0.012003147444140345,0.009432359908374256,3.5629457242648037,0.2555213437386891,0.046975126494385754,21.287861781905267,8.0,0.036589740435908125,0.03360698640526881,0.2533871727477782,3.5629457242648037,5.0,6.0,2.3173247538676778,0.07706487790221832,0.75,0.15580992714983696,0.971759285188436,4.813557221413442,0.28069516119361426
6022,114,7,0.23744569718837738,0.07827769964933395,0.3215686376206577,0.03857421875,0.0,0.011407626461819427,0.0002803990417929574,0.006885591368393533,0.015062966190040971,0.008823814237687994,7.3352897222082065,0.20802417952020882,0.07240968922354364,13.810306475874988,22.0,0.10365009249299073,0.06472523388838718,0.4157185391132372,7.3352897222082065,17.0,12.0,1.336700452231088,0.1654796539211879,0.8333333333333334,0.24931809927124265,0.9999820757229254,3.342450210270207,0.6485599111307829
6022,129,8,0.12356140464544296,0.051179852336645126,0.18431372940540314,0.10355631510416667,0.0,0.013206955126876302,0.000687043517276052,0.009719502264779323,0.01707012472244635,0.013477971454890714,4.655875888110455,0.24184114487386454,0.07058403867278043,14.167508955330344,34.0,0.07071305609049244,0.06275176231746667,0.4668884216823505,4.655875888110455,22.0,8.0,1.7611588142192276,0.13592504299463512,0.890625,0.23593825638212587,0.9925280238628514,3.774822335541646,0.5857181417335604
6022,137,9,0.1157132163643837,0.04525521397590637,0.1764705926179886,0.08919270833333333,0.0,0.013285150712073776,0.0006790708899204982,0.009977431491381793,0.017212181762974763,0.013874241813543992,4.440379979356183,0.21875089148328486,0.07868393882312465,12.709073985834923,26.0,0.06547565938069982,0.06160690557760716,0.4551467078458396,4.440379979356183,19.0,8.0,1.6404040199635546,0.12817453505507387,0.7864583333333334,0.28076820815516157,0.869210264497217,2.8010946769967315,0.5838136326900276
6022,156,10,0.29621973633766174,0.05224837735295296,0.23207111209630965,0.0,0.0,0.014395618746536337,0.000511408037016671,0.009312826755669114,0.019545153790526622,0.013580754105033123,7.730169717518682,0.18475313126660203,0.10579064969850292,9.452631237731698,10.0,0.13052970783962847,0.10498153412379457,0.6884253167186375,7.730169717518682,10.0,43.0,0.9820340019529545,0.1955052937620225,0.5,0.08892533296957622,0.9994452219597246,5.6226947181751195,0.8412361085146293
6022,193,11,0.26783502101898193,0.043081287294626236,0.1865208923816647,0.0,0.0,0.011578440410632296,0.00054810519312764,0.009167482755215206,0.016543049102767857,0.013219870872819258,6.51644296718533,0.20720915389034905,0.07983744343419359,12.52545117911065,11.0,0.16852103899731996,0.08614653457628124,0.526297406983959,6.51644296718533,8.0,8.0,1.6518224815668936,0.13964355991475438,0.7916666666666666,0.2476667494091874,0.9961891636502643,3.196499605034583,0.6959078951888766
6022,232,12,0.21680305898189545,0.05133337900042534,0.25631166957318513,0.0072021484375,0.0,0.011019598745985827,0.00043668338851335695,0.008951188681326593,0.018370187931532157,0.010226257016513734,15.66453701507632,0.1658541793368542,0.11076107943123834,9.028442167005158,13.0,0.2485738745860694,0.16018958156086333,0.7935792698249737,15.66453701507632,11.0,7.0,1.6935030795523165,0.2243073609011892,0.859375,0.2650315333407344,0.8521161601338398,3.2425386865009584,1.080000257120778
