subset,growth_count,baseline_island_feature_mae_z,selected_island_feature_mae_z,relative_island_mae_improvement,baseline_flat_fraction_absolute_error,selected_flat_fraction_absolute_error
all27,27,1.4130591297189687,1.3475576065449884,0.04635441065159629,0.038515444155092594,0.03639955873842592
predicted_layered_intermediate,3,1.3675532539929713,1.1014546575247135,0.19458006164754849,0.013509114583333334,0.025583902994791668
predicted_rough_tail,2,0.9052660903416506,0.9052660903416506,0.0,0.015228271484375,0.015228271484375
predicted_smooth,10,1.5273802244895698,1.5273802244895698,0.0,0.061474609375,0.061474609375
predicted_transition,12,1.4138001929045199,1.3329464148801289,0.057188970853289,0.029515584309895832,0.02173614501953125
measured_Sq_3p5_to_6p0_nm,5,1.599730699151587,1.2432879436064517,0.22281422475306234,0.01915283203125,0.02615966796875
