growth_run_id,baseline_island_feature_mae_z,generated__flat_fraction_baseline,true__flat_fraction_baseline,selected_island_feature_mae_z,generated__flat_fraction_selected,true__flat_fraction_selected,true_target,predicted_target,rheed_spot_isolation_score,outer_target_used_for_training,baseline_flat_fraction_absolute_error,selected_flat_fraction_absolute_error,predicted_growth_regime
6022,1.5716065184478716,0.07745361328125,0.2662353515625,1.5716065184478716,0.07745361328125,0.2662353515625,1.6493402243808166,1.313524054588533,0.3153740757175644,False,0.18878173828125,0.18878173828125,smooth
6028,1.5172545966284408,0.111968994140625,0.10345458984375,1.13594936164754,0.069793701171875,0.10345458984375,5.214306898001644,5.1895088964884994,0.4448537712574748,False,0.008514404296875,0.033660888671875,layered_intermediate
6029,1.6343971313815058,0.129119873046875,0.08056640625,1.6343971313815058,0.129119873046875,0.08056640625,2.289763258630059,1.598836977651232,0.320526991537957,False,0.048553466796875,0.048553466796875,smooth
6033,1.7097019883599611,0.1329345703125,0.07080078125,1.7246137468630307,0.129547119140625,0.07080078125,2.0502288469039893,2.455710404967717,0.5529368304618725,False,0.0621337890625,0.058746337890625,transition
6047,1.34322614805521,0.079803466796875,0.091400146484375,1.4830598295755224,0.080841064453125,0.091400146484375,3.348536119726721,2.762874043733275,0.4995282947298877,False,0.0115966796875,0.01055908203125,transition
6048,1.4476666102031244,0.14697265625,0.07244873046875,1.5308807433334786,0.14593505859375,0.07244873046875,1.8154828647322656,2.32348641798451,0.5064960278143101,False,0.07452392578125,0.073486328125,transition
6056,1.6938693532522855,0.13482666015625,0.068328857421875,1.6938693532522855,0.13482666015625,0.068328857421875,2.5294262589551333,1.6338508663940672,0.5235960912520734,False,0.066497802734375,0.066497802734375,smooth
6057,1.9363087759276152,0.132965087890625,0.09112548828125,1.2676630971056615,0.07391357421875,0.09112548828125,3.9545385810940297,3.265095517850062,0.26361377749108,False,0.041839599609375,0.0172119140625,transition
6062,1.7515203751172914,0.092620849609375,0.07135009765625,1.785863523521125,0.071075439453125,0.07135009765625,3.0923655409506767,3.2230925682683815,0.3815184936561257,False,0.021270751953125,0.000274658203125,transition
6063,1.7480593873343495,0.120880126953125,0.113189697265625,1.2523813975358218,0.080108642578125,0.113189697265625,5.2457010551460295,4.675286143644223,0.6725573368511982,False,0.0076904296875,0.0330810546875,layered_intermediate
